,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,CLASS
4707,1,11,3,5,4,8,2,2,3,13,0
4708,3,1,2,3,1,8,3,12,1,7,0
4709,4,11,1,5,4,1,3,7,3,5,1
4710,2,10,3,3,4,3,1,11,4,13,1
4711,1,10,3,9,3,2,1,7,1,1,0
4712,4,4,4,13,3,1,3,8,3,12,0
4713,2,3,2,8,1,9,1,1,1,11,0
4714,1,13,1,2,1,5,1,7,1,9,5
4715,3,8,1,3,1,8,4,9,3,1,1
4716,2,7,4,2,4,13,1,7,4,12,1
4717,1,9,4,11,2,12,2,9,1,8,1
4718,2,1,3,3,4,8,4,3,4,11,1
4719,1,1,3,9,1,3,4,10,3,13,0
4720,3,2,2,11,2,2,4,5,1,4,1
4721,3,13,4,9,4,12,2,1,4,8,0
4722,4,11,1,4,1,8,2,12,2,10,0
4723,4,2,1,4,2,7,2,9,3,6,0
4724,3,12,4,12,2,3,3,11,3,4,1
4725,4,13,3,2,4,8,2,11,1,8,1
4726,4,4,3,4,2,6,2,4,4,11,3
4727,3,11,4,13,1,7,1,5,2,1,0
4728,2,4,1,10,1,5,1,7,1,13,0
4729,4,9,1,12,1,11,1,3,1,6,0
4730,4,2,2,12,1,3,4,5,1,1,0
4731,3,13,3,8,3,2,3,3,4,6,0
4732,1,4,2,10,1,10,3,4,2,4,6
4733,4,1,3,2,4,10,2,1,1,5,1
4734,2,13,1,13,1,9,1,4,4,13,3
4735,4,9,4,11,2,3,1,9,2,7,1
4736,2,10,1,1,2,4,3,13,4,7,0
4737,2,13,2,3,4,8,2,7,4,6,0
4738,1,5,4,11,2,4,2,9,2,11,1
4739,3,5,3,6,1,6,1,11,2,10,1
4740,2,11,2,3,1,10,4,7,2,8,0
4741,1,12,1,3,2,12,4,5,3,11,1
4742,2,5,2,1,2,3,1,10,1,1,1
4743,3,3,3,13,3,6,2,11,3,9,0
4744,3,4,4,1,4,10,4,13,1,5,0
4745,3,7,2,1,4,6,1,4,1,10,0
4746,4,4,3,13,1,5,2,9,3,7,0
4747,1,8,1,4,3,7,3,1,2,4,1
4748,1,11,1,3,1,5,1,12,2,1,0
4749,1,7,3,8,4,7,1,11,4,2,1
4750,1,3,3,10,3,4,2,11,3,12,0
4751,2,8,2,6,3,2,3,12,3,10,0
4752,1,7,1,10,1,3,1,9,3,13,0
4753,4,10,2,12,2,3,4,4,3,9,0
4754,2,5,3,13,3,3,1,12,4,12,1
4755,2,11,2,1,3,13,4,3,1,11,1
4756,4,6,2,10,4,4,3,13,2,1,0
4757,3,3,4,1,2,2,1,5,2,8,0
4758,4,13,2,12,3,5,3,9,2,6,0
4759,2,11,4,13,2,2,3,10,3,12,0
4760,4,1,1,13,2,6,3,10,2,7,0
4761,1,3,4,11,3,7,1,10,2,3,1
4762,4,2,4,4,2,3,1,1,4,11,0
4763,4,5,1,4,1,6,2,3,2,9,0
4764,2,4,2,13,3,10,4,7,4,9,0
4765,3,8,1,2,1,13,3,1,4,5,0
4766,3,1,4,9,3,5,3,3,1,4,0
4767,3,12,1,9,1,10,1,13,2,9,1
4768,1,4,3,2,4,2,3,3,1,13,1
4769,4,1,4,2,1,1,4,9,2,13,1
4770,1,13,1,6,1,2,4,11,3,4,0
4771,3,8,1,1,3,4,1,2,3,12,0
4772,4,11,4,1,2,10,3,4,2,12,0
4773,1,12,4,7,1,5,3,1,1,11,0
4774,1,11,3,6,3,11,3,1,3,9,1
4775,4,8,2,4,4,7,4,12,3,2,0
4776,2,1,3,8,2,5,3,1,2,4,1
4777,4,5,4,2,3,10,2,6,1,11,0
4778,1,8,3,10,1,2,2,4,2,6,0
4779,3,2,1,11,2,4,4,5,3,8,0
4780,4,12,3,6,3,11,1,12,2,1,1
4781,4,4,1,6,1,3,2,3,3,2,1
4782,2,13,4,7,1,6,3,12,1,5,0
4783,2,3,2,4,1,5,4,1,1,9,0
4784,1,3,4,5,4,13,3,8,2,11,0
4785,2,11,1,11,4,3,1,1,2,2,1
4786,4,8,4,11,1,9,4,4,3,10,0
4787,2,12,3,5,2,5,3,8,4,7,1
4788,4,5,3,6,3,2,3,1,4,13,0
4789,2,9,4,3,4,7,1,4,3,4,1
4790,1,4,1,12,3,2,1,3,4,10,0
4791,4,6,1,2,1,10,2,13,3,1,0
4792,3,11,4,9,3,10,1,12,4,1,0
4793,1,11,3,4,3,7,4,10,2,9,0
4794,2,11,4,4,4,2,1,6,3,7,0
4795,2,2,4,13,4,2,3,1,1,12,1
4796,4,4,1,3,3,13,2,1,4,8,0
4797,4,7,1,5,1,2,3,2,2,6,1
4798,4,3,4,10,3,4,3,2,3,13,0
4799,2,4,2,9,4,8,4,4,1,8,2
4800,1,8,4,4,3,6,1,3,4,11,0
4801,4,5,3,4,4,12,3,9,2,2,0
4802,1,8,1,6,3,13,1,11,1,1,0
4803,4,6,3,12,4,1,2,7,3,10,0
4804,3,13,4,1,1,4,3,4,3,2,1
4805,4,5,2,2,3,11,4,3,1,3,1
4806,2,8,3,11,3,6,3,7,4,11,1
4807,2,7,1,7,3,3,2,10,3,11,1
4808,1,12,4,5,2,2,4,2,1,1,1
4809,3,3,2,6,3,13,1,12,3,6,1
4810,3,4,4,13,3,2,1,3,2,13,1
4811,1,4,4,13,4,5,2,4,3,6,1
4812,3,12,3,11,2,8,1,2,1,13,0
4813,2,10,1,2,2,1,2,2,4,4,1
4814,3,1,3,5,1,12,3,8,2,5,1
4815,2,3,4,10,3,9,3,5,3,12,0
4816,1,1,3,4,1,6,3,10,4,7,0
4817,4,6,3,5,1,9,4,3,1,4,0
4818,3,8,4,5,4,9,4,2,2,3,0
4819,1,5,2,10,1,11,2,2,4,3,0
4820,1,10,1,11,3,1,1,3,4,9,0
4821,2,8,3,3,2,2,4,3,4,8,2
4822,4,4,4,5,2,2,2,7,1,12,0
4823,1,10,3,6,3,8,1,7,4,5,0
4824,2,12,2,6,4,8,4,6,1,9,1
4825,1,10,4,6,4,13,1,8,2,2,0
4826,4,1,3,12,4,7,1,8,2,2,0
4827,3,5,4,12,1,12,4,5,1,4,2
4828,4,7,3,2,2,5,1,13,4,2,1
4829,1,5,1,3,3,9,3,10,4,4,0
4830,1,9,1,5,4,11,1,3,2,9,1
4831,4,5,2,6,3,5,4,13,4,11,1
4832,4,8,2,8,3,1,3,4,1,13,1
4833,1,2,1,5,4,5,3,10,3,7,1
4834,1,2,3,7,3,3,4,4,4,6,0
4835,2,5,4,1,1,8,2,6,4,4,0
4836,1,5,3,9,1,1,2,1,4,3,1
4837,4,3,2,4,3,3,2,3,3,10,3
4838,1,1,2,11,3,12,4,4,1,11,1
4839,2,5,2,8,1,5,2,4,3,10,1
4840,4,4,2,12,3,6,3,3,1,10,0
4841,4,3,1,11,3,2,4,13,2,12,0
4842,4,1,1,4,4,6,2,8,2,3,0
4843,3,8,4,13,3,13,3,4,2,9,1
4844,4,11,1,1,2,12,4,12,1,8,1
4845,1,3,2,7,4,4,2,1,3,1,1
4846,4,4,4,13,3,10,1,5,4,10,1
4847,1,8,2,1,3,3,3,11,2,13,0
4848,4,3,2,5,3,9,3,1,1,1,1
4849,1,9,4,10,4,7,1,11,2,9,1
4850,4,11,3,8,1,10,1,3,2,1,0
4851,2,2,2,1,1,7,2,3,2,8,0
4852,4,10,2,3,3,4,1,1,1,10,1
4853,1,11,1,7,2,6,1,5,4,10,0
4854,3,12,1,2,1,5,2,10,2,2,1
4855,4,6,3,8,4,12,1,4,3,9,0
4856,2,11,3,10,4,7,4,10,4,13,1
4857,1,11,2,10,1,13,3,12,2,11,1
4858,4,12,1,2,2,13,3,2,4,8,1
4859,4,13,3,5,4,7,1,2,3,11,0
4860,2,1,4,5,1,5,1,6,1,10,1
4861,4,4,2,13,2,12,4,7,3,12,1
4862,1,11,4,8,2,11,4,7,3,6,1
4863,3,9,2,4,3,13,2,10,4,7,0
4864,3,6,4,1,2,5,3,3,1,4,0
4865,4,13,2,10,2,6,4,7,3,12,0
4866,2,5,3,2,1,12,4,11,4,5,1
4867,4,3,4,13,1,3,1,6,2,11,1
4868,4,4,2,4,1,2,3,3,2,6,1
4869,4,1,2,1,4,12,1,12,4,3,2
4870,4,11,2,7,3,8,2,2,4,13,0
4871,2,3,4,5,3,3,1,2,4,1,1
4872,2,13,3,8,2,12,3,11,3,2,0
4873,4,11,2,3,2,9,1,1,1,2,0
4874,3,5,2,9,3,8,2,10,3,7,0
4875,4,3,4,5,2,10,3,8,3,3,1
4876,4,1,3,3,4,11,1,6,1,4,0
4877,3,11,2,5,2,2,4,11,4,5,2
4878,4,6,4,9,2,6,4,11,3,9,2
4879,4,1,3,12,2,6,1,5,2,5,1
4880,1,10,1,2,2,3,4,1,3,3,1
4881,4,1,1,13,1,1,1,9,3,2,1
4882,2,8,4,5,4,13,4,10,3,8,1
4883,3,5,3,4,4,12,3,3,1,8,0
4884,3,8,3,1,2,6,4,2,1,2,1
4885,2,8,1,1,4,10,2,12,3,9,0
4886,1,5,1,11,1,3,4,6,2,2,0
4887,2,11,4,1,4,5,3,1,3,10,1
4888,1,5,4,6,4,9,4,4,1,3,0
4889,4,9,3,8,2,9,2,12,3,2,1
4890,3,9,2,3,1,8,1,3,2,4,1
4891,2,7,2,13,1,8,1,11,1,6,0
4892,2,4,1,10,2,12,3,10,3,7,1
4893,3,3,2,4,1,10,3,5,1,6,0
4894,2,2,2,13,4,10,4,5,2,5,1
4895,2,1,1,4,2,2,3,13,2,13,1
4896,3,3,1,11,2,6,3,10,4,2,0
4897,4,6,3,6,4,12,2,4,4,1,1
4898,4,4,4,3,4,12,1,10,3,7,0
4899,3,11,2,11,3,10,1,10,2,2,2
4900,1,13,4,13,3,9,1,9,2,13,6
4901,2,2,3,11,2,12,1,11,3,10,1
4902,4,10,3,9,1,8,1,13,1,11,0
4903,4,9,4,1,2,2,3,7,4,10,0
4904,3,8,1,13,2,2,1,12,1,6,0
4905,4,8,2,9,2,3,3,11,1,11,1
4906,2,2,3,12,1,6,3,11,1,9,0
4907,3,13,1,7,2,3,3,11,2,13,1
4908,3,12,4,4,3,9,1,9,1,7,1
4909,2,2,3,1,2,6,3,4,3,3,0
4910,4,10,4,3,1,3,4,7,3,7,2
4911,1,10,2,13,2,5,4,2,3,12,0
4912,4,12,2,12,4,1,1,5,3,3,1
4913,2,11,2,8,2,2,4,2,2,13,1
4914,4,7,4,12,4,3,1,11,3,7,1
4915,2,1,4,9,2,8,2,6,4,10,0
4916,2,10,4,1,2,5,2,2,3,11,0
4917,3,2,4,8,1,11,4,3,2,12,0
4918,4,13,2,2,2,10,1,12,3,8,0
4919,3,11,4,10,2,4,2,10,1,6,1
4920,4,4,4,2,3,2,1,12,4,1,1
4921,2,4,3,13,2,7,2,10,1,1,0
4922,3,8,2,1,4,6,4,12,1,1,1
4923,2,1,2,4,2,5,3,11,2,11,1
4924,4,8,2,2,3,9,2,13,4,2,1
4925,3,7,3,11,3,1,3,10,2,3,0
4926,3,2,3,9,1,11,3,8,4,3,0
4927,2,2,4,8,2,10,1,8,1,5,1
4928,1,5,4,13,1,2,3,8,1,13,1
4929,1,7,2,6,3,11,1,4,4,7,1
4930,3,2,3,9,3,4,2,11,3,10,0
4931,1,5,1,13,1,12,2,13,1,7,1
4932,1,13,2,4,1,11,2,13,3,1,1
4933,4,4,2,11,3,13,2,13,4,6,1
4934,2,10,1,9,4,11,3,8,4,10,1
4935,4,12,1,2,1,6,1,3,4,2,1
4936,3,13,1,8,3,9,2,6,3,8,1
4937,4,4,1,6,4,5,3,2,1,1,0
4938,2,2,4,2,1,5,1,7,2,7,2
4939,2,4,3,5,3,1,1,13,4,10,0
4940,4,12,3,10,2,4,3,1,2,12,1
4941,3,6,3,8,4,6,4,1,3,4,1
4942,1,3,4,4,3,6,3,4,1,8,1
4943,3,10,1,3,4,7,2,9,4,1,0
4944,1,2,2,7,2,1,2,9,4,2,1
4945,2,11,1,1,1,7,1,6,2,6,1
4946,3,4,4,2,3,10,1,2,4,10,2
4947,1,12,4,4,4,12,1,4,3,1,2
4948,4,10,2,6,3,9,2,2,2,13,0
4949,4,13,4,1,2,7,3,7,1,10,1
4950,2,3,4,12,2,13,1,4,2,2,0
4951,2,13,4,3,4,11,3,7,4,7,1
4952,1,6,2,4,3,7,4,8,1,5,4
4953,4,6,3,2,2,12,2,10,1,12,1
4954,1,3,4,6,1,8,4,8,2,9,1
4955,4,6,3,11,3,3,1,9,4,9,1
4956,2,8,1,10,4,1,4,4,2,3,0
4957,2,3,1,3,2,8,3,13,1,6,1
4958,4,8,4,5,1,11,4,3,2,8,1
4959,3,2,3,8,1,2,4,5,3,10,1
4960,3,4,2,3,1,8,2,10,4,10,1
4961,3,11,1,6,2,3,1,11,4,10,1
4962,3,13,2,5,2,2,1,8,1,2,1
4963,3,11,2,4,3,10,4,13,4,7,0
4964,1,12,2,6,4,1,2,10,3,5,0
4965,3,13,3,11,3,6,4,5,2,3,0
4966,3,9,2,6,4,3,2,11,3,11,1
4967,2,10,4,11,1,9,4,6,3,2,0
4968,2,2,1,7,3,8,2,11,2,5,0
4969,2,7,3,10,1,13,4,13,1,11,1
4970,2,7,3,5,4,7,1,2,2,10,1
4971,1,4,4,5,2,1,1,7,4,1,1
4972,1,8,2,11,2,2,1,11,2,5,1
4973,2,8,4,5,4,1,4,6,3,3,0
4974,1,3,3,11,4,12,3,4,4,2,0
4975,3,6,3,1,4,12,2,13,1,13,1
4976,1,12,2,4,1,9,3,8,2,9,1
4977,2,7,2,13,3,1,1,12,1,2,0
4978,4,9,1,9,1,10,4,11,1,4,1
4979,1,2,4,5,2,1,2,12,4,10,0
4980,2,4,1,6,2,6,1,3,3,12,1
4981,1,7,4,11,4,7,4,12,4,13,1
4982,3,9,3,6,3,1,4,1,1,12,1
4983,4,7,2,9,3,4,3,9,3,2,1
4984,2,12,1,5,1,13,3,12,3,1,1
4985,2,8,4,6,4,7,3,5,3,1,0
4986,2,1,1,5,1,3,4,8,3,9,0
4987,4,13,2,11,1,1,3,6,1,3,0
4988,3,13,2,7,3,1,2,9,4,8,0
4989,4,3,1,6,4,6,3,12,3,6,3
4990,1,6,1,12,4,6,4,9,4,13,1
4991,4,11,3,11,1,7,3,6,4,7,2
4992,2,8,1,10,3,13,1,6,4,5,0
4993,4,9,1,13,1,5,4,3,4,8,0
4994,1,5,2,8,4,13,4,12,3,12,1
4995,4,9,4,6,1,3,1,10,3,10,1
4996,1,6,3,3,1,10,3,9,1,8,0
4997,2,4,4,7,1,6,2,12,3,2,0
4998,3,11,2,7,3,1,3,2,1,6,0
4999,2,11,2,8,1,6,3,7,1,7,1
5000,4,4,4,5,2,9,4,12,4,6,0
5001,3,7,2,1,2,12,3,2,3,5,0
5002,3,4,2,1,2,3,1,8,2,13,0
5003,1,8,3,10,3,5,2,5,1,1,1
5004,2,11,3,13,3,10,4,5,4,3,0
5005,2,2,2,11,2,3,3,7,2,1,0
5006,3,2,4,9,1,3,2,3,3,1,1
5007,3,1,3,5,4,10,2,5,3,9,1
5008,2,12,4,4,1,11,4,13,1,7,0
5009,1,13,4,12,1,10,2,5,2,9,0
5010,3,8,1,10,2,7,4,11,2,11,1
5011,4,6,3,6,3,5,3,1,2,6,3
5012,2,1,1,8,1,5,3,3,3,9,0
5013,1,8,4,11,2,4,2,6,2,13,0
5014,3,1,1,9,4,5,3,5,4,4,1
5015,1,2,3,1,3,2,4,7,2,6,1
5016,2,12,4,3,4,1,4,4,4,11,0
5017,1,8,1,7,2,2,4,7,1,4,1
5018,4,12,1,13,1,12,2,8,3,7,1
5019,1,9,2,2,3,10,1,10,2,9,2
5020,2,7,4,1,3,2,4,7,1,13,1
5021,1,8,4,8,1,10,2,2,3,2,2
5022,3,8,2,12,1,3,2,3,3,6,1
5023,3,10,4,13,2,2,1,10,4,10,3
5024,4,12,3,6,1,8,4,10,2,10,1
5025,2,13,4,2,1,9,1,5,3,4,0
5026,2,8,2,7,1,2,1,10,3,2,1
5027,4,2,4,12,1,10,3,8,4,4,0
5028,2,5,4,2,1,5,2,12,3,2,2
5029,4,1,3,7,2,3,1,13,1,12,0
5030,2,5,1,3,4,9,3,6,1,12,0
5031,2,2,4,5,4,9,2,11,1,4,0
5032,4,6,4,5,3,3,3,6,3,2,1
5033,1,1,4,1,1,5,3,11,3,13,1
5034,1,11,1,7,3,12,3,9,2,1,0
5035,2,8,4,5,2,13,2,3,4,6,0
5036,3,6,3,12,3,3,4,4,1,9,0
5037,4,3,1,8,3,10,2,5,1,2,0
5038,4,7,3,2,4,3,1,6,2,11,0
5039,1,4,2,7,2,13,4,12,1,5,0
5040,3,11,2,4,2,6,4,5,2,2,0
5041,2,13,2,11,3,2,3,4,1,9,0
5042,4,1,1,3,4,8,2,7,1,9,0
5043,3,6,4,2,2,7,3,5,1,11,0
5044,4,13,1,4,2,12,2,6,3,12,1
5045,1,11,3,8,2,5,4,4,3,9,0
5046,1,2,2,2,4,1,4,2,3,10,3
5047,2,5,1,10,3,1,2,6,1,13,0
5048,3,10,4,10,4,9,2,6,1,1,1
5049,4,3,3,9,1,3,2,3,4,11,3
5050,1,7,3,8,4,3,1,12,1,2,0
5051,3,3,4,9,2,10,2,7,3,12,0
5052,2,3,3,7,1,8,2,4,1,10,0
5053,2,7,3,9,3,12,2,6,4,1,0
5054,4,2,1,5,4,4,2,3,2,13,0
5055,4,12,4,8,2,10,4,11,4,2,0
5056,4,2,2,12,1,1,2,5,4,5,1
5057,3,3,3,6,1,11,1,13,3,5,0
5058,4,6,1,7,2,2,2,1,4,4,0
5059,4,13,4,3,4,5,2,7,3,8,0
5060,4,11,2,3,4,12,4,3,1,5,1
5061,1,7,4,13,3,4,3,1,3,11,0
5062,1,9,4,5,4,8,2,6,2,2,0
5063,2,7,1,8,1,1,2,13,3,10,0
5064,1,3,3,9,4,8,1,11,1,12,0
5065,2,7,4,4,1,13,1,5,2,2,0
5066,4,7,3,7,1,1,1,6,2,7,3
5067,2,3,1,6,4,4,3,9,3,5,0
5068,4,5,4,4,3,7,1,5,3,12,1
5069,2,8,4,5,2,11,4,10,3,1,0
5070,1,13,2,5,2,2,2,3,1,9,0
5071,1,7,3,6,4,1,1,10,2,1,1
5072,4,8,1,8,4,4,3,5,3,11,1
5073,4,10,3,10,2,13,1,4,1,2,1
5074,3,6,1,6,4,9,1,2,1,9,2
5075,4,3,1,2,4,2,2,1,4,10,1
5076,2,2,4,5,4,4,4,6,2,5,1
5077,2,5,1,8,4,6,1,1,4,13,0
5078,1,11,1,12,3,10,2,9,4,3,0
5079,2,3,1,11,3,6,4,13,3,10,0
5080,3,10,4,11,3,5,4,6,3,12,0
5081,2,8,3,4,2,3,4,12,1,8,1
5082,4,13,4,4,2,8,3,9,2,5,0
5083,4,10,1,12,1,10,1,3,4,11,1
5084,4,13,3,8,3,1,3,3,2,7,0
5085,2,6,1,1,1,3,3,12,3,11,0
5086,3,4,1,7,1,9,1,5,2,7,1
5087,2,1,2,12,4,10,1,10,1,5,1
5088,2,3,3,3,1,10,4,6,3,1,1
5089,3,7,2,4,3,2,2,9,3,5,0
5090,4,8,3,4,1,8,1,12,1,3,1
5091,4,8,3,5,3,11,3,6,4,5,1
5092,2,10,4,5,1,1,2,5,2,2,1
5093,2,10,1,10,2,4,1,8,3,4,2
5094,3,4,4,5,2,3,2,5,4,7,1
5095,2,3,4,6,1,11,2,9,3,12,0
5096,4,12,3,7,2,10,3,9,1,6,0
5097,1,1,4,9,4,10,2,2,3,5,0
5098,2,12,2,7,3,9,2,9,1,8,1
5099,4,13,2,5,2,4,2,3,3,13,1
5100,4,12,1,1,2,13,2,6,4,2,0
5101,2,8,3,13,1,10,3,12,4,6,0
5102,3,6,3,12,2,9,4,11,2,3,0
5103,3,12,3,1,2,3,3,6,3,5,0
5104,1,3,3,4,1,12,4,12,3,9,1
5105,4,5,1,10,4,6,1,9,3,1,0
5106,3,11,4,9,1,5,1,7,1,3,0
5107,3,6,1,3,4,10,2,6,1,9,1
5108,2,9,4,5,1,13,4,8,4,9,1
5109,2,13,4,6,4,10,1,5,2,2,0
5110,4,4,4,9,1,1,3,2,1,13,0
5111,3,4,4,3,2,7,3,1,4,10,0
5112,1,7,1,10,1,5,4,4,3,12,0
5113,2,9,3,7,3,13,1,1,3,8,0
5114,1,3,3,1,2,1,2,9,4,8,1
5115,4,4,1,1,3,5,1,10,1,8,0
5116,3,3,1,1,3,6,1,6,4,2,1
5117,4,7,4,1,4,4,2,7,1,11,1
5118,4,6,2,3,1,6,4,7,1,1,1
5119,1,7,1,6,3,1,4,7,4,13,1
5120,1,3,3,1,4,8,1,11,3,8,1
5121,3,11,2,6,1,8,4,9,1,4,0
5122,1,12,4,5,3,7,2,12,1,11,1
5123,2,13,3,1,2,5,4,5,1,2,1
5124,4,6,2,9,1,11,2,2,3,3,0
5125,3,5,4,2,1,10,3,1,4,1,1
5126,3,12,4,6,1,6,1,2,4,1,1
5127,4,5,4,11,3,12,4,3,4,1,0
5128,2,3,1,5,3,9,1,10,1,8,0
5129,3,4,2,2,3,9,4,9,1,5,1
5130,1,8,1,7,3,6,4,13,4,4,0
5131,2,1,2,7,3,13,2,12,4,12,1
5132,2,2,3,5,2,8,4,8,3,7,1
5133,1,4,2,6,3,11,3,9,3,1,0
5134,3,9,3,13,2,6,1,12,4,13,1
5135,4,13,4,6,1,5,3,7,1,11,0
5136,1,12,3,10,2,2,3,11,1,3,0
5137,4,5,2,1,4,7,1,4,1,5,1
5138,4,10,1,6,3,9,1,10,2,8,1
5139,4,7,3,5,4,8,1,3,3,11,0
5140,1,11,4,5,3,6,1,6,4,9,1
5141,3,1,2,12,3,12,3,11,4,2,1
5142,2,9,1,1,1,11,1,5,3,5,1
5143,1,1,3,12,4,2,2,7,4,5,0
5144,3,10,4,4,4,7,4,9,1,5,0
5145,3,13,2,12,3,10,3,4,1,8,0
5146,1,7,2,13,1,4,2,12,3,8,0
5147,2,3,1,9,2,6,1,8,3,3,1
5148,3,1,1,8,1,3,1,4,1,9,0
5149,3,10,1,6,4,12,1,8,2,12,1
5150,2,1,1,2,4,1,3,5,3,10,1
5151,2,3,4,10,2,2,4,1,2,10,1
5152,3,5,4,12,3,2,1,12,4,4,1
5153,1,5,4,10,3,12,4,13,2,12,1
5154,4,5,1,7,1,11,4,3,1,13,0
5155,2,12,4,4,2,1,4,3,1,8,0
5156,4,3,3,4,2,4,3,2,2,5,1
5157,2,7,3,5,4,10,3,7,4,5,2
5158,3,2,2,2,1,12,4,4,1,6,1
5159,4,5,4,13,1,13,1,5,1,4,2
5160,3,11,1,10,1,8,1,1,3,10,1
5161,1,8,4,10,3,4,3,7,1,1,0
5162,2,5,4,2,2,2,3,6,1,13,1
5163,3,5,1,4,3,6,3,4,1,2,1
5164,3,6,1,12,2,11,3,10,3,8,0
5165,3,4,2,8,4,8,1,9,2,11,1
5166,4,11,1,6,1,10,1,4,2,13,0
5167,1,13,4,13,2,12,2,11,4,2,1
5168,2,11,3,4,1,8,4,1,2,1,1
5169,4,13,1,1,3,2,1,6,1,7,0
5170,2,11,3,3,2,7,1,13,2,8,0
5171,1,5,2,11,3,4,4,2,3,6,0
5172,1,1,1,4,3,6,4,2,4,5,0
5173,1,10,4,11,3,5,1,4,1,3,0
5174,2,4,4,1,3,11,4,6,2,12,0
5175,3,4,2,3,1,4,4,4,4,8,3
5176,1,3,1,6,3,13,1,1,3,1,1
5177,3,7,3,3,1,12,4,5,2,11,0
5178,2,3,4,2,1,7,2,7,2,9,1
5179,1,10,3,6,4,9,3,3,2,10,1
5180,1,1,1,3,2,7,2,1,2,8,1
5181,2,6,2,8,2,12,1,6,1,5,1
5182,1,10,2,6,1,9,1,13,4,3,0
5183,3,11,2,11,4,8,2,9,4,11,3
5184,2,13,2,10,4,10,4,13,1,11,2
5185,3,3,4,13,3,5,4,10,1,7,0
5186,1,2,4,7,4,5,2,9,3,9,1
5187,1,8,4,4,4,6,3,6,1,13,1
5188,2,7,1,10,4,12,3,13,1,11,0
5189,3,1,3,13,2,12,4,7,3,4,0
5190,3,13,2,1,3,11,4,12,2,5,0
5191,2,9,1,1,4,1,2,7,2,10,1
5192,4,8,1,4,4,5,3,5,3,9,1
5193,1,11,3,10,3,4,1,7,3,5,0
5194,4,2,2,10,4,4,2,8,1,10,1
5195,1,4,2,8,2,12,2,13,4,10,0
5196,2,6,1,5,3,3,2,3,1,12,1
5197,4,12,1,1,4,7,2,1,4,10,1
5198,3,13,1,12,4,11,2,7,2,4,0
5199,4,12,3,8,1,11,1,1,3,13,0
5200,4,6,1,8,1,12,1,13,2,1,0
5201,4,1,2,2,2,13,3,2,4,7,1
5202,3,8,1,10,3,3,4,1,1,5,0
5203,2,8,2,6,4,4,1,10,4,7,0
5204,3,11,1,4,3,7,4,2,1,11,1
5205,1,8,3,3,1,3,4,9,2,1,1
5206,3,8,1,4,1,3,3,6,1,7,0
5207,2,8,2,6,1,3,4,6,2,3,2
5208,4,11,1,1,4,1,1,10,1,7,1
5209,4,1,1,3,1,1,4,11,1,12,1
5210,4,10,3,2,1,10,4,9,4,1,1
5211,4,8,1,12,4,3,2,5,2,13,0
5212,3,9,4,11,4,3,1,4,2,4,1
5213,2,9,2,4,2,11,1,5,1,6,0
5214,4,4,4,11,3,2,3,4,1,4,3
5215,2,6,4,3,1,13,2,1,4,2,0
5216,2,7,2,3,1,2,3,11,3,4,0
5217,2,1,2,5,3,10,1,8,1,13,0
5218,2,5,3,9,1,7,4,10,1,2,0
5219,2,12,4,3,2,7,3,7,2,13,1
5220,1,13,3,4,2,9,1,5,3,10,0
5221,3,8,3,5,4,11,2,2,1,13,0
5222,4,6,2,12,3,1,3,9,1,4,0
5223,4,1,3,7,3,10,3,1,2,2,1
5224,3,8,3,12,4,13,3,1,3,3,0
5225,3,8,1,4,1,9,1,10,4,4,1
5226,2,11,2,4,3,11,1,2,1,8,1
5227,2,12,1,13,3,9,1,6,4,1,0
5228,2,9,3,12,2,3,1,3,4,4,1
5229,1,13,2,13,4,8,2,8,4,1,2
5230,1,7,1,6,4,8,4,11,2,12,0
5231,4,3,1,13,2,13,1,3,1,6,2
5232,3,4,2,4,1,7,2,8,2,10,1
5233,4,13,3,12,1,3,4,1,3,1,1
5234,1,13,1,12,4,10,2,12,2,5,1
5235,3,6,1,11,2,8,2,6,4,7,1
5236,3,12,4,9,4,11,3,6,3,3,0
5237,4,13,4,1,3,12,2,12,3,13,2
5238,2,3,3,1,4,2,4,13,3,8,0
5239,4,2,2,2,4,7,2,1,4,8,1
5240,1,9,3,4,2,5,3,3,3,12,0
5241,2,1,4,8,2,7,1,11,4,7,1
5242,3,10,1,4,3,5,2,13,1,13,1
5243,3,2,1,2,2,6,3,9,2,5,1
5244,3,10,3,9,2,11,3,11,1,2,1
5245,2,3,4,8,2,1,2,6,4,10,0
5246,1,5,1,13,1,1,2,12,3,5,1
5247,2,13,3,4,4,1,2,3,4,3,1
5248,4,7,4,9,1,9,3,6,1,1,1
5249,4,3,2,10,3,7,4,11,4,10,1
5250,3,8,1,11,1,8,2,6,2,13,1
5251,1,7,1,9,1,6,2,12,2,3,0
5252,3,4,2,9,4,4,2,13,2,2,1
5253,2,1,4,5,3,2,2,10,3,1,1
5254,1,8,2,7,3,12,1,2,2,5,0
5255,2,1,1,1,4,10,2,6,4,7,1
5256,3,11,1,4,1,5,3,7,2,5,1
5257,4,1,2,13,2,12,2,8,3,13,1
5258,3,11,4,4,1,2,2,9,2,4,1
5259,1,13,3,9,3,3,4,8,4,1,0
5260,1,13,1,1,1,12,4,8,4,4,0
5261,2,1,2,9,2,6,3,9,1,1,2
5262,4,10,2,11,1,7,2,10,1,3,1
5263,3,2,3,10,4,6,1,4,3,3,0
5264,3,12,4,5,4,4,3,7,4,1,0
