,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
602,b,b,x,b,x,o,x,o,b,positive
603,b,b,x,b,x,o,x,b,o,positive
604,b,b,x,b,x,b,x,o,o,positive
605,b,b,x,b,o,x,o,b,x,positive
606,b,b,x,b,o,x,b,o,x,positive
607,b,b,x,b,b,x,o,o,x,positive
608,b,b,o,x,x,x,x,o,o,positive
609,b,b,o,x,x,x,o,x,o,positive
610,b,b,o,x,x,x,o,o,x,positive
611,b,b,o,x,x,x,o,b,b,positive
612,b,b,o,x,x,x,b,o,b,positive
613,b,b,o,x,x,x,b,b,o,positive
614,b,b,o,x,o,o,x,x,x,positive
615,b,b,o,o,x,o,x,x,x,positive
616,b,b,o,o,o,x,x,x,x,positive
617,b,b,o,o,b,b,x,x,x,positive
618,b,b,o,b,o,b,x,x,x,positive
619,b,b,o,b,b,o,x,x,x,positive
620,b,b,b,x,x,x,o,o,b,positive
621,b,b,b,x,x,x,o,b,o,positive
622,b,b,b,x,x,x,b,o,o,positive
623,b,b,b,o,o,b,x,x,x,positive
624,b,b,b,o,b,o,x,x,x,positive
625,b,b,b,b,o,o,x,x,x,positive
626,x,x,o,x,x,o,o,b,o,negative
627,x,x,o,x,x,o,b,o,o,negative
628,x,x,o,x,x,b,o,o,o,negative
629,x,x,o,x,o,x,o,o,b,negative
630,x,x,o,x,o,x,o,b,o,negative
631,x,x,o,x,o,o,o,x,b,negative
632,x,x,o,x,o,o,o,b,x,negative
633,x,x,o,x,o,o,b,x,o,negative
634,x,x,o,x,o,b,o,x,o,negative
635,x,x,o,x,o,b,o,o,x,negative
636,x,x,o,x,o,b,o,b,b,negative
637,x,x,o,x,b,x,o,o,o,negative
638,x,x,o,x,b,o,o,x,o,negative
639,x,x,o,x,b,o,b,b,o,negative
640,x,x,o,o,x,o,x,b,o,negative
641,x,x,o,o,o,x,o,x,b,negative
642,x,x,o,o,o,x,o,b,x,negative
643,x,x,o,o,o,o,x,x,b,negative
644,x,x,o,o,o,o,x,b,x,negative
645,x,x,o,o,o,o,b,x,x,negative
646,x,x,o,o,o,b,o,x,x,negative
647,x,x,o,o,b,o,x,x,o,negative
648,x,x,o,b,x,x,o,o,o,negative
649,x,x,o,b,x,o,x,o,o,negative
650,x,x,o,b,x,o,b,b,o,negative
651,x,x,o,b,o,x,o,x,o,negative
652,x,x,o,b,o,x,o,o,x,negative
653,x,x,o,b,o,x,o,b,b,negative
654,x,x,o,b,o,o,x,x,o,negative
655,x,x,o,b,o,o,o,x,x,negative
656,x,x,o,b,o,b,o,x,b,negative
657,x,x,o,b,o,b,o,b,x,negative
658,x,x,o,b,b,o,x,b,o,negative
659,x,x,o,b,b,o,b,x,o,negative
660,x,x,b,x,x,o,o,o,o,negative
661,x,x,b,x,o,x,o,o,o,negative
662,x,x,b,x,b,b,o,o,o,negative
663,x,x,b,o,x,x,o,o,o,negative
664,x,x,b,o,o,o,x,x,o,negative
665,x,x,b,o,o,o,x,o,x,negative
666,x,x,b,o,o,o,x,b,b,negative
667,x,x,b,o,o,o,o,x,x,negative
668,x,x,b,o,o,o,b,x,b,negative
669,x,x,b,o,o,o,b,b,x,negative
670,x,x,b,b,x,b,o,o,o,negative
671,x,x,b,b,b,x,o,o,o,negative
672,x,o,x,x,x,b,o,o,o,negative
673,x,o,x,x,o,x,o,o,b,negative
674,x,o,x,x,o,x,b,o,o,negative
675,x,o,x,x,o,o,b,o,x,negative
676,x,o,x,x,o,b,o,o,x,negative
677,x,o,x,x,o,b,b,o,b,negative
678,x,o,x,x,b,x,o,o,o,negative
679,x,o,x,o,o,x,x,o,b,negative
680,x,o,x,o,o,o,x,x,b,negative
681,x,o,x,o,o,o,x,b,x,negative
682,x,o,x,o,o,o,b,x,x,negative
683,x,o,x,o,o,b,x,o,x,negative
684,x,o,x,b,x,x,o,o,o,negative
685,x,o,x,b,o,x,x,o,o,negative
686,x,o,x,b,o,x,b,o,b,negative
687,x,o,x,b,o,o,x,o,x,negative
688,x,o,x,b,o,b,x,o,b,negative
689,x,o,x,b,o,b,b,o,x,negative
690,x,o,o,x,x,o,b,x,o,negative
691,x,o,o,x,o,x,o,x,b,negative
692,x,o,o,x,o,x,o,b,x,negative
693,x,o,o,x,o,x,b,o,x,negative
694,x,o,o,x,o,b,o,x,x,negative
695,x,o,o,b,x,o,x,x,o,negative
696,x,o,o,b,o,x,x,o,x,negative
697,x,o,o,b,o,x,o,x,x,negative
698,x,o,b,x,o,x,o,o,x,negative
699,x,o,b,x,o,x,b,o,b,negative
700,x,o,b,x,o,b,b,o,x,negative
701,x,o,b,o,o,x,x,o,x,negative
702,x,o,b,b,o,x,x,o,b,negative
703,x,o,b,b,o,x,b,o,x,negative
704,x,o,b,b,o,b,x,o,x,negative
705,x,b,x,x,x,o,o,o,o,negative
706,x,b,x,x,o,x,o,o,o,negative
707,x,b,x,x,b,b,o,o,o,negative
708,x,b,x,o,x,x,o,o,o,negative
709,x,b,x,o,o,o,x,x,o,negative
710,x,b,x,o,o,o,x,o,x,negative
711,x,b,x,o,o,o,x,b,b,negative
712,x,b,x,o,o,o,o,x,x,negative
713,x,b,x,o,o,o,b,x,b,negative
714,x,b,x,o,o,o,b,b,x,negative
715,x,b,x,b,x,b,o,o,o,negative
716,x,b,x,b,b,x,o,o,o,negative
717,x,b,o,x,x,o,o,x,o,negative
718,x,b,o,x,x,o,b,b,o,negative
719,x,b,o,x,o,x,o,x,o,negative
720,x,b,o,x,o,x,o,o,x,negative
721,x,b,o,x,o,x,o,b,b,negative
722,x,b,o,x,o,o,o,x,x,negative
723,x,b,o,x,o,b,o,x,b,negative
724,x,b,o,x,o,b,o,b,x,negative
725,x,b,o,x,b,o,b,x,o,negative
726,x,b,o,o,x,o,x,x,o,negative
727,x,b,o,o,o,x,o,x,x,negative
728,x,b,o,b,x,o,x,b,o,negative
729,x,b,o,b,x,o,b,x,o,negative
730,x,b,o,b,o,x,o,x,b,negative
731,x,b,o,b,o,x,o,b,x,negative
732,x,b,o,b,o,b,o,x,x,negative
733,x,b,o,b,b,o,x,x,o,negative
734,x,b,b,x,x,b,o,o,o,negative
735,x,b,b,x,b,x,o,o,o,negative
736,x,b,b,o,o,o,x,x,b,negative
737,x,b,b,o,o,o,x,b,x,negative
738,x,b,b,o,o,o,b,x,x,negative
739,x,b,b,b,x,x,o,o,o,negative
740,o,x,x,x,x,b,o,o,o,negative
741,o,x,x,x,o,x,o,b,o,negative
742,o,x,x,x,o,x,b,o,o,negative
743,o,x,x,x,o,o,x,b,o,negative
744,o,x,x,x,o,o,b,x,o,negative
745,o,x,x,x,o,b,x,o,o,negative
746,o,x,x,x,o,b,o,x,o,negative
747,o,x,x,x,o,b,b,b,o,negative
748,o,x,x,x,b,x,o,o,o,negative
749,o,x,x,o,x,x,o,o,b,negative
750,o,x,x,o,x,x,o,b,o,negative
751,o,x,x,o,x,o,o,b,x,negative
752,o,x,x,o,x,b,o,o,x,negative
753,o,x,x,o,x,b,o,b,b,negative
754,o,x,x,o,o,x,x,b,o,negative
755,o,x,x,o,o,x,o,x,b,negative
756,o,x,x,o,o,x,b,x,o,negative
757,o,x,x,o,o,o,x,x,b,negative
758,o,x,x,o,o,o,x,b,x,negative
759,o,x,x,o,o,o,b,x,x,negative
760,o,x,x,o,o,b,x,x,o,negative
761,o,x,x,o,o,b,o,x,x,negative
762,o,x,x,o,b,x,o,x,o,negative
763,o,x,x,o,b,x,o,b,b,negative
764,o,x,x,o,b,o,o,x,x,negative
765,o,x,x,o,b,b,o,x,b,negative
766,o,x,x,o,b,b,o,b,x,negative
767,o,x,x,b,x,x,o,o,o,negative
768,o,x,x,b,o,x,x,o,o,negative
769,o,x,x,b,o,x,o,x,o,negative
770,o,x,x,b,o,x,b,b,o,negative
771,o,x,x,b,o,o,x,x,o,negative
772,o,x,x,b,o,b,x,b,o,negative
773,o,x,x,b,o,b,b,x,o,negative
774,o,x,o,x,x,o,x,b,o,negative
775,o,x,o,x,o,x,x,b,o,negative
776,o,x,o,x,o,x,o,x,b,negative
777,o,x,o,x,o,x,o,b,x,negative
778,o,x,o,x,o,x,b,x,o,negative
779,o,x,o,x,o,b,x,x,o,negative
780,o,x,o,x,o,b,o,x,x,negative
781,o,x,o,x,b,o,x,x,o,negative
782,o,x,o,o,x,x,o,b,x,negative
783,o,x,o,o,b,x,o,x,x,negative
784,o,x,o,b,o,x,x,x,o,negative
785,o,x,o,b,o,x,o,x,x,negative
786,o,x,b,x,o,x,x,o,o,negative
787,o,x,b,x,o,x,o,x,o,negative
788,o,x,b,x,o,x,b,b,o,negative
789,o,x,b,x,o,o,x,x,o,negative
790,o,x,b,x,o,b,x,b,o,negative
791,o,x,b,x,o,b,b,x,o,negative
792,o,x,b,o,x,x,o,o,x,negative
793,o,x,b,o,x,x,o,b,b,negative
794,o,x,b,o,x,b,o,b,x,negative
795,o,x,b,o,o,x,x,x,o,negative
796,o,x,b,o,o,x,o,x,x,negative
797,o,x,b,o,b,x,o,x,b,negative
798,o,x,b,o,b,x,o,b,x,negative
799,o,x,b,o,b,b,o,x,x,negative
800,o,x,b,b,o,x,x,b,o,negative
801,o,x,b,b,o,x,b,x,o,negative
802,o,x,b,b,o,b,x,x,o,negative
803,o,o,x,x,o,x,x,o,b,negative
804,o,o,x,x,o,x,x,b,o,negative
805,o,o,x,x,o,x,b,x,o,negative
806,o,o,x,x,o,b,x,x,o,negative
807,o,o,x,x,o,b,x,o,x,negative
808,o,o,x,o,x,x,o,x,b,negative
809,o,o,x,o,x,b,o,x,x,negative
810,o,o,x,b,o,x,x,x,o,negative
811,o,o,o,x,x,o,x,x,b,negative
812,o,o,o,x,x,o,x,b,x,negative
813,o,o,o,x,x,o,b,x,x,negative
814,o,o,o,x,x,b,x,x,o,negative
815,o,o,o,x,x,b,x,o,x,negative
816,o,o,o,x,x,b,x,b,b,negative
817,o,o,o,x,x,b,o,x,x,negative
818,o,o,o,x,x,b,b,x,b,negative
819,o,o,o,x,x,b,b,b,x,negative
820,o,o,o,x,o,x,x,x,b,negative
821,o,o,o,x,o,x,x,b,x,negative
822,o,o,o,x,o,x,b,x,x,negative
823,o,o,o,x,b,x,x,x,o,negative
824,o,o,o,x,b,x,x,o,x,negative
825,o,o,o,x,b,x,x,b,b,negative
826,o,o,o,x,b,x,o,x,x,negative
827,o,o,o,x,b,x,b,x,b,negative
828,o,o,o,x,b,x,b,b,x,negative
829,o,o,o,x,b,b,x,x,b,negative
830,o,o,o,x,b,b,x,b,x,negative
831,o,o,o,x,b,b,b,x,x,negative
832,o,o,o,o,x,x,x,x,b,negative
833,o,o,o,o,x,x,x,b,x,negative
834,o,o,o,o,x,x,b,x,x,negative
835,o,o,o,b,x,x,x,x,o,negative
836,o,o,o,b,x,x,x,o,x,negative
837,o,o,o,b,x,x,x,b,b,negative
838,o,o,o,b,x,x,o,x,x,negative
839,o,o,o,b,x,x,b,x,b,negative
840,o,o,o,b,x,x,b,b,x,negative
841,o,o,o,b,x,b,x,x,b,negative
842,o,o,o,b,x,b,x,b,x,negative
843,o,o,o,b,x,b,b,x,x,negative
844,o,o,o,b,b,x,x,x,b,negative
845,o,o,o,b,b,x,x,b,x,negative
846,o,o,o,b,b,x,b,x,x,negative
847,o,o,b,x,o,x,x,x,o,negative
848,o,o,b,x,o,x,x,o,x,negative
849,o,o,b,o,x,x,o,x,x,negative
850,o,b,x,x,o,x,x,o,o,negative
851,o,b,x,x,o,x,o,x,o,negative
852,o,b,x,x,o,x,b,b,o,negative
853,o,b,x,x,o,o,x,x,o,negative
854,o,b,x,x,o,b,x,b,o,negative
855,o,b,x,x,o,b,b,x,o,negative
856,o,b,x,o,x,x,o,x,o,negative
857,o,b,x,o,x,x,o,b,b,negative
858,o,b,x,o,x,o,o,x,x,negative
859,o,b,x,o,x,b,o,x,b,negative
860,o,b,x,o,x,b,o,b,x,negative
861,o,b,x,o,o,x,x,x,o,negative
862,o,b,x,o,b,x,o,x,b,negative
863,o,b,x,o,b,b,o,x,x,negative
864,o,b,x,b,o,x,x,b,o,negative
865,o,b,x,b,o,x,b,x,o,negative
866,o,b,x,b,o,b,x,x,o,negative
867,o,b,o,x,x,o,x,x,o,negative
868,o,b,o,x,o,x,x,x,o,negative
869,o,b,o,x,o,x,o,x,x,negative
870,o,b,o,o,x,x,o,x,x,negative
871,o,b,b,x,o,x,x,b,o,negative
872,o,b,b,x,o,x,b,x,o,negative
873,o,b,b,x,o,b,x,x,o,negative
874,o,b,b,o,x,x,o,x,b,negative
875,o,b,b,o,x,x,o,b,x,negative
876,o,b,b,o,x,b,o,x,x,negative
877,o,b,b,o,b,x,o,x,x,negative
878,o,b,b,b,o,x,x,x,o,negative
879,b,x,x,x,x,o,o,o,o,negative
880,b,x,x,x,o,x,o,o,o,negative
881,b,x,x,x,b,b,o,o,o,negative
882,b,x,x,o,x,x,o,o,o,negative
883,b,x,x,o,o,o,x,x,o,negative
884,b,x,x,o,o,o,x,o,x,negative
885,b,x,x,o,o,o,x,b,b,negative
886,b,x,x,o,o,o,o,x,x,negative
887,b,x,x,o,o,o,b,x,b,negative
888,b,x,x,o,o,o,b,b,x,negative
889,b,x,x,b,x,b,o,o,o,negative
890,b,x,x,b,b,x,o,o,o,negative
891,b,x,o,x,x,o,x,o,o,negative
892,b,x,o,x,x,o,b,b,o,negative
893,b,x,o,x,o,x,o,x,o,negative
894,b,x,o,x,o,x,o,o,x,negative
895,b,x,o,x,o,x,o,b,b,negative
896,b,x,o,x,o,o,x,x,o,negative
897,b,x,o,x,o,o,o,x,x,negative
898,b,x,o,x,o,b,o,x,b,negative
899,b,x,o,x,o,b,o,b,x,negative
900,b,x,o,x,b,o,x,b,o,negative
901,b,x,o,x,b,o,b,x,o,negative
902,b,x,o,o,o,x,o,x,x,negative
903,b,x,o,b,x,o,x,b,o,negative
904,b,x,o,b,o,x,o,x,b,negative
905,b,x,o,b,o,x,o,b,x,negative
906,b,x,o,b,o,b,o,x,x,negative
907,b,x,o,b,b,o,x,x,o,negative
908,b,x,b,x,x,b,o,o,o,negative
909,b,x,b,x,b,x,o,o,o,negative
910,b,x,b,o,o,o,x,x,b,negative
911,b,x,b,o,o,o,x,b,x,negative
912,b,x,b,o,o,o,b,x,x,negative
913,b,x,b,b,x,x,o,o,o,negative
914,b,o,x,x,o,x,x,o,o,negative
915,b,o,x,x,o,x,b,o,b,negative
916,b,o,x,x,o,o,x,o,x,negative
917,b,o,x,x,o,b,x,o,b,negative
918,b,o,x,x,o,b,b,o,x,negative
919,b,o,x,b,o,x,x,o,b,negative
920,b,o,x,b,o,b,x,o,x,negative
921,b,o,o,x,x,o,x,x,o,negative
922,b,o,o,x,o,x,x,o,x,negative
923,b,o,o,x,o,x,o,x,x,negative
924,b,o,b,x,o,x,x,o,b,negative
925,b,o,b,x,o,x,b,o,x,negative
926,b,o,b,x,o,b,x,o,x,negative
927,b,o,b,b,o,x,x,o,x,negative
928,b,b,x,x,x,b,o,o,o,negative
929,b,b,x,x,b,x,o,o,o,negative
930,b,b,x,o,o,o,x,x,b,negative
931,b,b,x,o,o,o,x,b,x,negative
932,b,b,x,o,o,o,b,x,x,negative
933,b,b,x,b,x,x,o,o,o,negative
934,b,b,o,x,x,o,x,b,o,negative
935,b,b,o,x,x,o,b,x,o,negative
936,b,b,o,x,o,x,o,x,b,negative
937,b,b,o,x,o,x,o,b,x,negative
938,b,b,o,x,o,b,o,x,x,negative
939,b,b,o,x,b,o,x,x,o,negative
940,b,b,o,b,x,o,x,x,o,negative
941,b,b,o,b,o,x,o,x,x,negative
942,x,x,o,o,x,x,x,o,o,negative
943,x,x,o,o,o,x,x,x,o,negative
944,x,x,o,o,o,x,x,o,x,negative
945,x,o,x,x,x,o,o,x,o,negative
946,x,o,x,x,o,x,o,x,o,negative
947,x,o,x,x,o,o,o,x,x,negative
948,x,o,x,o,x,x,o,x,o,negative
949,x,o,x,o,o,x,x,x,o,negative
950,x,o,o,o,x,x,x,x,o,negative
951,o,x,x,x,x,o,o,o,x,negative
952,o,x,x,x,o,o,x,o,x,negative
953,o,x,x,x,o,o,o,x,x,negative
954,o,x,o,x,x,o,x,o,x,negative
955,o,x,o,x,o,x,x,o,x,negative
956,o,x,o,o,x,x,x,o,x,negative
957,o,o,x,x,x,o,o,x,x,negative
