age,job,marital,education,default,balance,housing-loan,personal-loan,current-campaign,previous-campaign,subscribed
48,admin.,married,secondary,no,112,no,no,5,0,no
57,housemaid,married,primary,no,50,no,no,3,0,no
64,housemaid,married,primary,no,768,no,no,2,1,no
26,services,divorced,secondary,no,74,yes,no,6,0,no
33,blue-collar,married,secondary,no,661,yes,no,1,0,yes
50,self-employed,married,secondary,no,3025,no,yes,3,0,no
47,self-employed,married,tertiary,no,751,no,no,14,0,no
39,management,single,tertiary,no,416,no,no,4,0,no
52,services,married,primary,no,14,no,yes,5,0,no
31,blue-collar,single,primary,no,-502,yes,no,4,0,no
50,blue-collar,married,primary,no,0,no,no,5,0,no
47,technician,married,secondary,no,599,yes,no,3,0,no
30,management,single,tertiary,no,-218,yes,no,15,0,no
32,technician,single,tertiary,no,1012,no,no,1,0,no
36,technician,married,secondary,no,300,no,no,1,0,no
46,technician,married,tertiary,no,217,yes,no,1,2,no
45,management,divorced,tertiary,no,2096,no,no,1,2,no
37,technician,single,secondary,no,0,no,no,2,0,no
58,housemaid,married,primary,no,5278,yes,no,4,0,no
59,management,married,tertiary,no,1831,no,no,1,1,no
28,management,married,tertiary,no,1480,yes,no,1,0,no
48,management,married,tertiary,no,7289,yes,no,3,0,no
55,blue-collar,married,unknown,no,1665,no,no,2,0,no
37,blue-collar,single,primary,no,851,yes,no,1,1,no
41,management,married,tertiary,no,2885,no,no,1,0,no
35,blue-collar,married,secondary,no,137,no,yes,1,12,no
34,blue-collar,single,secondary,no,1239,yes,no,1,0,no
43,management,single,tertiary,no,146,no,no,1,5,no
59,technician,married,secondary,no,1,no,no,2,3,yes
50,blue-collar,divorced,primary,no,-10,no,yes,6,0,no
37,technician,married,secondary,no,480,no,no,2,8,yes
35,technician,married,secondary,no,2789,yes,no,2,1,no
50,technician,single,secondary,no,3897,no,no,1,0,no
36,technician,divorced,secondary,no,487,no,yes,3,0,no
41,admin.,married,secondary,no,5110,yes,no,1,0,no
28,management,married,tertiary,no,318,yes,no,4,0,no
42,technician,single,tertiary,no,-411,yes,no,5,3,no
60,retired,married,secondary,no,4820,no,no,1,0,no
28,management,single,tertiary,no,4937,yes,no,3,0,no
48,entrepreneur,married,secondary,no,725,no,yes,1,0,no
51,entrepreneur,married,tertiary,no,5403,no,no,1,0,no
32,technician,married,tertiary,no,4089,no,no,7,3,no
35,technician,married,tertiary,no,188,no,no,2,0,no
37,technician,married,unknown,no,189,no,no,1,2,yes
38,blue-collar,divorced,secondary,no,2998,yes,no,1,0,no
77,retired,married,secondary,no,610,no,no,3,0,no
32,management,single,unknown,no,787,no,no,1,0,no
43,technician,divorced,secondary,no,167,no,no,3,0,no
36,management,single,tertiary,no,243,yes,no,2,3,no
29,management,married,tertiary,no,877,no,no,3,0,no
32,admin.,single,secondary,no,2817,yes,no,1,0,no
41,management,divorced,tertiary,no,4567,yes,yes,1,0,no
26,services,single,secondary,no,127,yes,yes,3,0,no
34,blue-collar,married,primary,no,176,no,no,1,0,no
57,retired,married,tertiary,no,0,yes,yes,1,0,yes
36,services,single,secondary,no,1482,yes,no,2,1,no
42,blue-collar,married,secondary,no,3052,yes,no,1,0,no
35,technician,divorced,secondary,no,56,no,no,12,0,no
52,entrepreneur,divorced,primary,no,278,yes,no,2,0,no
36,management,single,tertiary,no,3875,yes,no,5,0,no
46,technician,married,secondary,no,-337,yes,no,1,0,no
60,management,divorced,tertiary,no,366,no,no,1,0,yes
57,housemaid,married,primary,no,501,yes,yes,2,0,no
48,management,married,tertiary,no,998,yes,no,3,0,no
59,self-employed,married,primary,no,0,yes,no,2,0,no
39,management,married,tertiary,no,246,no,no,2,0,no
44,blue-collar,married,secondary,no,-182,yes,yes,10,0,no
27,management,single,tertiary,no,446,no,no,3,0,no
59,retired,married,secondary,no,1173,no,no,2,0,no
36,technician,divorced,secondary,no,5957,yes,no,2,0,no
44,admin.,married,secondary,no,205,no,no,1,0,yes
50,admin.,married,secondary,no,0,no,no,4,0,no
41,management,divorced,tertiary,no,369,yes,no,3,0,no
47,admin.,married,secondary,no,1934,no,yes,1,1,no
32,technician,single,tertiary,no,259,no,no,4,0,no
38,blue-collar,married,secondary,no,284,yes,yes,6,0,no
55,blue-collar,married,unknown,no,23,no,no,2,0,no
38,management,single,tertiary,no,1373,no,no,4,0,no
31,management,single,tertiary,no,62,yes,no,1,5,no
38,blue-collar,divorced,secondary,no,157,no,no,5,0,no
29,unemployed,single,tertiary,no,991,no,no,1,0,no
55,services,married,secondary,no,186,yes,yes,1,0,no
35,unemployed,married,secondary,no,977,yes,no,4,1,no
40,self-employed,single,tertiary,no,2893,no,no,3,0,no
34,blue-collar,married,secondary,no,1897,yes,yes,1,0,no
32,technician,single,tertiary,no,5514,no,no,1,1,yes
33,blue-collar,married,secondary,no,889,yes,no,1,6,no
33,management,married,tertiary,no,273,yes,no,1,0,yes
37,admin.,married,secondary,no,1193,no,no,2,0,no
58,management,married,tertiary,no,2729,no,no,1,0,no
36,admin.,single,secondary,no,0,no,no,1,0,no
42,blue-collar,married,secondary,no,230,yes,no,7,0,no
34,technician,single,secondary,no,2729,yes,no,1,1,no
35,management,married,tertiary,no,317,yes,no,3,0,no
60,housemaid,married,primary,no,517,no,no,3,0,no
50,management,married,tertiary,no,-470,yes,no,2,3,no
28,self-employed,single,tertiary,no,4579,no,no,2,0,yes
27,blue-collar,divorced,secondary,no,1,yes,no,3,0,no
37,management,married,tertiary,no,5106,no,no,1,0,yes
31,technician,married,tertiary,no,636,yes,no,4,0,yes
34,services,married,secondary,no,1076,no,no,1,6,yes
38,management,married,tertiary,no,126,yes,no,2,0,no
32,self-employed,married,secondary,no,-33,yes,no,3,0,no
37,technician,married,secondary,no,430,no,no,4,0,no
33,admin.,married,secondary,no,-6,yes,no,2,0,no
71,technician,married,tertiary,no,383,no,no,2,3,no
27,technician,married,secondary,no,130,yes,no,3,0,no
38,blue-collar,married,primary,no,2569,no,no,1,0,no
34,technician,single,secondary,no,201,no,no,2,0,no
54,retired,divorced,tertiary,no,0,no,no,1,0,yes
30,blue-collar,married,secondary,no,6,yes,no,3,0,no
35,entrepreneur,single,secondary,no,475,no,yes,4,0,no
33,blue-collar,single,secondary,no,706,yes,no,1,1,no
36,management,married,secondary,no,1825,yes,no,1,1,no
59,self-employed,married,tertiary,no,185,no,no,5,1,no
72,blue-collar,married,primary,no,4415,no,no,1,0,no
64,management,married,tertiary,no,679,no,no,3,0,no
53,technician,divorced,secondary,no,320,no,no,1,0,no
35,management,single,tertiary,no,2988,yes,no,1,0,no
58,self-employed,married,secondary,no,1407,yes,no,1,0,no
40,technician,married,secondary,no,1270,no,no,2,0,no
41,services,divorced,secondary,no,654,yes,no,2,0,no
48,retired,married,primary,no,5173,yes,no,8,0,no
44,entrepreneur,married,tertiary,no,3463,yes,yes,3,0,no
39,blue-collar,married,unknown,no,0,no,no,1,3,no
61,management,married,tertiary,no,6016,no,no,3,0,yes
36,entrepreneur,married,primary,no,177,yes,no,5,0,no
28,management,married,tertiary,no,3694,no,yes,2,0,no
58,retired,single,secondary,no,1640,no,yes,6,4,no
60,admin.,divorced,secondary,no,174,yes,no,1,1,no
66,admin.,single,secondary,no,10177,no,no,4,0,no
36,management,single,tertiary,no,490,no,no,8,1,yes
49,self-employed,married,secondary,no,2576,yes,no,6,0,no
40,services,married,secondary,no,0,no,no,2,0,no
23,technician,single,secondary,no,598,no,no,1,0,no
29,management,single,tertiary,no,15459,no,no,3,7,no
44,blue-collar,married,primary,no,271,yes,yes,1,0,no
54,unknown,married,unknown,no,2508,no,no,8,0,no
47,blue-collar,married,primary,no,320,no,no,2,0,no
33,admin.,married,tertiary,no,640,no,no,1,0,no
30,self-employed,married,secondary,no,1772,yes,no,4,0,no
27,admin.,single,secondary,no,15,no,yes,1,0,no
49,management,divorced,tertiary,no,2370,yes,yes,1,2,no
27,services,single,secondary,no,201,yes,no,2,0,no
51,blue-collar,married,secondary,no,160,yes,no,1,1,no
32,admin.,divorced,secondary,yes,5,yes,yes,3,2,no
30,blue-collar,single,secondary,no,75,yes,no,1,0,no
33,admin.,married,secondary,no,4902,yes,no,1,0,no
27,blue-collar,single,primary,no,-79,yes,no,5,0,no
75,retired,divorced,secondary,no,1341,no,no,7,0,yes
37,services,divorced,secondary,no,490,yes,no,1,0,no
36,technician,single,secondary,no,1521,yes,no,2,0,no
37,blue-collar,married,secondary,no,131,yes,no,2,0,no
35,management,married,tertiary,no,8,yes,no,4,0,no
32,services,married,secondary,no,-632,yes,yes,5,0,no
32,admin.,single,secondary,no,116,no,yes,2,0,no
35,admin.,married,primary,no,189,yes,no,1,0,no
31,blue-collar,married,primary,no,2,yes,yes,1,0,no
28,blue-collar,single,secondary,no,4229,yes,yes,2,0,no
27,services,married,secondary,no,54,yes,no,1,1,no
22,student,single,unknown,no,549,no,no,1,0,no
35,blue-collar,married,primary,no,298,yes,no,2,2,no
69,retired,married,primary,no,579,no,no,1,0,no
37,entrepreneur,single,tertiary,no,1467,yes,yes,1,0,no
45,admin.,single,secondary,no,0,yes,no,1,0,no
47,management,married,tertiary,no,109,yes,no,1,0,no
52,management,married,tertiary,no,-11,yes,no,4,0,no
33,services,married,secondary,no,90,yes,no,2,0,no
60,blue-collar,married,primary,no,493,no,no,4,0,yes
33,management,divorced,secondary,no,1897,yes,yes,1,0,no
44,admin.,married,secondary,no,2403,yes,no,2,0,no
38,entrepreneur,married,secondary,no,868,no,no,2,0,no
54,entrepreneur,married,secondary,no,653,yes,no,1,0,no
32,unemployed,divorced,primary,no,0,no,no,4,0,no
33,technician,married,secondary,no,0,yes,yes,2,0,no
55,services,divorced,secondary,no,218,yes,no,2,0,no
51,blue-collar,married,primary,no,5050,no,yes,7,0,no
48,blue-collar,married,secondary,no,741,yes,no,1,0,no
37,services,single,secondary,no,1050,yes,no,3,0,no
33,services,single,secondary,no,-56,no,yes,5,0,no
30,blue-collar,married,primary,no,1,yes,yes,2,0,no
43,blue-collar,married,primary,no,-98,yes,yes,2,3,no
49,technician,married,secondary,no,4667,yes,no,2,0,no
54,unemployed,married,primary,no,541,yes,no,3,0,no
31,unemployed,married,tertiary,no,7744,no,no,8,0,no
54,unknown,married,unknown,no,895,no,no,1,0,yes
36,unemployed,married,secondary,no,-129,yes,no,3,0,no
30,admin.,married,secondary,no,0,no,no,5,0,no
27,technician,single,secondary,no,158,no,no,2,0,yes
30,admin.,married,secondary,no,122,yes,no,1,0,no
30,blue-collar,married,secondary,no,673,yes,no,2,0,no
35,technician,divorced,secondary,no,0,no,no,4,0,no
33,services,divorced,secondary,no,411,yes,no,1,0,no
43,blue-collar,divorced,primary,no,-97,yes,yes,4,0,no
41,blue-collar,married,secondary,no,-217,yes,no,1,3,no
41,management,divorced,tertiary,no,5037,no,no,9,5,yes
46,admin.,divorced,secondary,no,2232,no,no,1,0,yes
54,blue-collar,married,secondary,no,-932,yes,no,1,0,no
32,management,married,tertiary,no,913,yes,no,1,4,no
30,technician,single,tertiary,no,236,yes,no,1,0,no
40,entrepreneur,married,primary,no,0,yes,no,2,0,no
30,blue-collar,married,primary,no,2581,no,no,2,0,no
27,admin.,married,secondary,no,639,no,yes,3,0,no
41,blue-collar,married,primary,no,849,yes,no,1,0,no
54,services,married,secondary,no,386,yes,no,2,0,no
32,management,single,tertiary,no,1218,yes,no,2,0,no
31,management,married,tertiary,no,2603,yes,no,4,0,yes
42,blue-collar,married,secondary,no,-921,yes,no,2,0,no
48,admin.,married,primary,no,607,no,no,2,0,no
34,blue-collar,married,primary,no,79,yes,no,2,0,no
55,technician,divorced,secondary,no,61,yes,yes,3,0,no
49,technician,married,secondary,no,1091,no,no,2,0,no
46,management,divorced,tertiary,no,743,no,no,2,0,no
47,entrepreneur,married,unknown,no,209,yes,no,2,0,no
24,management,single,tertiary,no,172,no,no,2,0,no
58,entrepreneur,married,secondary,no,2,no,no,1,0,no
32,management,single,tertiary,no,41,no,no,5,0,yes
25,student,single,secondary,no,1116,yes,no,3,0,no
49,blue-collar,married,secondary,no,-55,no,no,3,0,no
59,retired,divorced,secondary,no,5845,no,no,2,0,yes
30,management,single,tertiary,no,329,yes,no,16,0,no
46,blue-collar,married,secondary,no,494,yes,no,1,0,no
42,management,married,unknown,no,1519,no,no,1,1,yes
37,entrepreneur,married,tertiary,no,2685,no,no,2,0,no
44,blue-collar,married,primary,no,-14,yes,yes,4,0,no
49,services,married,secondary,no,5673,no,yes,3,0,no
41,blue-collar,married,secondary,no,1459,no,no,1,0,no
48,technician,married,tertiary,no,0,no,no,15,0,no
31,management,married,secondary,no,625,yes,no,1,1,no
37,student,married,unknown,no,0,no,no,1,0,no
51,services,married,secondary,no,867,yes,no,2,3,no
80,retired,married,secondary,no,8304,no,no,1,12,yes
32,management,single,tertiary,no,151,yes,no,1,0,no
48,services,married,primary,yes,-583,yes,no,7,0,no
49,blue-collar,married,tertiary,no,1784,no,no,1,0,no
30,management,married,tertiary,no,3134,yes,no,1,0,no
27,self-employed,single,secondary,no,49,yes,no,2,0,no
34,technician,married,secondary,no,-346,no,no,4,0,no
49,management,married,secondary,no,1623,yes,no,2,0,yes
48,management,married,tertiary,no,60,no,no,2,7,no
40,services,married,secondary,no,17,no,no,1,0,no
38,blue-collar,married,secondary,no,2008,yes,no,1,0,no
46,blue-collar,married,primary,no,91,yes,no,1,2,no
41,entrepreneur,married,tertiary,no,171,yes,no,1,4,no
28,management,single,tertiary,no,1027,yes,no,1,0,no
51,services,married,unknown,no,5801,yes,no,2,0,no
33,blue-collar,divorced,primary,no,142,yes,no,2,5,no
26,management,single,tertiary,no,205,no,no,1,0,no
34,admin.,single,secondary,no,852,no,no,2,0,no
27,blue-collar,married,secondary,yes,-584,yes,no,2,0,no
42,self-employed,married,secondary,no,97,no,no,2,0,no
45,admin.,married,secondary,no,204,yes,no,2,0,yes
31,technician,single,secondary,no,628,yes,no,2,0,no
32,management,single,tertiary,no,311,no,no,2,0,yes
39,blue-collar,married,primary,no,1564,no,no,1,0,no
26,blue-collar,single,secondary,no,856,yes,yes,5,0,no
40,management,single,tertiary,no,1509,no,no,2,1,no
52,services,married,secondary,no,-888,no,no,1,0,no
40,technician,single,tertiary,no,226,no,no,2,0,no
48,technician,married,secondary,no,127,no,yes,5,0,no
31,services,married,secondary,no,413,yes,no,1,0,no
27,admin.,married,secondary,no,710,yes,yes,1,2,yes
47,technician,married,secondary,no,1233,yes,no,1,2,yes
28,management,single,secondary,no,171,no,no,1,0,yes
40,management,divorced,tertiary,no,69,yes,no,2,2,no
34,admin.,married,secondary,no,1499,yes,no,1,2,no
29,self-employed,married,tertiary,no,751,yes,no,2,0,no
36,management,married,tertiary,no,61,no,yes,2,0,no
83,retired,married,primary,no,425,no,no,1,1,yes
55,services,divorced,primary,no,2923,yes,no,2,0,no
43,management,divorced,tertiary,no,99,no,no,3,0,no
23,student,single,secondary,no,1021,no,no,9,0,no
44,technician,married,tertiary,no,1146,no,no,2,0,no
58,blue-collar,married,primary,no,781,yes,no,2,0,no
29,admin.,single,secondary,no,1448,no,no,1,7,no
30,management,single,tertiary,no,604,no,yes,1,0,no
29,admin.,single,secondary,no,-194,yes,no,1,0,no
41,technician,married,secondary,no,0,no,no,1,0,no
35,housemaid,married,primary,no,0,yes,no,3,0,no
31,technician,single,secondary,no,1014,yes,no,4,0,no
27,admin.,single,tertiary,no,73,no,no,1,0,no
47,services,married,secondary,no,2597,yes,no,1,0,no
53,self-employed,married,tertiary,no,2627,yes,yes,30,0,no
34,management,married,tertiary,no,1906,yes,no,3,0,no
34,blue-collar,married,primary,no,-319,yes,yes,4,0,no
36,management,married,tertiary,no,-296,yes,no,3,0,no
40,technician,married,secondary,no,169,yes,no,4,0,no
37,self-employed,single,tertiary,no,556,no,no,2,0,no
65,retired,divorced,unknown,no,300,no,no,2,0,no
53,technician,divorced,secondary,no,751,yes,no,4,0,no
28,technician,single,secondary,no,126,no,no,1,0,no
33,technician,divorced,tertiary,no,-386,yes,no,1,0,no
56,blue-collar,married,primary,no,379,no,no,5,0,no
45,self-employed,married,secondary,no,706,no,no,2,1,no
39,technician,married,secondary,no,9121,no,no,1,0,no
28,management,single,tertiary,no,1466,yes,no,1,0,no
36,blue-collar,married,primary,no,0,yes,no,2,0,no
41,blue-collar,married,primary,no,951,yes,no,4,0,no
46,admin.,married,secondary,no,368,no,no,1,4,yes
41,blue-collar,married,secondary,no,121,yes,no,6,5,no
59,services,married,secondary,no,204,no,no,2,0,no
24,admin.,married,secondary,no,299,yes,no,1,1,no
34,management,married,tertiary,no,4170,yes,no,1,0,no
40,blue-collar,married,primary,no,-335,yes,no,1,0,no
42,admin.,married,secondary,no,3165,yes,no,4,0,no
50,services,married,secondary,no,254,yes,no,2,1,no
25,management,single,tertiary,no,553,yes,no,4,1,no
51,services,divorced,secondary,no,518,yes,no,1,0,no
50,management,married,tertiary,no,85,no,yes,1,0,no
37,blue-collar,married,unknown,no,603,yes,no,2,0,no
21,services,single,secondary,no,361,no,no,1,1,no
52,blue-collar,married,secondary,no,-98,yes,no,1,0,no
55,retired,married,primary,no,4424,no,no,4,0,no
26,technician,single,secondary,no,2610,yes,yes,1,0,no
38,technician,married,tertiary,no,3234,no,no,2,0,yes
32,blue-collar,married,secondary,no,687,yes,no,1,0,no
31,blue-collar,married,secondary,no,631,yes,no,4,0,no
34,technician,single,secondary,no,341,no,yes,1,3,no
33,technician,single,tertiary,no,316,no,no,3,0,no
35,technician,married,secondary,no,2,no,no,3,0,no
44,management,married,unknown,no,415,yes,no,7,0,no
48,management,divorced,tertiary,no,507,yes,no,1,0,no
29,blue-collar,married,secondary,no,912,yes,no,1,0,no
50,management,married,tertiary,no,0,no,no,5,0,no
37,blue-collar,married,primary,no,37,yes,no,2,1,no
44,admin.,single,secondary,no,2524,no,no,1,0,no
36,unemployed,single,tertiary,no,9019,yes,no,3,0,no
49,blue-collar,divorced,unknown,no,39,yes,no,5,0,no
31,blue-collar,married,secondary,no,0,yes,no,1,0,no
49,technician,divorced,secondary,no,265,yes,no,6,0,no
35,blue-collar,single,secondary,no,0,yes,no,1,4,yes
57,admin.,divorced,unknown,no,4012,no,no,1,0,no
42,blue-collar,married,primary,no,1520,yes,no,1,0,no
36,blue-collar,divorced,secondary,no,-140,yes,no,2,0,no
75,retired,divorced,primary,no,852,no,no,1,0,no
38,blue-collar,single,secondary,no,578,yes,no,2,0,no
40,blue-collar,married,primary,yes,0,yes,no,2,0,no
38,services,single,secondary,no,2253,yes,no,3,0,yes
34,management,single,tertiary,no,1171,yes,no,1,0,no
29,technician,single,tertiary,no,452,yes,no,1,0,no
28,admin.,married,secondary,no,-97,yes,no,1,2,no
79,retired,married,secondary,no,4738,no,no,5,0,no
51,admin.,divorced,secondary,no,467,yes,no,1,0,no
32,student,single,tertiary,no,0,no,no,5,6,no
36,management,married,tertiary,no,495,no,no,3,2,yes
38,entrepreneur,married,secondary,no,157,no,yes,11,1,no
49,self-employed,married,secondary,no,358,yes,yes,3,0,no
42,services,married,secondary,no,292,yes,no,3,0,no
43,blue-collar,married,primary,no,7343,yes,no,4,0,no
34,blue-collar,married,secondary,no,-563,yes,no,1,0,no
59,retired,single,secondary,no,351,yes,no,5,0,yes
35,unknown,married,primary,no,365,no,no,2,0,no
33,blue-collar,single,secondary,no,13494,yes,no,25,0,no
34,admin.,single,secondary,no,846,yes,no,2,0,no
64,retired,married,secondary,no,1574,no,no,3,0,yes
34,entrepreneur,married,tertiary,no,-28,yes,no,1,0,no
77,retired,married,tertiary,no,0,no,no,1,1,yes
57,retired,married,primary,no,2927,no,yes,5,0,no
30,blue-collar,married,secondary,no,501,yes,yes,1,0,no
56,housemaid,divorced,primary,yes,1238,no,no,1,0,yes
49,unknown,married,unknown,no,301,no,no,2,0,no
73,retired,married,primary,no,1388,no,no,3,3,no
39,technician,single,secondary,no,102,yes,no,2,0,no
57,technician,divorced,primary,no,13,yes,no,2,2,no
32,self-employed,married,secondary,no,413,yes,no,2,0,no
32,technician,single,tertiary,no,4665,yes,no,2,0,yes
45,admin.,married,secondary,no,638,yes,no,9,0,no
32,blue-collar,married,secondary,no,101,yes,no,4,0,no
31,management,married,tertiary,no,1224,yes,yes,2,0,yes
49,self-employed,married,secondary,no,1103,no,no,2,0,no
29,services,married,secondary,no,3748,no,no,3,0,no
55,technician,married,secondary,no,955,yes,no,1,0,no
30,admin.,married,secondary,no,518,yes,no,1,0,no
45,services,single,primary,no,1893,yes,no,6,0,yes
39,technician,married,tertiary,no,14,no,no,2,0,no
36,admin.,married,secondary,no,-423,yes,yes,1,0,no
33,management,married,tertiary,no,3696,no,no,1,3,no
36,management,married,tertiary,no,2987,yes,no,1,0,yes
31,technician,single,secondary,no,433,no,no,2,0,no
36,technician,married,unknown,no,756,no,no,3,0,no
38,technician,single,tertiary,no,0,yes,no,1,0,no
33,unknown,married,secondary,no,2727,no,no,3,0,no
40,technician,married,secondary,no,93,yes,no,2,0,no
31,blue-collar,married,secondary,no,1766,no,yes,2,0,yes
39,services,married,secondary,no,124,yes,no,5,0,no
33,admin.,married,tertiary,no,69,no,yes,2,0,no
53,services,divorced,secondary,no,0,no,no,2,0,yes
38,management,married,tertiary,no,0,yes,no,5,2,no
59,technician,married,secondary,no,259,no,no,1,1,yes
55,blue-collar,married,primary,no,4103,no,no,1,0,no
38,technician,single,tertiary,no,744,yes,no,1,12,no
48,services,married,secondary,no,116,yes,no,4,0,no
53,blue-collar,married,secondary,no,70,yes,no,2,0,no
44,admin.,divorced,secondary,no,432,no,no,3,0,no
57,management,married,tertiary,no,1172,no,no,1,0,no
29,blue-collar,single,secondary,no,9,yes,no,3,0,no
31,services,married,secondary,no,428,yes,no,1,0,no
35,technician,single,tertiary,no,7546,yes,no,1,3,no
31,blue-collar,married,primary,no,620,no,no,1,0,no
35,self-employed,married,tertiary,no,8647,no,no,2,0,no
40,management,single,secondary,no,192,yes,no,11,0,no
39,blue-collar,married,secondary,no,0,yes,no,1,2,no
43,technician,single,tertiary,no,27733,yes,no,7,0,no
44,entrepreneur,married,primary,no,276,yes,yes,1,0,no
29,technician,single,secondary,no,113,no,no,2,4,yes
40,technician,married,secondary,no,782,yes,no,2,0,no
33,entrepreneur,married,primary,no,82,yes,no,2,0,no
46,management,married,tertiary,no,1008,no,no,13,0,no
27,unknown,single,tertiary,no,6421,no,no,4,0,no
26,admin.,single,secondary,no,443,no,no,3,0,no
41,technician,married,secondary,no,351,yes,no,1,0,no
34,technician,married,tertiary,no,5060,yes,no,21,0,no
39,technician,single,tertiary,no,-41,no,yes,15,0,no
27,services,single,secondary,no,-124,no,no,1,0,no
31,blue-collar,married,secondary,no,79,yes,yes,11,0,no
44,unemployed,single,secondary,no,3945,no,no,1,0,no
55,retired,married,tertiary,no,197,no,yes,1,0,no
51,blue-collar,divorced,primary,no,837,no,no,2,0,no
50,management,married,tertiary,no,-94,no,yes,1,0,no
30,services,married,secondary,no,1743,yes,no,4,0,no
46,technician,married,secondary,no,57,no,no,1,0,yes
49,admin.,married,secondary,no,635,no,no,3,0,no
56,retired,married,secondary,no,-113,yes,yes,2,0,no
47,admin.,divorced,secondary,no,225,no,no,4,0,yes
30,admin.,married,secondary,no,124,no,no,2,0,no
36,entrepreneur,single,secondary,no,475,no,no,3,0,no
40,management,married,tertiary,no,-7,no,yes,1,0,no
37,technician,single,secondary,yes,375,no,no,2,0,no
42,admin.,divorced,secondary,no,936,no,no,1,0,yes
45,technician,married,secondary,no,1415,yes,no,1,1,no
34,unemployed,single,secondary,no,0,no,no,2,0,no
27,admin.,single,secondary,no,3638,no,no,5,0,no
30,blue-collar,married,secondary,no,-99,yes,no,5,0,no
32,technician,married,secondary,no,167,yes,yes,3,0,no
46,housemaid,married,primary,no,19,yes,no,1,0,no
29,self-employed,married,tertiary,no,242,yes,no,4,0,no
53,unknown,married,unknown,no,13,no,no,1,0,no
32,technician,married,secondary,no,286,no,no,1,4,no
49,unemployed,married,secondary,no,769,yes,no,1,0,no
35,management,married,tertiary,no,93,no,no,2,1,no
38,blue-collar,married,secondary,no,1663,yes,no,3,1,no
39,entrepreneur,married,primary,no,238,yes,yes,1,0,no
34,technician,single,secondary,no,2178,yes,no,1,0,no
42,blue-collar,married,primary,no,792,yes,yes,2,12,no
35,blue-collar,single,unknown,no,871,yes,no,3,0,no
60,admin.,married,secondary,no,1025,no,no,8,0,no
57,technician,divorced,secondary,no,63,yes,no,1,0,no
31,blue-collar,single,secondary,no,16,no,no,1,0,no
29,management,single,secondary,no,417,no,no,1,0,no
41,services,married,secondary,no,3992,yes,no,2,0,no
46,blue-collar,married,primary,no,2749,yes,no,1,0,no
33,technician,married,secondary,no,133,no,no,1,0,yes
32,blue-collar,single,secondary,no,1721,yes,no,2,0,no
54,management,divorced,tertiary,no,2171,yes,yes,1,0,yes
37,services,married,secondary,no,4760,yes,no,2,2,no
32,technician,single,secondary,no,2979,no,no,1,0,no
43,management,married,tertiary,no,690,yes,no,3,0,no
50,blue-collar,divorced,secondary,no,203,yes,no,1,4,no
34,blue-collar,married,secondary,no,322,yes,no,3,0,no
31,admin.,divorced,secondary,no,1210,no,no,1,0,no
43,self-employed,married,secondary,no,634,yes,no,1,1,no
49,entrepreneur,married,secondary,no,273,no,no,1,0,no
22,student,single,unknown,no,47,no,no,3,0,no
35,management,married,tertiary,no,1100,no,yes,2,0,no
56,admin.,married,secondary,no,0,yes,no,2,0,no
53,blue-collar,married,secondary,no,0,no,no,4,0,no
54,entrepreneur,married,tertiary,no,1544,no,yes,7,3,no
32,services,single,unknown,no,6145,yes,no,1,13,no
41,self-employed,married,secondary,no,28,yes,no,1,0,no
40,blue-collar,married,secondary,no,1012,yes,no,1,0,no
33,blue-collar,married,primary,no,245,yes,yes,3,0,no
33,management,single,tertiary,no,1998,no,no,1,0,no
34,blue-collar,married,secondary,no,3990,yes,no,7,0,no
36,services,married,secondary,no,1328,yes,no,4,0,no
34,entrepreneur,married,tertiary,no,412,yes,yes,1,0,no
55,management,married,primary,no,229,no,yes,3,0,no
28,student,single,tertiary,no,1562,no,no,4,0,yes
29,admin.,single,secondary,no,3432,yes,no,2,0,no
31,admin.,single,secondary,no,144,yes,no,11,0,no
52,management,married,tertiary,no,1339,yes,no,5,0,no
54,services,married,unknown,no,386,no,yes,1,1,no
43,blue-collar,married,primary,no,7727,yes,no,8,0,no
55,entrepreneur,married,secondary,no,204,no,no,13,0,no
28,blue-collar,divorced,unknown,no,101,yes,no,4,0,no
45,unemployed,divorced,secondary,no,728,yes,yes,1,0,no
45,entrepreneur,married,primary,no,2418,yes,no,1,0,no
51,management,married,tertiary,no,2934,yes,no,4,0,no
42,technician,single,secondary,no,0,yes,no,4,0,no
43,unknown,single,unknown,no,181,no,no,1,0,no
34,management,married,tertiary,no,176,no,no,4,0,no
36,blue-collar,married,primary,no,49,yes,no,2,5,no
37,blue-collar,married,secondary,no,2023,yes,no,1,0,no
50,blue-collar,married,secondary,no,372,yes,no,1,0,no
42,management,divorced,unknown,no,7702,no,no,2,0,yes
34,blue-collar,single,primary,no,464,yes,no,1,2,no
48,management,married,secondary,no,117,yes,no,1,0,no
47,admin.,married,secondary,no,104,yes,yes,2,0,no
40,management,married,tertiary,no,1041,yes,no,1,0,no
37,management,married,tertiary,no,539,no,no,2,3,no
38,blue-collar,married,primary,no,0,yes,no,2,0,no
29,technician,single,tertiary,no,406,yes,no,1,0,no
46,blue-collar,married,primary,no,2558,yes,no,1,1,no
26,blue-collar,married,secondary,no,484,yes,no,2,0,no
30,services,single,tertiary,no,3516,yes,no,4,0,no
42,blue-collar,married,secondary,no,5639,yes,no,2,0,no
42,management,single,tertiary,no,100,no,no,2,0,no
31,admin.,single,secondary,no,1306,yes,no,5,0,no
37,management,single,tertiary,no,815,yes,no,1,0,no
