Title,Keywords,Topics,High-Level Keyword(s),Abstract
Data-Parallel Computing Meets STRIPS,"planning
query optimization
data-parallel computing","Optimization
Other Applications
Deterministic Planning
Planning (General/Other)","Heuristic Search and Optimization
Applications
Reasoning about Plans, Processes, and Actions","The increased demand for distributed computations on “big data” has led to
solutions such as SCOPE, DryadLINQ, Pig, and Hive, which  
allow the user to specify queries in an SQL-like language, enriched with sets
of user-defined operators. 
The lack of exact semantics for user-defined operators interferes with the
query optimization process, thus putting the burden of suggesting, at least
partial, query plans on the user.
In an attempt to ease this burden, we propose a formal model that allows for
data-parallel program synthesis (DPPS) in a semantically well-deﬁned manner. We
show that this model generalizes existing frameworks for data-parallel
computation, while providing the flexibility of query plan generation that is
currently absent from these frameworks. In particular, we show how existing,
off-the-shelf, AI planning tools can be used for solving DPPS tasks."
Interdependent Multi-Issue Negotiation for Energy Exchange in Remote Communities,"Concurrent Negotiation
Negotiation Protocol
Energy Exchange
Multiagent systems
Nash bargaining solution
Complex Negotiation
Multi-issue negotiation
Interdependent issues","Negotiation and Contract-Based Systems
Multiagent Systems (General/other)",Multiagent Systems,"We present a novel negotiation protocol to facilitate energy exchange between off-grid homes that are equipped with renewable energy generation and electricity storage. Our protocol imposes restrictions over negotiation such that it reduces the complex interdependent multi-issue negotiation to one where agents have a strategy profile in subgame perfect Nash equilibrium. We show that our negotiation protocol is tractable, concurrent, scalable and leads to Pareto-optimal outcomes in a decentralised manner. We empirically evaluate our protocol and show that, in this instance, a society of agents can (i) improve the overall utilities by 14% and (ii) reduce their overall use of the batteries by 37%."
Unsupervised Cluster Matching via Probabilistic Latent Variable Models,"Cluster matching
Latent variable model
Bayesian nonparametrics","Bayesian Learning
Clustering
Unsupervised Learning (Other)",Machine Learning,"We propose a probabilistic latent variable model for unsupervised cluster matching, which is the task of finding correspondences between clusters of objects in different domains. Existing object matching methods find one-to-one matching in two domains. The proposed model finds many-to-many matching, and can handle multiple domains with different numbers of objects. The proposed model assumes that there are an infinite number of latent vectors that are shared by all domains, and each object is generated using one of the latent vectors and a domain-specific linear projection. By inferring a latent vector to be used for generating each object, objects in different domains are clustered in shared groups, and thus we can find matching between clusters in an unsupervised manner. We present efficient inference procedures of the proposed model based on a stochastic EM algorithm. The effectiveness of the proposed model is demonstrated with experiments using synthetic and real data sets."
Projected Group Sparse Coding for Image Classification,"sparse learning
supervised
dimension reduction",Classification,Machine Learning,"Classic sparse representation for classification (SRC) method fails to incorporate the label information of training images, and meanwhile has a poor scalability due to the expensive computation for L1 norm. In this paper, we propose a novel subspace sparse coding method with utilizing label information to effectively classify the images in the subspace. Our new approach unifies the tasks of dimension reduction and supervised sparse vector learning, by simultaneously preserving the data sparse structure and meanwhile seeking the optimal projection direction in the training stage, therefore accelerates the classification process in the test stage. In particular, for the representation vector learning during the training, we provide a novel algorithm that provides a closed form solution, which significantly reduces the computation time than classic gradient methods. Our method achieves both flat sparsity and structured sparsity for the representation vector, therefore making it more discriminative during the subspace learning and subsequent classification. Finally, the empirical classification experiments on 4 commonly used benchmark data sets demonstrate the effectiveness of our method."
Deep Manifold Learning,"Multiscale Analysis
Deep Learning
Diffusion Wavelets","Dimension Reduction/Feature Selection
Neural Networks/Deep Learning
Unsupervised Learning (Other)
Machine Learning (General/other)",Machine Learning,"Many high-dimensional data sets that lie on a low-dimensional manifold exhibit nontrivial regularities at multiple scales. Most work in manifold learning ignores this multiscale structure. In this paper, we propose approaches to explore the deep structures of manifolds. The proposed approaches are based on the diffusion wavelets model, data driven, and able to directly process directional neighborhood  relationships without ad-hoc symmetrization. The proposed multiscale algorithms are evaluated using both synthetic and real-world data sets."
Improved Optimal Search Heuristics with Manifold Learning,"Heuristic search
Machine learning
Manifold learning
Euclidean heuristic","Heuristic Search
Optimization
Dimension Reduction/Feature Selection","Heuristic Search and Optimization
Machine Learning","Recently, a Euclidean heuristic (EH) has been proposed for A* search.  EH exploits manifold learning methods to construct an embedding of the state space graph, and derives an admissible heuristic distance between two states from the Euclidean distance between their respective embedded points.  EH has shown good performance and memory efficiency in comparison to other existing heuristics such as differential heuristics. However, its potential has not been fully explored.  In this paper, we propose a number of techniques that can significantly improve the quality of EH. We propose a goal-oriented manifold learning scheme that optimizes the Euclidean distance to goals in the embedding while maintaining admissibility and consistency. We also propose a state heuristic enhancement technique to reduce the gap between heuristic and true distances. The enhanced heuristic is admissible but no longer consistent. We then employ a modified search algorithm that achieves optimality with inconsistent heuristics using consistency check and propagation.  We demonstrate the effectiveness of the above techniques and report un-matched reduction in search costs across several non-trivial benchmark search problems."
Robust Discrete Matrix Completion,"Discrete matrix completion
Social network link prediction
Protein-protein interaction prediction","Information Retrieval
Biomedical / Bioinformatics
Social Networks","Knowledge-Based Systems
Applications","Missing data inference is an important research topic in data mining and has many applications in various disciplines. In many practical problems, such task can be formulated as recovering a matrix from a sampling of its entries. There have been many classic algorithms proposed for such matrix completion problems including recently popular trace norm minimization method. However, most current matrix completion methods seek the matrix global structure in the real number domain and produce predictions that are inappropriate for applications that retain discrete structure. In these cases, an additional step is required to post-process these predictions with either heuristic threshold parameters or some complicated mappings, such ad-hoc process is often both inefficient and impractical. In this paper, we propose a novel robust discrete matrix completion algorithm that produces the prediction from the collection of user specified label values. Such method achieves a high prediction accuracy, very close to the optimal value of competitive methods with threshold values tuning. We solve the daunting integer programming problem via incorporating augmented Lagrangian method in an elegant way, which greatly accelerates the converge process of our method and provides the asymptotic convergence in theory. Extensive experiments have been conducted on 3 types of real data sets and all empirical results demonstrate the effectiveness of our method."
Spectral Rotation vs K-means in Spectral Clustering,"spectral rotation
spectral clustering
k-means","Clustering
Evaluation and Analysis (Machine Learning)",Machine Learning,"Although spectral clustering is the state-of-the-art data clustering algorithm, the graph based clustering approaches often resort to other clustering methods, such as $K$-means, to get the final cluster structure. The potential flaw of such common practice is that the obtained relaxed continuous spectral solution could severely deviate from the true discrete solution. In this paper, we propose to impose an additional orthonormal constraint to better approximate the optimal continuous solution of the spectral clustering objective function. Such a method, called spectral rotation in literature, optimizes the spectral clustering objective functions better than $K$-means, such that the clustering accuracy is enhanced. We provide efficient algorithm to rigorously solve the new formulated problem, which is not significantly more costly than $K$-means. We also establish the connection between our method and $K$-means approach, to provide theoretical motivation of our method. Experimental results show that our algorithm \emph{consistently} reaches better cut and meanwhile outperforms in clustering metrics than classic spectral clustering methods."
Guiding Scientific Discovery with Explanations,"eigenbasis modeling
reconstruction error
scientific discovery
machine learning
interpretable machine learning
explanations","Data Mining and Knowledge Discovery
AI and Natural Sciences","Machine Learning
Applications","In the era of large scientific data sets, there is an urgent need for methods to automatically prioritize data for review. At the same time, for any automated method to be adopted by scientists, it must make decisions that they can understand and trust. In this paper, we propose Discovery through Eigenbasis Modeling of Uninteresting Data (DEMUD), which uses principal components modeling and reconstruction error to prioritize data. DEMUD’s major advance is to offer domain-specific explanations for its prioritizations. We evaluated DEMUD’s ability to quickly identify diverse items of interest and the value of the explanations it provides. We found that DEMUD performs as well or better than existing class discovery methods and provides, uniquely, the first explanations for why those items are of interest. Further, in collaborations with planetary scientists, we found that DEMUD (1) quickly identifies very rare items of scientific value, (2) maintains high diversity in its selections, and (3) provides explanations that greatly improve human classification accuracy."
Improving the Performance of Consistency Algorithms by Localizing and Bolstering Propagation in a Tree Decomposition,"consistency property
relational consistency
solving CSPs
tree decomposition","Constraint Satisfaction (General/other)
Constraint Satisfaction",Constraints and Satisfiability,"Certain classes of Constraint Satisfaction Problems (CSPs) can be solved in polynomial time when the consistency level corresponds to a structural parameter of the constraint network such as the treewidth or the hypertree width. In this work we exploit this condition and propose new techniques that allow us to practically approach the necessary consistency level. We proposed to apply the parametrized relational consistency property R(∗,m)C locally to the clusters of a tree decomposition and set the value of m to the total number of relations in the cluster. Moreover, we propose different schemes to bolster the separators to enhance the propagation. We conceptually compare the resulting new consistency properties to other consistency properties, and empirically evaluate them against GAC, maxRPWC and wR(∗,m)C. The empirical results suggest that our technique outperforms GAC, maxRPWC, and wR(∗,m)C in certain hard CSP classes."
Domain-specific Heuristics in Answer Set Programming,"answer set programming
answer set solving
heuristics
conflict-driven clause learning","SAT and CSP: Solvers and Tools
Heuristic Search
Logic Programming
Knowledge Representation (General/Other)","Constraints and Satisfiability
Heuristic Search and Optimization
Knowledge Representation and Reasoning","We introduce a general declarative framework for incorporating domain-specific heuristics into ASP solving.
We accomplish this by extending the first-order modeling language of ASP by a distinguished heuristic predicate.
The resulting heuristic information is processed as an equitable part of the logic program and subsequently exploited by the solver when it comes to non-deterministically assigning a truth value to an atom.
We implemented our approach as a dedicated heuristic in the ASP solver clasp and show its great prospect by an empirical evaluation."
Dynamic Social Choice: Foundations and Algorithms,"Computational social choice
Markov decision processes
Voting",Social Choice / Voting,Multiagent Systems,"Social choice theory provides insights into a variety of collective decision making settings, but nowadays some of its tenets are challenged by Internet environments, which call for dynamic decision making under constantly changing preferences. In this paper we model the problem via Markov decision processes (MDP), where the states of the MDP coincide with preference profiles and a (deterministic, stationary) policy corresponds to a social choice function. We can therefore employ the axioms studied in the social choice literature as guidelines in the design of socially desirable policies. We present tractable algorithms that compute optimal policies under different prominent social choice constraints. Our machinery relies on techniques for exploiting symmetries and isomorphisms between MDPs."
Information Sharing Under Costly Communication in Joint Exploration,"Multi-Agent Exploration
Cooperation
Coordination
Dynamic spectrum access networks","Coordination and Collaboration
Multiagent Systems (General/other)",Multiagent Systems,"This paper studies distributed cooperative multi-agent exploration methods in settings where the exploration is costly and the overall performance measure is determined by the minimum performance achieved by any of the individual agents.  Such an exploration setting is applicable to various multi-agent systems, e.g., in Dynamic Spectrum Access exploration. The goal in such problems is to optimize the process as a whole, considering the tradeoffs between the quality of the solution obtained and the cost associated with the exploration and coordination between the agents. Through the analysis of the two extreme cases where coordination is completely free and when entirely disabled, we manage to extract the solution for the general case where coordination is taken to be costly, modeled as a fee that needs to be paid for each additional coordinated agent. The strategy structure for the general case is shown to be threshold-based, and the thresholds which are analytically derived in this paper can be calculated offline, resulting in a very low online computational load. Finally, we analyze the case where the coordination is provided by a self-interested agent, showing that given the option for side-payments better socially-beneficial solutions can be extracted."
Smart Multi-task Bregman Clustering and Multi-task Kernel Clustering,"Multi-task Clustering
Multi-task Learning
Mercer Kernel","Optimization
Clustering
Kernel Methods","Heuristic Search and Optimization
Machine Learning","Multitask Bregman Clustering (MBC) alternatively updates clusters and learns relationship between clusters of different tasks, and the two phases boost each other. However, the boosting does not always have positive effects, it may also cause negative effects. Another issue of MBC is that it cannot deal with nonlinear separable data. In this paper, we show that MBC's process of using cluster relationship to boost the updating clusters phase may cause negative effects, i.e., cluster centroid may be skewed under some conditions. We propose a smart multi-task Bregman clustering (S-MBC) algorithm which identifies negative effects of the boosting and avoids the negative effect if it occurs. We then extend the framework of S-MBC to a smart multi-task kernel clustering (S-MKC) framework to deal with nonlinear separable data. We also propose a specific implementation of the framework which could be applied to any Mercer kernel. Experimental results confirm our analysis, and demonstrate the superiority of our proposed methods."
Cost-Optimal Planning by Self-Interested Agents,"Classical planning
Cost optimal planning
Multi-agent planning
Selfish agents
Mechanism design","Distributed Search
Mechanism Design
Multiagent Planning
Deterministic Planning","Heuristic Search and Optimization
Multiagent Systems
Reasoning about Plans, Processes, and Actions","As our world becomes better connected, more open ended, production becomes more customized, and autonomous agents no longer appear to be science fiction, a natural need arises for enabling groups of selfish agents to cooperate in generating a plan for diverse tasks that none of them can perform alone in a cost-effective manner. While most work on planning for/by selfish agents revolves around finding stable solutions (e.g., Nash Equilibrium), this work combines techniques from mechanism design with a recently introduced method for distributed planning, in order to find cost optimal (and, thus, social welfare maximizing) solutions. Based on the Vickrey-Clarke-Groves mechanisms, we present both a centralized, and a privacy-preserving distributed mechanism."
Simple Temporal Problems with Taboo Regions,"Temporal Reasoning
Constraint Satisfaction
Algorithms and Complexity","Constraint Optimization
Constraint Satisfaction (General/other)
Geometric, Spatial, and Temporal Reasoning
Scheduling","Constraints and Satisfiability
Knowledge Representation and Reasoning
Reasoning about Plans, Processes, and Actions","In this paper, we define and study the general framework of Simple Temporal Problems with Taboo regions (STPTs), and we show how these problems capture metric temporal reasoning aspects which are common to many real-world applications. STPTs encode simple temporal constraints between events and user-defined taboo regions on the timeline during which no event is allowed to execute. We discuss two different variants of STPTs. The first one deals with instantaneous events, while the second one allows for processes with flexible durations. We also provide polynomial-time algorithms for solving them. When not all events or processes can be scheduled outside of the taboo regions, one needs to define and reason about ""soft"" STPTs. We show that even ""soft"" STPTs can be solved in polynomial time, using reductions to max-flow. This also allows for incremental computation, which is central to the successful application of our approach in real-time domains."
A Cyclic Weighted Median Method for L1 Low-Rank Matrix Factorization with Missing Entries,"low rank matrix factorization
face modeling
weighted median","Unsupervised Learning (Other)
Machine Learning (General/other)",Machine Learning,"A challenging problem in machine learning, information retrieval and computer vision research is how to recover a low-rank representation of the given data in the presence of outliers and missing entries. The L1-norm low-rank matrix factorization (LRMF) has been a popular approach to solving this problem. However, L1-norm LRMF is difficult to achieve due to its non-convexity and non-smoothness, and existing methods are often inefficient and fail to converge to a desired solution. In this paper we propose a novel cyclic weighted median (CWM) method, which is intrinsically a coordinate decent algorithm, for L1-norm LRMF. The CWM method minimizes the objective by solving a sequence of scalar minimization sub-problems, each of which is convex and can be easily solved by the weighted median filter. The extensive experimental results validate that the proposed CWM method outperforms state-of-the-arts in terms of both accuracy and computational efficiency."
How Bad is Selfish Voting?,"Computational social choice
Price of anarchy
Best response dynamics","Game Theory
Social Choice / Voting",Multiagent Systems,"It is well known that strategic behavior in elections is essentially unavoidable; we therefore ask: how bad can the rational outcome be? We answer this question via the notion of the price of anarchy, using the scores of alternatives as a proxy for their quality and bounding the ratio between the score of the optimal alternative and the score of the winning alternative in Nash equilibrium. Specifically, we are interested in Nash equilibria that are obtained via sequences of rational strategic moves. Focusing on three common voting rules — plurality, veto, and Borda — we provide very positive results for plurality and very negative results for Borda, and place veto in the middle of this spectrum."
Incremental Learning Framework for Indoor Scene Recognition,"Scene Recognition
Incremental Learning and Clustering
Robotics Vision","Human-Robot Interaction
Vision, Object Recognition, and Perception",Robotics,"This paper presents a novel framework for online incremental place recognition in an indoor environment. The framework addresses the scenario in which scene images are gradually obtained during long-term operation in the real-world indoor environment. Multiple users may interact with the classification system and confirm either current or past prediction results; the system then immediately updates itself to improve the classification system. This framework is based on the proposed n-value self-organizing and incremental neural network (n-SOINN), which has been derived by modifying the original SOINN to be appropriate for use in scene recognition. The evaluation was performed on the standard MIT 67-category indoor scene dataset and shows that the proposed framework achieves the same accuracy as that of the state-of-the-art offline method, while the computation time of the proposed framework is significantly faster and fully incremental update is allowed. Additionally, a small extra set of training samples is incrementally given to the system to simulate the incremental learning situation. The result shows that the proposed framework can leverage such additional samples incrementally and achieve the state-of-the-art result."
A Topic-Based Coherence Model for Statistical Machine Translation,"coherence
statistical machine translation
document-level statistical machine translation
topic model","Discourse and Dialogue
Semantics and Summarization
Natural Language Processing (General/Other)",Natural Language Processing,"Coherence that ties sentences of a text into a meaningfully connected structure is of great importance to text generation and translation. In this paper, we propose a topic-based coherence model to produce coherence for document translation, in terms of the continuity of sentence topics in a text. We automatically extract a coherence chain for each source text to be translated. Based on the extracted source coherence chain, we adopt a maximum entropy classifier to predict the target coherence chain that defines a linear topic structure for the target document. The proposed topic-based coherence model then uses the predicted target coherence chain to help decoder select coherent word/phrase translations. Our experiments show that incorporating the topic-based coherence model into machine translation achieves substantial improvement over both the baseline and previous methods that integrate document topics rather than coherence chains into machine translation."
Qualitative Planning under Partial Observability in Multi-Agent Domains,"Dec-POMDP
Planning
Multi-Agent","Multiagent Planning
Planning (General/Other)","Multiagent Systems
Reasoning about Plans, Processes, and Actions","Decentralized POMDPs (Dec-POMDPs) provide a rich, attractive model for planning under uncertainty and partial observability in cooperative multi-agent domains with a growing body of research. In this paper we formulate a qualitative, propositional model for multi-agent planning under uncertainty with partial observability, which we call QDec-POMDP. We show that the worst-case complexity of planning in QDec-POMDPs is similar to that of Dec-POMDPs. Still, because the model is more ""classical"" in nature, it is more compact and easier to specify.  Furthermore, it eases the adaptation of methods used in classical and contingent planning to solve problems to which Dec-POMDPs solution techniques cannot scale up.
In particular, in this paper we describe a method based on compilation to classical planning, which handles multi-agent planning problems significantly larger than those handled by current Dec-POMDP algorithms."
Multi-agent Knowledge and Belief Change in the Situation Calculus,"Belief change
Multi-agent systems
Situation calculus","Action, Change, and Causality
Belief Change
Reasoning with Beliefs",Knowledge Representation and Reasoning,"Belief change is an important research area in Artificial Intelligence. It becomes more perplexing in the presence of multiple agents, since the action of an agent may be partially observable to other agents. In this paper, we present a general approach to reasoning about actions and belief change in multi-agent scenarios. Our approach is based on a multi-agent extension to the situation calculus, augmented by a plausibility relation over situations and another one over actions, which is used to represent agents' different perspectives on actions. When an action is performed, we update the agents' plausibility order over situations by giving priority to the plausibility order over actions, in line with the AGM approach of giving priority to new information. We show that our notion of belief satisfies KD45 properties. When it comes to the special case of belief change of a single agent, we show that our framework satisfies most of the classical AGM, DP, and KM postulates. Finally, we present properties concerning the change of common knowledge and belief of a group of agents."
From Interest to Function: Location Estimation in Social Media,"Location estimation
interest mining
social media","Data Mining and Knowledge Discovery
Social Networks","Machine Learning
Applications","Recent years have witnessed the tremendous development of the social media, which possesses a vast number of Internet users. The high-dimension content generated by these users provides a unique opportunity to understand their behavior deeply. As one of the most fundamental topics, location estimation attracts more and more research efforts. Different from the previous literature, we find that user location is strongly related with user interest. Based on this, we first build an detection model to mining user interest from short text, then the mapping between location function and user interest is established and an efficient model is finally presented to predict the user location with convincing fidelity. Thorough evaluations and comparisons on an authentic data set show that our model outperforms the previous approaches greatly and the high efficiency also guarantees its applicability in real-world scenarios."
Integrating Programing by Example and Natural Language Programing,"Programing by Example
Natural Language Programing
Natural Language Processing
Supervised Learning","Intelligent User Interfaces
Other Multidisciplinary Topics
Natural Language Processing (General/Other)","Multidisciplinary Topics
Natural Language Processing","We motivate the integration of programming by example and natural language programming by developing a system for specifying programs for simple text editing operations. The programs are described with unconstrained natural language instructions, and providing a single example of input/output.
We show that natural language allows the system to deduce the correct program much more often and much faster than is possible with the input/output example(s) alone, showing that natural language programming and programming by example can be combined in a way that overcomes the ambiguities that both methods suffer from individually, with a minimum of additional effort from the user."
Filtering with Logic Programs and its Application to General Game Playing,"General Game Playing
Filtering with logic programs
Abductive logic programming","Action, Change, and Causality
Knowledge Representation (General/Other)
Games and Game Playing","Knowledge Representation and Reasoning
Applications","Motivated by the problem of building a basic reasoner for general game playing with imperfect information, we address the problem of filtering with logic programs, whereby an agent updates its incomplete knowledge of a program by observations. We develop a filtering method by adapting an existing backward-chaining and abduction method for so-called open logic programs. Experimental results show that this provides for a basic effective and efficient ""legal"" player for general imperfect-information games."
Supervised Nonnegative Tensor Factorization with Maximum-Margin Constraints,"supervised
tensor factorization
maximum-margin","Classification
Supervised Learning (Other)
Machine Learning (General/other)","Machine Learning
Natural Language Processing","Non-negative tensor factorization (NTF) has attracted great attention in the machine learning community. In this paper, we extend traditional non-negative tensor factorization into a supervised discriminative decomposition, referred as Supervised Non-negative Tensor Factorization with Maximum-Margin constraints (SNTFM^2). SNTFM^2 formulates the optimal discriminative factorization of non-negative tensorial data as a coupled least-squares optimization problem via a maximum-margin method. As a result, SNTFM^2 not only faithfully approximates the tensorial data by additive combinations of the basis, but also obtains a strong generalization power to discriminative analysis (in particular for classification in this paper). The experimental results show the superiority of our proposed model over state-of-the-art techniques on both toy and real world data sets."
The Automated Acquisition of Suggestions from Tweets,"Suggestion Classification
Factorization Machines
Feature Sparsity
Imbalance Classification
Tweets","Text Classification
Natural Language Processing (General/Other)",Natural Language Processing,"This paper targets at automatically detecting and classifying user's suggestions from tweets. The short and informal nature of tweets, along with the imbalanced characteristics of suggestion tweets, makes the task extremely challenging. To this end, we develop a classification framework on Factorization Machines, which is effective and efficient especially in classification tasks with feature sparsity settings. Moreover, we tackle the imbalance problem by introducing cost-sensitive learning techniques in Factorization Machines. Extensively experimental studies on a manually annotated real-life data set show that the proposed approach significantly improves the baseline approach, and yields the precision of 71.06% and recall of 67.86%. We also investigate the reason why Factorization Machines perform better. Finally, we introduce the first manually annotated dataset for suggestion classification."
Supervised Coupled Dictionary Learning with Group Structures for Multi-modal Retrieval,"Multi-modal Retrieval
Dictionary Learning
Supervised Learning
Sparse Coding","Preferences/Ranking Learning
Supervised Learning (Other)
Machine Learning (General/other)",Machine Learning,"A better similarity mapping function across heterogenous
high-dimensional features is very desirable for
many applications involving multi-modal data.
In this paper, we introduce coupled dictionary learning
(DL) into supervised sparse coding for multimodal
retrieval. We call this Supervised coupled-dictionary learning
with group structures for Multi-Modal retrieval(SliM^2).
SliM^2 formulates the multi-modal metric learning as a
constrained dictionary learning problem. By the utilization
of intrinsic power of dealing with the heterogenous
features in DL, SliM^2 first extends uni-modal DL to
multi-modal DL. Moreover, the label information is employed
in SliM^2 to discover the shared structure inside
intra-modality within a same class by a mixed norm
(i.e., l_1/ l_2 norm). At last, the multi-modal retrieval is
conducted via a jointly learned mapping function across
multi-modal data. The experimental results show the
effectiveness of our proposed model when applied to
multi-modal retrieval."
When is Brute-Force Avoidable for CSP?,"Exact Algorithms for CSP
Exponential Time Hypothesis
Subexponential Time Complexity
Theoretical Analysis of CSP
Foundational Issues","SAT and CSP: Evaluation and Analysis
Constraint Satisfaction",Constraints and Satisfiability,"A Constraint Satisfaction Problem (CSP) with $n$ variables ranging over a domain of $d$ values can be solved by brute-force in $d^n$ steps (omitting a polynomial factor). With a more careful approach, this trivial upper bound can be improved for certain natural restrictions of the CSP (Feder and Motwani 2002; Beigel and Eppstein 2005; Razgon 2006; Grandoni and Italiano 2006). In this paper we establish theoretical limits to such improvements, and draw a detailed landscape of the subexponential-time complexity of CSP.

We first establish relations between the subexponential-time complexity of CSP and that of other problems, including CNF-Sat. We exploit this connection to provide tight characterizations of the subexponential-time complexity of CSP under common assumptions in complexity theory. For several natural CSP parameters, we obtain threshold functions that precisely dictate the subexponential-time complexity of CSP with respect to the parameters under consideration.

Our analysis provides fundamental results indicating WHETHER AND WHEN one can significantly improve on the brute-force search approach for solving CSP."
Efficient evolutionary dynamics with extensive-form games,"Evolutionary game theory
Extensive-form games
Replicator dynamics","Game Theory
Multiagent Learning",Multiagent Systems,"Evolutionary game theory combines game theory and dynamical systems and is customarily adopted to describe evolutionary dynamics in multi-agent systems. In particular, it has been proven to be a successful tool to describe multi-agent learning dynamics. To the best of our knowledge, we provide in this paper the first replicator dynamics applicable to the sequence form of an extensive-form game, allowing an exponential reduction of time and space w.r.t. the currently adopted replicator dynamics for normal form. Furthermore, our replicator dynamics is realization equivalent to the standard replicator dynamics for normal form. We prove our results for both discrete-time and continuous-time cases. Finally, we extend standard tools to study the stability of a strategy profile to our replicator dynamics."
A Framework for Aggregating Influenced CP-nets and its Resistance to Bribery,"Preference aggregation
CP-nets
Influence
Bribery","Preferences
Social Choice / Voting","Knowledge Representation and Reasoning
Multiagent Systems","We consider multi-agent settings where a set of agents want to take a collective decision, based on their preferences over the possible candidate options. While agents have their initial inclination, they may interact and influence each other, and therefore modify their preferences, until hopefully they reach a stable state and declare their final inclination. At that point, a voting rule is used to aggregate the agents' preferences and generate the collective decision. Recent work has modeled the influence phenomenon in the case of voting over a single issue. Here we generalize this model to account for preferences over combinatorially structured domains including several issues. We propose a way to model influence when agents express their preferences as CP-nets. We define two procedures for aggregating preferences in this scenario, by interleaving voting and influence convergence, and we study their resistance to bribery."
"On Power law kernels, corresponding Reproducing Kernel Hilbert Space and applications","Kernels
Power law
Tsallis distributions
Reproducing Kernel Hilbert Space",Kernel Methods,Machine Learning,"The role of kernels is central to machine learning. Motivated by the importance of power law distributions in statistical modeling, in this paper, we propose the notion of power law kernels to investigate power laws in learning problem. We propose two power law kernels by generalizing Gaussian and Laplacian kernels. This generalization is based on distributions, arising out of maximization of a generalized information measure known as nonextensive entropy that is very well studied in statistical mechanics. We prove that the proposed kernels are positive  definite, and provide some insights regarding the corresponding Reproducing Kernel Hilbert Space (RKHS). We also study practical significance of both kernels in classification and regression, and present some simulation results."
"Search More, Disclose Less","comparison shopping agents
information disclosure
experimentation","E-Commerce
Evaluation and Analysis (Multiagent Systems)
Multiagent Systems (General/other)",Multiagent Systems,"Experienced shoppers know that the best way to make sure you are getting the best deal for your money is comparison shop before making a purchase. In today's online world, comparison shopping can be substantially facilitated through the use of comparison shopping agents (CSAs). These web-based intelligent software applications allow checking out many online stores prices, saving buyers time and money.  The blooming of CSAs in recent years enables buyers in today's markets to query more than a single CSA per their search, thus substantially expanding the list of sellers whose prices they obtain. From the individual CSA point of view, however, the multi-CSAs querying is definitely non-favorable as most of today's CSAs benefit depends on payments they receive from sellers upon transferring buyers to their websites (and making a purchase).  The most straightforward way for the CSA to improve its competence is through spending more resources on getting more sellers' prices, potentially resulting in a more attractive best price.  In this paper we suggest a complementary approach that improves the attractiveness of the best price returned to the buyer without having to extend the CSAs' price database. The approach, which we term ``selective price disclosure'' relies on removing some of the prices known to the CSA from the list of results returned to the buyer. The advantage of this approach is in the ability to affect the buyer's beliefs regarding the probability of obtaining more attractive prices if querying additional CSAs. The paper presents two methods for choosing the subset of prices to be presented to a fully-rational buyer, attempting to overcome the computational complexity associated with evaluating all possible subsets. The effectiveness and efficiency of the methods are demonstrated using real data, collected from five CSAs for four product. Furthermore, since people are known to be inherently bounded rational, the two methods are also evaluated with human buyers, demonstrating that selective price-disclosing can be highly effective with people, however the subset of prices that needs to be used should be extracted in a different (and more simplistic) manner."
Red-Black Relaxed Plan Heuristics,"Classical Planning
Heuristic Search
Delete Relaxation","Heuristic Search
Deterministic Planning","Heuristic Search and Optimization
Reasoning about Plans, Processes, and Actions","Despite its success, the delete relaxation has significant pit- falls in many important classes of planning domains. Recent work has devised the red-black planning framework, where red variables take the relaxed semantics, in which they accumulate their values rather than switching between them, as opposed to black variables that take the regular semantics. Provided the red variables are chosen so that red-black plan generation is tractable, one can generate such a plan for every search state, and take its length as the heuristic distance estimate. Previous results were not suitable for this purpose because they identified tractable fragments for red-black plan existence, as opposed to red-black plan generation. We identify a new fragment of red-black planning, that fixes this issue. We devise machinery to efficiently generate red-black plans, and to automatically select the red variables. Experiments show that the resulting heuristics can significantly improve over standard delete relaxation heuristics."
Vector-valued Multi-view Semi-supervised Learning for Multi-label Image Classification,"Image classification
semi-supervised
multi-label
multi-view
vector-value
manifold","Classification
Ensemble Methods
Kernel Methods
Semisupervised Learning",Machine Learning,"Images are usually associated with multiple labels and comprised of multiple views, due to each image containing several objects (e.g. a pedestrian, bicycle and tree) and multiple visual features (e.g. color, texture and shape). Currently available tools tend to use either labels or features for classification, but both are necessary to describe the image properly. There have been recent successes in using vector-valued functions, which construct matrix-valued kernels, to explore the multi-label structure in the output space. This has motivated us to develop multi-view vector-valued manifold regularization (MV$^3$MR) in order to integrate multiple features. MV$^3$MR exploits the complementary properties of different features, and discovers the intrinsic local geometry of the compact support shared by different features, under the theme of manifold regularization. We validate the effectiveness of the proposed MV$^3$MR methodology for image classification by conducting extensive experiments on two challenge datasets, PASCAL VOC' 07 and MIR Flickr."
Temporal Milestones in HTNs,"Temporal reasoning
HTN representation and planning
Simple Temporal Networks","Geometric, Spatial, and Temporal Reasoning
Temporal Planning
Constraint Satisfaction","Constraints and Satisfiability
Knowledge Representation and Reasoning
Reasoning about Plans, Processes, and Actions","We present temporal milestones for hierarchical task networks to enable the complex synchronization of tasks. A temporal milestone of a task is an intermediate event that occurs during the execution of a complex task, e.g., the start time, the end time or a milestone of any of its subtasks.  Unlike landmark variables, introduced in existing work, temporal milestones respect the task abstraction boundaries and preserve structural properties enabling much more efficient reasoning. Furthermore, temporal milestones are expressive as landmark variables. We provide analytical and empirical evidence to  support these claims."
