paper_id,paper_title,author_keywords,abstract,session
41,A Hybrid Genetic-Programming Swarm-Optimisation Approach for Examining the Nature and Stability of High Frequency Trading Strategies,"Sociology, Statistics, Noise, Testing, Prediction algorithms, Algorithm design and analysis, Genetics","Advances in high frequency trading in financial markets have exceeded the ability of regulators to monitor market stability, creating the need for tools that go beyond market microstructure theory and examine markets in real time, driven by algorithms, as employed in practice. This paper investigates the design, performance and stability of high frequency trading rules using a hybrid evolutionary algorithm based on genetic programming, with a particle swarm optimisation layered on top to improve the genetic operators performance. Our algorithm learns the relevant trading signal information using Foreign Exchange market data. We significantly reduce its execution time by implementing computationally intensive tasks using the Field Programmable Gate Array technology. This approach is shown to provide a reliable platform for examining the stability and nature of optimal trading strategies under different market conditions. We generate robust and significant statistical results on the optimal rules performance and their economic value.",Real-time Systems and Industry
42,Sequential Logistic Principal Component Analysis (SLPCA): Dimensional Reduction in Streaming Multivariate Binary-State System,"energy end-use model, dimensional reduction, sequential optimization","Sequential or online dimensional reduction is of interests due to the explosion of streaming data based applications and the requirement of adaptive statistical modeling, in many emerging fields, such as the modeling of energy end-use profile. Principal Component Analysis (PCA), is the classical way of dimensional reduction. However, traditional Singular Value Decomposition (SVD) based PCA fails to model data which largely deviates from Gaussian distribution. The Bregman Divergence was recently introduced to achieve a generalized PCA framework. If the random variables under dimensional reduction follow Bernoulli distribution, which occurs in many emerging fields, the generalized PCA is called Logistic PCA (LPCA). In this paper, we extend the batch LPCA to a sequential version (i.e. SLPCA), based on the sequential convex optimization theory. The convergence property of this algorithm is discussed compared to the batch version of LPCA (i.e. BLPCA), as well as its performance in reducing the dimension for multivariate binary-state systems. Its application in building energy end-use profile modeling is also investigated.",Real-time Systems and Industry
43,Using k-Nearest Neighbor and Speaker Ranking for Phoneme Prediction,"speech recognition, phoneme, k-Nearest Neighbor, classification, phoneme prediction, template matching","Speech recognition systems are either based on parametric approach or non-parametric approach. Parametric based system such as HMMs have been the dominant technology for speech recognition in the past decade. Despite a lot of advancements and enhancements in the design of these systems:  key problems such as long term temporal dependence, etc. has not yet been solved. Recently due to availability of large amount of data and inexpensive computing resources (processing power and memory) parametric based approach to solve speech recognition and classification task is becoming popular and feasible. The key advantage of parametric based approach is that all the information from the training data is retained as we dont approximate our data with specific statistical models resulting in more speaker specific information. In this paper we propose a kNN phoneme prediction scheme using speaker ranking vector. Speaker ranking vector is generated by finding the similarity of the given TEST speaker with the training data using kNN. The results were compared with nearest neighbor and kNN majority voting approach. Our proposed scheme gives a better prediction accuracy as compare with nearest neighbor and kNN majority voting scheme. This approach can help speech recognizer to customize on the fly for a given talker and customize training data on the basis of similarity measure.",Real-time Systems and Industry
44,A Machine Learning Approach to Combining Individual Strength and Team Features for Team Recommendation,"History, Feature extraction, Outsourcing, Companies, Collaboration, Approximation algorithms","In IT strategic outsourcing businesses, it is critical to have competent deal teams design competitive service solutions and swiftly respond to clients request for proposals. In this paper we present a general team recommendation framework for finding best deal teams to pursue such engagement opportunities. Little previous work on team recommendation considers both individual and team-level features at the same time.  Our proposed framework can take into account diverse individual and team features, and accommodate various cost or feature functions. We introduce a team quality metric based on a weighted linear combination of these features, the weights of which are learned using a machine learning approach by leveraging historical project outcomes. A combinatorial optimization algorithm is finally applied to search the possible solution space for the approximate best team. We report a preliminary evaluation of our framework by applying it to a real-world data from strategic outsourcing businesses at a large IT service company. We also compare our approach with other existing work by using the public DBLP dataset for recommending teams in academic paper authoring.",Real-time Systems and Industry
45,Genetically Supervised Self-Organizing Map for the Classification of Glass Samples,"classification, self-organizing map, genetic optimization and supervision","The self-organizing map (SOM) is a useful tool for creating abstractions of high-dimensional distributions of inputs. It computes the ideal mapping of the domain of observations, using either discrete or continuous distributions of values (1). The SOM benefits from the coupling with a genetic algorithm (GA). GAs are optimization algorithms that allow the user to evolve a solution from a distribution of potential solutions (2). The fittest candidates survive and participate in the production of future generations of new solutions. The fusion of these two techniques results in a dynamic algorithm that maps a diverse input plane in an optimizing fashion, striving towards perfection while learning from mistakes. We will detail the general principles involved and demonstrate the performance of this algorithm in the classification of glass samples.",Real-time Systems and Industry
46,Modelling Mutual Information Between Voiceprint and Optimal Number of Mel-frequency Cepstral Coefficients in Voice Discrimination,"features selection, voiceprint, MFCCs, information theory","In this paper, we study the relationship between the voiceprint and the optimal number of Mel-frequency Cepstral Coefficients (MFCCs) which yields the highest classification accuracy of the voice discrimination. The voiceprint is modelled as sub-MFCCs matrix with the first d number of MFCCs. We model the relationship through information theory and formulate it as the mutual information maximization problem subject to the probabilities constraint. The solution of this optimization problem provides the optimal number of MFCCs, which yields the highest classification accuracy of the voice discrimination, together with a confidence level. This study is dictated by the need to understand the use of MFCCs, which have proliferated since its invention to discriminate voice. We evaluate our model by comparing the leave-one-out cross validation (LOOCV) results of usual multi-class classifier, the Supervised Learning Gaussian Mixture Model (SLGMM), with a set of spoken words and solo acapella singings. The experimental results show that our model is a more comprehensive feature selection criteria for the MFCCs than the de-facto technique, LOOCV.",Information Retrieval I
47,LSH vs Randomized Partition Trees: Which One to Use for Nearest Neighbor Search?,"Nearest neighbor search, RP trees","Recently, randomized partition trees have been theoretically shown (cite{dasgupta13}) to be very effective in performing high dimensional nearest neighbor search. In this paper, we introduce a variant of randomized partition trees  for high dimensional nearest neighbor search problem and provide theoretical justification for its choice. Experiments on various real-life datasets show that this new variant performs better than the variant introduced in cite{dasgupta13}  and also than the locality sensitive hashing (LSH) method for nearest neighbor search. In addition, we show an interesting connection between various  notions of difficulty in nearest neighbor search problem, that have recently been introduced, namely, potential function (cite{dasgupta13}) and relative contrast (cite{he12}).",Information Retrieval I
48,Topic Detection in Instant Messages,"Topic detection, Instant message, PLSA, Multilingual, Useless words","In the past few years, instant messaging (IM) has been widely used in daily communication. However, due to the dispersion of topics and meaningless chatting, online IM groups are filled with useless messages. In order to help IM users capture what the IM group is talking about without spending a long time in reading all the messages, topic discovery in instant messages becomes a significant but challenging research task. In this paper, we propose a new method for topic detection in instant messages, which is applicable for the case where 1) useless terms keep emerging, 2) the instant messages are very short, and 3) multiple languages are used. The basic step is to treat each message in an online group discussion as a data item in message stream, and then apply PLSA to the collected instant messages. One strategy is designed to segment multilingual message without utilizing machine translation and remove the useless words that keep emerging. Extensive experiments have been conducted on the real-world QQ group data to confirm the effectiveness of the proposed method.",Information Retrieval I
49,Automated scoring of the Level of Integrative Complexity from Text using Machine Learning,"integrative complexity, aggression, intervention systems, machine learning, logistic regression, support vector machines","Conceptual/Integrative complexity is a construct developed in political psychology and clinical psychology to measure an individuals ability to consider different perspectives on a particular issue and reach a justifiable conclusion after consideration of said perspectives. Integrative complexity (IC) is usually determined from text through manual scoring, which is time-consuming, laborious and expensive. Consequently, there is a demand for automating the scoring, which could significantly reduce the time, expense and cognitive resources spent in the process. Any algorithm that could achieve the above with a reasonable accuracy could assist in the development of intervention systems for reducing the potential for aggression, systems for recruitment processes and even training personnel for improving group disparity in the corporate world. In this study we used machine learning to predict IC levels from text. We achieved over 78% accuracy in a three way classification.",Information Retrieval I
50,Extraction of Unexpected Rules from Twitter Hashtags and its Application to Sport Events,"Twitter, Association rules, Games, Fans, Pattern matching, Educational institutions","Online news is now widely embraced because of its affordability, rich contents and fast broadcast of diverse real life events and occurrences. Twitter has become a dependable microblogging tool for real time information dissemination and newsworthy events broadcast. Its users sometimes break news on the network faster than traditional newsagents due to their presence at on-going real life events at all times. Different topic detection methods are currently used to match Twitter posts to real life news of mainstream media. In this paper, we analyse events highlights in the English FA Cup final 2012 played between Chelsea FC and Liverpool FC using our novel methodology named TRCM. Our system was able to detect all goals scored in the game, 1 of the 3 bookings and 3 of the four substitutions. Our system also detected other events like free kicks, goal saves and misses  as well as ball clearances and off-side positions that occurred during the match duration. We used the BBC Live Text Commentary as our ground truth to validate our method. The result of the experiment shows that our method performed well as a Topic Detection and Tracking approach.",Information Retrieval II
51,Using Spectral Features to Improve Sentiment Analysis,"feature discovery, spectral learning, discrete Fourier, sentiment analysis","A common approach to sentiment classification is to identify a set of sentiment-carrying words and then to use machine learning to build a classifier that can classify sentiment based on the presence/absence of those words. In this paper, we propose a Fourier-based extension of this approach. Specifically, we introduce a spectral learning algorithm  that implicitly identifies sentiment-carrying words and higher-order functions of those words as it learns to assign real-valued sentiment scores to documents. The spectral learner extends the word presence model by applying Boolean logic operators (AND, OR, and XOR) to the word presence features to identify useful higher-order features. These spectral features can be used in other learning algorithms, and we show how the performance of other learning algorithms can be improved by these features. Finally, we consider the problem of determining which of a pair of reviews expresses more positive overall sentiment, and we show that the spectral learner can identify very small distinctions in sentiment with better-than-random accuracy, while larger distinctions can be correctly identified with high accuracy.",Information Retrieval II
52,Recommendation Systems for Markets with Two Sided Preferences,"Recommender systems, Two-sided markets","In recent times we have witnessed the emergence of large online markets with two-sided preferences that are responsible for businesses worth billions of dollars. Recommendation systems are critical components of such markets. It is to be noted that the matching in such a market depends on the preferences of both sides, consequently, the construction of a recommendation system for such a market calls for consideration of preferences of both sides. The online dating market, and the online freelancer market are examples of markets with two-sided preferences. Past studies on building recommendation systems for such markets, however, lacks a systematic approach. We observe that constructing recommendation systems for markets with two-sided preferences can be posed as an Area Under the receiver operator Curve(AUC) optimization problem. Generalized linear regression models are popular methods of constructing ranking or recommendation systems in such markets on account of their ability to be learned easily from big data, and their computational simplicity on engineering platforms. We conjecture that it is more likely for matching in such markets to be a complex combination of preferences of both sides. To account for this, we introduce a novel two-level model for optimizing the AUC of matching in such markets. For both synthetic and real data we show that the two-level model algorithm has a better AUC performance than the direct application of a generalized linear model such as $L_{1}$ logistic regression or an ensemble method such as random forest algorithm. We provide a theoretical justification of AUC optimality of two-level model and pose a theoretical problem for a more general result. To the best of our knowledge, this is the first systematic study of recommendation systems using AUC optimization in markets with two-sided preferences.",Information Retrieval II
53,Improving Robustness of Gaussian Process-based Inferential Control System using Kernel Principle Component Analysis,"Control systems, Process control, Kernel, Gaussian processes, Principal component analysis, Robustness, Vectors","The plausibility and robustness of an inferential control system entirely depend on the prediction accuracy of the estimator used as the feedback element. This paper is based on a previously proposed Gaussian process inferential controller that employs Gaussian process soft sensor as an estimator. The paper enhances the robustness and the reliability of the control system, particularly, during sensor input failures. The contribution of the paper is i) alleviating the affect of the failure on the prediction accuracy of feedback element (soft sensor) and thus improving the robustness of the overall control system. ii) Hybridising Kernel Principal Component Analysis with Gaussian process Inferential Control System to achieve this robustness during all process operating conditions. The paper empirically shows the effectiveness and the plausibility of the processed hybrid system on a simulated chemical reactor process.",Science and Industry
54,Arctic Sea Ice Extent Forecasting Using Support Vector Regression,"Arctic Sea Ice, SVR, Time Series Forecasting","The summer minimum Arctic sea ice extent has long been used as a measure of climate change, with record lows being reported in recent years. Understanding the dynamics of Arctic sea ice extent is of utmost importance in understanding the timescales associated with this change. Complex global climate models are typically employed to gain insights about the future of Arctic sea ice, however, these models are typically very computationally expensive to solve and the results are often controversial. Here, we use historical data from remote sensing satellites along with machine learning algorithms in the forecasting of Arctic sea ice extent. Support Vector Regression is employed in the learning of a dynamic model to represent this system. Validation results demonstrate the ability of the method to successfully forecast both the seasonal and long-term trends in Arctic sea ice coverage.",Science and Industry
55,WiFi Localization For Mobile Robots based on Random Forests and GPLVM,"WiFi SLAM, Mobile Robots, Random Forests ,GPLVM, Khepera","The proliferation of WiFi networks has attracted many research communities to employ WiFi signals in estimating the location of mobile devices in indoor environments.In this paper, we propose a localization framework that is capable of determining the location of mobile robots in indoor limited areas. The proposed framework exploits the Random Forests algorithm in both classification and regression techniques, which are used to build cooperated supervised localization models. The localization models are trained offline based on training data that contains  measurements of WiFi signal strengths and the location of these measurements. We also proposed an extension to our framework using the Gaussian Process Latent Variable Model (GPLVM), which gives our framework the ability to build subjective localization models which don't require any prior knowledge about ground truth of the localization place. Our experimental evaluation of the proposed framework using KheperaIII mobile robot in one testbed show that it gives high accuracy, where the calculated mean localization error is 36 cm.",Science and Industry
56,Example-Dependent Cost-Sensitive Logistic Regression for Credit Scoring,"Cost sensitive classification, Credit Scoring, Logistic Regression","Several real-world classification problems are example-dependent cost-sensitive in nature, where the costs due to misclassification vary between examples. Credit scoring is a typical example of cost-sensitive classification. However, it is usually treated using methods that do not take into account the real financial costs associated with the lending business. In this paper, we propose a new example-dependent cost matrix for credit scoring. Furthermore, we propose an algorithm that introduces the example-dependent costs into a logistic regression. Using two publicly available datasets, we compare our proposed method against state-of-the-art example-dependent cost-sensitive algorithms. The results highlight the importance of using real financial costs. Moreover, by using the proposed cost-sensitive logistic regression, significant improvements are made in the sense of higher savings.",Science and Industry
57,A Switch-and-Restart Algorithm with Exponential Restart Strategy for Objective Selection and its Runtime Analysis,"runtime analysis, objective selection, algorithm selection, online selection, ea+rl","There exist optimization problems with the target objective, which is to be optimized, and several extra objectives, which may or may not be helpful in the optimization process. This paper considers the case when it is possible to find an optimum of the target objective by optimizing either the target objective or a single extra objective. An algorithm is presented that uses a single instance of an underlying single-objective optimization algorithm to optimize different objectives at different iterations and restarts the optimization algorithm between optimizing different objectives. This algorithm has the expected running time of at most 4 K min_O T_O until an optimum of the target objective is found, where T_O is the expected running time of the underlying optimization algorithm to find an optimum of the target objective by optimizing the objective O. An impact of not using restarts between iterations is also discussed.",Machine Learning II
58,Adding Diversity to Rank Examples in Anytime Nearest Neighbor Classification,"Anytime Algorithm, Nearest Neighbor, Classification, Data Stream","Data streams are ubiquitous in virtually every application domain. However, a property that is common to various domains and is frequently disregarded is the very high fluctuating data rates, in which the events do not occur with a fixed frequency. The classical learning algorithms do not seem to be adequate in such a scenario. In contrast, anytime classification provides a very convenient approach for this situation. In summary, an anytime classifier can be interrupted at any time before its completion and still be able to provide an intermediate classification. The popular k-nearest neighbor classifier can be easily made anytime by introducing a ranking of the training examples. In this paper, we show how the current state-of-the-art k-NN anytime classifier can be made more accurate by introducing diversity in the training set ranking. Our results show that, with this simple modification, the performance of the anytime version of the k-NN algorithm is consistently improved for a large number of datasets.",Machine Learning II
59,Improved kNN Rule for Small Training Sets,"Error analysis, Training, Prediction algorithms, Data models, Computer science, Educational institutions, Electronic mail","The traditional k-NN classification rule predicts a label based on the most common label of the k nearest neighbors (the plurality rule). It is known that the plurality rule is optimal when the number of examples tends to infinity. In this paper we show that the plurality rule is sub-optimal when the number of labels is large and the number of examples is small. We propose a simple k-NN rule that takes into account the labels of all of the neighbors, rather than just the most common label. We present a number of experiments on both synthetic datasets and real-world datasets, including MNIST and SVHN. We show that our new rule can achieve lower error rates compared to the majority rule in many cases.",Machine Learning II
60,Computation of a Rejection Threshold used for the Bayes Classifier,"rejection, statistical learning, bayes classifier",In this paper an algorithm for the efficient computation of a rejection threshold for Bayes classification is discussed. A theoretical and a practical evaluation of the performance regarding the accuracy of the numerical computation for uni- and multimodal high-dimensional probability distributions is given. Additionally some observations regarding the dimensionality and the number of samples are shared.,Machine Learning II
61,Protein Conformation Motion Modeling using sep-CMA-ES,"mass transfer, cma-es, protein conformation, conformation motion","The problem of protein conformation motion modeling is an open problem in the structural computational biology. It is difficult to solve it using methods of molecular dynamics or quantum physics because these methods deal with time intervals of nanoseconds or microseconds, while conformation motions take time of millisecond order. In addition, these methods cannot take external forces into consideration. To cope with these problems, numerous approximated and coarse-grained methods are developed, which use ideas from geometry and motion planning.We present a new coarse-grained method of modeling the protein motion between two given conformations. The method is based on optimization of a cost function similar to the one in the Monge-Kantorovich mass transfer problem. The optimization is performed using sep-CMA-ES, which makes the running time of an iteration linear in the number of amino acids in a protein. The proposed method is compared with some of the existing methods on several molecules. It is shown that the results of the proposed method are more accurate than of the other methods.","Medicine, Science and Music"
62,Budgeted Learning for Developing Personalized Treatment,"Reinforcement Learning, Budgeted Learning, Bayesian, Active Learning, Personalized Treatment","There is increased interest in using patient-specific information to  personalize treatment. Personalized treatment decision rules can be learned using data from standard clinical trials, but such trials are very costly to run. This paper explores the use of budgeted learning techniques to design more efficient clinical trials, by effectively determining which type of patients to recruit, at each time, throughout the duration of the trial. We propose a Bayesian bandit model and discuss the computational challenges and issues pertaining to this approach. We compare our budgeted learning algorithm, which approximately minimizes the Bayes risk, using both simulated data and data modeled after a clinical trial for treating depressed individuals, with other plausible algorithms. We show that our budgeted learning algorithm demonstrated excellent performance across a wide variety of situations.","Medicine, Science and Music"
63,Visualising Singing Style Under Common Musical Events Using Pitch-Dynamics Trajectories and Modified TRACLUS Clustering,"TRACLUS Clustering, Visualising, Singing Style, Music Event","In this paper, we present a novel method for visualising the singing style of vocalists. To illustrate our method, we take 26 audio recordings of a capella solo vocal music from two different professional singers and we visualise the performance style of each vocalist in a two dimensional space of pitch and dynamics. We use our own novel modification of a trajectory clustering algorithm called TRACLUS to generate four representative paths, called trajectories, in that two dimensional space.  Each trajectory represents the characteristic style of a vocalist during one of four common musical events: (1) Crescendo, (2) Diminuendo, (3) Ascending Pitches and (4) Descending Pitches. The unique shapes of these trajectories characterize the singing style of each vocalist with respect to each of these events. We present the details of our modified version of the TRACULUS algorithm and demonstrate graphically how the plots produced indicate distinct stylistic differences betweens singers. Potential applications for this method include: (a) automatic identification of singers and automatic classification of singing styles and (b) automatic retargeting of performance style to add human expression to computer generated vocal performances and allow singing synthesisers to imitate the styles of specific famous professional vocalists.","Medicine, Science and Music"
64,Supervised Music Chord Recognition,"Music, chord, feature","Chord represents the back-bone of occidental music genre as it contains rich harmonic information which is useful for various music applications such as music genre classification or music retrieval. Hence, chord recognition or transcription is of importance for music representation. In this paper we focus on chord recognition and especially investigate different features representation used in such a system:  classical features as well as a new type of feature we propose are explored.  We evaluate their usefulness through a multi-class chord classification problem.","Medicine, Science and Music"
65,Uncertainty Quantified Matrix Completion using Bayesian Hierarchical Matrix Factorization,"Bayesian Analysis, Probabilistic Matrix Factorization, Uncertainty Quantification","Low-rank matrix completion methods have been successful in a variety of settings such as recommendation systems. However, most of the existing matrix completion methods only provide a point estimate of missing entries, and do not characterize uncertainties of the predictions. In this paper, we propose a Bayesian hierarchical probabilistic matrix factorization (BHPMF) model to 1) incorporate hierarchical side information, and 2) provide uncertainty quantified predictions. The former yields significant performance improvements in the problem of plant trait prediction, a key problem in ecology, by leveraging the taxonomic hierarchy in the plant kingdom. The latter is helpful in identifying predictions of low confidence which can in turn be used to guide field work for data collection efforts. A Gibbs sampler is designed for inference in the model. Further, we propose a multiple inheritance BHPMF (MI-BHPMF) which can work with a general directed acyclic graph (DAG) structured hierarchy, rather than a tree. We present comprehensive experimental results on the problem of plant trait prediction using the largest database of plant traits, where BHPMF shows strong empirical performance in uncertainty quantified trait prediction, outperforming the state-of-the-art based on point estimates. Further, we show that BHPMF is more accurate when it is confident, whereas the error is high when the uncertainty is high.","Medicine, Science and Music"
66,Using Balanced Random Forests on Load Spectrum Data for Classifying Component Failures of a HybridElectric Vehicle Fleet,"Vegetation,Indexes,Batteries,Tuning,Hybrid electric vehicles,Temperature measurement","To be able to optimize the dimensioning of the power-train of a hybrid electric vehicle, engineers have to find relationships between stresses of the power-train and failures of its components. In this paper, we apply the machine learning technique random forest to a heterogeneous dataset consisting of so-called ""load spectrum"" data resulting from transforming stress-time functions to frequency distributions. In Fatigue Analysis this is the state-of-the-art data employed for calculating the fatigue life of components. We (i) study the usability of random forests modeled on this kind of data to distinguish between faulty and non-faulty vehicles, and (ii) address the problem of selecting a small number of relevant variables in order to further decrease the misclassification rate and, even more important from our engineering point of view, to identify failure related variables. As our data contains just very few samples of faulty compared to non-faulty vehicles, we furthermore present a framework for tuning the random forest to handle this class imbalance. We demonstrate experimentally for failures of the hybrid car battery that using random forests for variable selection and classification of load spectrum data achieves promising classification performance and enables engineers to identify possible relationships between loads and failures of hybrid components.",Machine Learning for Predictive Models I
67,Multimodal Sparsity-Eager Support Vector Machines for Music Classification,"audio, classification, multimodal","As the demand for multimedia grows, the development of information retrieval systems utilizing all available data modalities becomes of paramount importance. The provision of multiple modalities is motivated by usability, presence of noise in one modality and non-universality of a single modality. Radio stations and music TV channels hold archives of millions of music tapes and lyrics. Gigabytes of music files are also spread over the web along with the lyrics and metadata for each file. Searching and organizing large scale multimodal datasets is a challenging task. Supervised methods such as support vector machine (SVM) achieve state of the art performance for music classification on single modality, but suffer from over-fitting on training examples and limitations of single modality approaches. In this paper, we introduce a classifier fusion of multimodal audio and lyrics data to address these single modality classification limitations. We introduce the multimodal l1-SVM classifier, that utilizes sparse methods to deal with over-fitting for music classification. We compare the classification accuracy of the fusion classifier for a genre classification task in a large public dataset with single modality l1-SVM.",Machine Learning for Predictive Models I
68,A Better Case Adaptation Method for Case-Based Effort Estimation Using Multi-Objective Optimization,"multi-objective particle swarm optimization, Case-Based Reasoning, adaptation method, software effort estimation","Case-Based Reasoning (CBR) is considered as one of the efficient methods in the area of software effort estimation because of its outstanding performance and capability of handling noisy datasets. This study examines the performance of multi-objective Particle Swarm Optimization algorithm to find the best configuration parameters for the adaptation process. Particularly, we propose a new adaptation method for which its parameters can be optimized by making trade off between multiple accuracy measures. The proposed adaptation is fully automated and able to dynamically adapt each case in the dataset individually. Based on empirical validation over 8 datasets, the performance figures have seen good improvements against conventional CBR and some adapted versions of CBR.",Machine Learning for Predictive Models I
69,Employing Markov Networks on Curriculum Graphs to Predict Student Performance,"linear regression, student success, educational analytics, Markov Network","Colleges and universities are increasingly interested in tracking student progress as they monitor and work to improve their retention and graduation rates. Ideally, early indicators of student progress, or lack thereof, can be used to provide appropriate interventions that increase the likelihood of student success. In this paper we present a framework that uses data mining and machine learning techniques, and in particular, linear regression and a Markov network (MN), to predict the performance of students early in their academic careers. The results obtained show that the proposed framework can predict student progress, specifically student grade point average (GPA) within the intended major, with minimal error after observing a single semester of performance. Furthermore, as additional performance is observed, the predicted GPA in subsequent semesters becomes increasingly accurate, providing the ability to advise students regarding likely success outcomes early in their academic careers.",Machine Learning for Predictive Models I
70,Leveraging Machine Learning Algorithms to Perform Online and Offline Highway Traffic Flow Prediction,"traffic prediction, online learning, flow forecast, stochastic gradient descent","Advanced traffic management systems (ATMS) are heavily depending on traffic flow or equivalent travel time estimation. The main goal of this paper is to accomplish two different algorithms to perform offline and online traffic flow forecasting. A multi-layer perceptron (MLP), which is trained on yearly data, is utilized for mid-term offline predictions. Principal components analysis (PCA) is employed to speed up the training process. This model also serves as a baseline. The stochastic gradient descent deploys online forecasting. Both algorithms predict the flow of a location down a Trunk highway (the target point) using the history of flow of several locations ahead of the target point in Twin Cities Metro area in Minneapolis.",Machine Learning for Predictive Models II
71,OUPS: A Combined Approach Using SMOTE and Propensity Score Matchingtching,"Accuracy,Sensitivity,Data models,Machine learning algorithms,Training,Equations",Building accurate classifiers is difficult when using data that is skewed or imbalanced which is typical of real world data sets. Two popular approaches that have been applied for improving classification accuracy and statistical comparisons of imbalanced data sets are: synthetic minority over-sampling technique (SMOTE) and propensity score matching (PSM). A novel sampling approach is introduced referred to as over-sampling using propensity scores (OUPS) that blends the two and is simple and easy to perform resulting in improvement in accuracy and sensitivity over both SMOTE and PSM. The performance of our proposed approach is assessed using a simulation experiment and several performance metrics are shown where this approach fares and falls in comparison to the others.,Machine Learning for Predictive Models II
72,A Comparison of Supervised Machine Learning Techniques for Predicting Short-Term In-Hospital Length of Stay among Diabetic Patients,"In-Hospital Length of Stay Prediction, Supervised Machine Learning, Support Vector Machines, Support Vector Machines Plus, Random Forests, Multi-Task Learning, Diabetes","Diabetes is a life-altering medical condition that affects millions of people and results in many hospitalizations per year. Consequently, predicting the length of stay of in-hospital diabetic patients has become increasingly important for staffing and resource planning. Although statistical methods have been used to predict length of stay in hospitalized patients, many powerful machine learning techniques have not yet been explored. In this paper, we compare and discuss the performance of various supervised machine learning algorithms (i.e., Multiple linear regression, support vector machines, multi-task learning, and random forests) for predicting long versus short-term length of stay of hospitalized diabetic patients.",Machine Learning for Predictive Models II
73,Comparative Study of Different Classification Techniques: Heart Disease Use Case,"WEKA, Dynamic System, Classification, Machine Learning techniques, Heart Disease
","Common stream mining tasks include classification, clustering and frequent pattern mining among them, data stream classification has drawn particular attention due to its vast real-time application. Through these applications, the main goal is to efficiently build classification models from data streams for accurate prediction. The development of such model has shown the need for machine learning techniques to be applied to large scale data. A range of machine learning techniques exists and the selection of the accurate techniques is based on advantages and limits of each one and how these latter well addresses important research techniques. In this paper, we present the comparison of different classification techniques using WEKA in order to investigate the performance of a collection of classification algorithms. This comparison shows the support vector machine performance with higher accuracy and better results when classifying our dataset.",Machine Learning for Predictive Models II
74,A Genetic Algorithm Approach to Partitioning Clustering : A case study on M.Sc. Applicants,"Partitioning Clustering, Clustering, Divisive Analysis, Genetic Algorithms, Gower's Measure of Similarity, Master Degree in Information Technology","Acquiring a Master Degree is becoming a common practice to ensure successful life and good career path, especially in developing countries. Master Degree in Information Technology is one of the most popular programmes with prolific number of applications and students. This work has two main objectives. First is to discover the number of clusters of applicants and the characteristics of each cluster. Another is to develop a Genetic Algorithm based Partitioning Clustering Program. This is achieved by incorporating distance matrix and its application in Divisive Analysis and Gower's measure of similarity. The Genetic Algorithm based Partitioning Clustering program developed was proven superior to some common clustering techniques.",Machine Learning Applications in Education I
75,American Sign Language Recognition Using Leap Motion Sensor,American Sign Language; 3D Leap Motion sensor; k-nearest neighbor; support vector machine; deaf education,"In this paper, we present an American Sign Language recognition system using a compact and affordable 3D motion sensor. The palm-sized Leap Motion sensor provides a much more portable and economical solution than Cyblerglove or Microsoft kinect used in existing studies. We apply k-nearest neighbor and support vector machine to classify the 26 letters of the English alphabet in American Sign Language using the derived features from the sensory data. The experiment result shows that the highest average classification rate of 72.78% and 79.83% was achieved by k-nearest neighbor and support vector machine respectively. We also provide detailed discussions on the parameter setting in machine learning methods and accuracy of specific alphabet letters in this paper.",Machine Learning Applications in Education I
76,Learner Engagement Measurement and Classification in 1:1 Learning,engagement detection; feature selection; classification; machine learning,"We explore the feasibility of measuring learner engagement and classifying the engagement level based on machine learning applied on data from 2D/3D camera sensors and eye trackers in a 1:1 learning setting. Our results are based on nine pilot sessions held in a local high school where we recorded features related to student engagement while consuming educational content. We label the collected data as Engaged or NotEngaged while observing videos of the students and their screens. Based on the collected data, perceptual user features (e.g., body posture, facial points, and gaze) are extracted. We use feature selection and classification methods to produce classifiers that can detect whether a student is engaged or not. Accuracies of up to 85-95% are achieved on the collected dataset. We believe our work pioneers in the successful classification of student engagement based on perceptual user features in a 1:1 authentic learning setting.",Machine Learning Applications in Education I
77,An Intelligent Tutoring System for Argument-Making in Higher Education: A Pilot Study,intelligent tutoring systems; arguments; Cohmetrix; text classification,This paper presents a pilot study on an intelligent tutoring system for domain-independent argument making. Students' responses to an open-ended question were collected as the instances for supervised text classification based on the grade given by the instructor using structured outcome of the learning observation taxonomy. The responses were processed using Cohmetrix as well as n-gram models to generate attributes for the classification task. The best result of 81.74% in classification correct rate was obtained when all grade classes were used.,Machine Learning Applications in Education I
78,Automatically filtering irrelevant words for applications in language acquisition,educational data mining; English as a foreign language; natural language processing for education,"Building one's vocabulary in a language is an important component of language acquisition. Children learn their native language by being immersed in the language that is used in their environment. However, in second language acquisition, learners are often exposed to vocabulary that is selected by others specifically to aid language acquisition such as textbooks and word-lists. In this paper, we are presenting a machine learning based method for automatically selecting words that are relevant to the language acquisition task. The word relevancy is determined using data collected from 30 practicing English as a Second Language teachers for this purpose. We demonstrate the viability of this approach by using words from two major corpora, although in practice any corpora such as Google Books corpus can be utilized.",Machine Learning Applications in Education II
