,AT,V,AP,RH,PE
2368,14.02,43.34,1016.06,85.8,466.38
2369,16.68,43.14,1018.39,76.48,459.83
2370,12.81,45.51,1015.46,79.97,469.27
2371,6.25,40.07,1020.19,65.24,494.39
2372,9.41,43.5,1021.0,88.74,473.84
2373,19.47,43.43,1011.66,69.93,451.38
2374,12.38,41.62,1012.37,84.15,461.07
2375,23.14,63.94,1017.49,53.19,446.57
2376,9.63,41.14,1027.99,87.89,469.73
2377,13.67,38.53,1009.3,81.85,470.39
2378,12.27,41.17,1019.39,52.18,473.84
2379,14.46,45.87,1008.26,89.44,458.69
2380,14.57,42.18,1015.13,74.89,465.75
2381,9.87,41.82,1033.04,68.57,475.58
2382,29.23,74.22,1008.49,57.88,428.9
2383,10.24,41.17,1019.73,82.04,479.78
2384,33.3,68.14,1003.02,53.43,426.88
2385,29.05,64.84,1011.1,51.39,442.58
2386,12.63,48.04,1013.0,100.13,464.6
2387,25.97,69.34,1009.43,88.11,435.02
2388,6.86,41.38,1021.35,90.78,487.49
2389,18.28,41.1,1002.0,65.69,460.03
2390,15.33,42.28,1008.19,66.15,465.2
2391,10.33,40.0,1021.35,90.84,479.32
2392,8.31,40.46,1020.07,78.18,476.72
2393,25.16,54.2,1012.69,58.02,441.99
2394,14.85,45.01,1013.12,85.53,460.19
2395,15.48,53.82,1016.1,64.77,462.69
2396,23.37,65.46,1016.25,48.64,447.07
2397,22.88,50.23,1016.11,63.77,458.08
2398,25.32,63.77,1014.55,74.69,441.5
2399,24.44,59.21,1017.36,61.45,445.82
2400,30.17,64.79,1017.06,43.81,439.75
2401,14.84,41.23,995.02,88.0,464.85
2402,27.96,49.16,1004.8,35.64,442.49
2403,18.67,44.06,1017.13,77.18,454.51
2404,22.56,66.48,1003.82,77.46,437.73
2405,24.91,58.69,1008.22,82.81,435.96
2406,26.11,70.36,1007.64,70.12,445.37
2407,19.95,58.46,1017.45,89.46,447.1
2408,32.63,69.89,1013.85,41.66,425.72
2409,14.21,39.16,1016.5,85.09,473.87
2410,28.18,60.07,1016.34,49.13,441.61
2411,6.67,39.37,1020.31,73.56,488.13
2412,13.27,52.75,1025.86,65.12,464.82
2413,10.37,37.83,1006.5,90.99,470.66
2414,26.11,52.36,1013.9,59.62,453.76
2415,18.68,53.29,1018.16,75.01,459.89
2416,12.12,41.17,1017.68,78.72,470.67
2417,12.07,38.25,1012.67,81.66,470.36
2418,7.54,40.72,1023.82,85.15,485.92
2419,13.61,38.47,1015.1,54.98,466.51
2420,13.61,41.74,1021.66,62.83,471.79
2421,12.25,44.58,1016.47,81.15,475.24
2422,26.1,74.16,1009.42,85.4,437.18
2423,26.09,60.23,1010.74,60.88,445.88
2424,32.14,68.31,1010.48,42.15,436.15
2425,21.55,44.57,1006.03,71.54,446.84
2426,5.74,40.62,1016.31,84.91,481.15
2427,31.41,74.16,1008.65,68.5,430.37
2428,34.97,73.56,1006.57,44.69,435.15
2429,12.32,41.26,1022.42,79.74,470.27
2430,31.32,71.29,1008.37,50.07,430.46
2431,27.97,58.84,1002.25,57.88,446.11
2432,26.23,70.72,1009.73,73.44,445.28
2433,24.8,61.02,1009.86,71.75,438.96
2434,28.35,71.14,1010.65,60.38,429.21
2435,29.84,74.87,1009.64,61.39,435.05
2436,30.95,71.58,1009.95,50.02,430.47
2437,13.38,40.12,1013.92,96.96,468.15
2438,28.54,69.59,1008.84,78.62,433.3
2439,28.52,57.82,1004.81,57.82,435.4
2440,28.62,59.14,1016.36,53.1,436.09
2441,16.78,41.35,1000.23,70.52,459.64
2442,10.08,43.14,1010.67,85.9,478.73
2443,13.07,43.13,1016.93,70.02,471.47
2444,17.99,43.79,1016.13,75.63,462.4
2445,15.46,44.6,1017.7,68.2,459.62
2446,27.11,66.49,1013.71,39.28,435.79
2447,22.6,69.84,1006.37,79.59,435.13
2448,32.09,72.86,1003.47,54.59,434.78
2449,20.03,47.45,1009.04,77.56,450.6
2450,22.63,70.47,1008.0,82.27,441.92
2451,27.06,70.47,1007.0,72.37,430.82
2452,14.24,45.01,1013.54,88.68,461.64
2453,25.79,59.43,1008.61,64.3,435.51
2454,8.62,39.54,1011.64,82.86,483.03
2455,30.34,75.08,1005.32,52.97,437.26
2456,23.55,62.96,1020.16,70.16,447.65
2457,26.21,65.12,1016.06,44.31,444.44
2458,12.89,48.14,1017.48,83.95,463.77
2459,25.68,58.41,1013.71,70.61,440.78
2460,18.85,48.06,1012.52,67.88,451.77
2461,11.49,35.76,1019.08,60.04,472.45
2462,13.6,42.86,1013.37,87.52,472.27
2463,22.56,60.29,1018.19,67.53,447.15
2464,26.43,77.17,1008.67,92.59,431.26
2465,12.2,44.77,1018.64,76.1,469.41
2466,30.17,75.08,1005.17,55.89,438.89
2467,21.55,60.27,1017.42,92.59,443.93
2468,23.48,72.99,1009.61,88.16,437.1
2469,21.19,52.3,1008.24,79.19,447.06
2470,13.61,42.34,1017.57,91.35,465.65
2471,9.82,36.18,1019.18,65.8,475.21
2472,8.02,39.04,1018.49,68.07,479.53
2473,11.2,41.54,1019.94,67.18,479.03
2474,29.21,72.25,1012.72,71.85,434.64
2475,22.21,48.14,1015.08,66.8,448.33
2476,11.34,43.67,1011.54,87.95,472.77
2477,19.13,50.78,1008.51,87.54,447.03
2478,15.19,42.03,1017.38,71.66,462.64
2479,27.49,71.94,1006.62,73.35,435.29
2480,16.57,43.7,1015.67,71.95,465.78
2481,9.38,43.7,1015.45,90.47,481.52
2482,6.43,36.08,1022.73,85.03,486.39
2483,11.86,40.27,1008.06,72.91,474.57
2484,10.42,41.46,1021.04,89.16,479.24
2485,29.85,68.24,1007.01,30.99,433.43
2486,23.1,59.43,1007.36,85.96,440.64
2487,22.25,60.77,1017.8,82.19,444.05
2488,11.43,44.78,1013.43,82.45,471.09
2489,18.06,50.16,1009.52,100.09,450.53
2490,30.52,70.4,1003.9,64.33,438.29
2491,16.58,45.87,1009.66,97.59,457.8
2492,29.72,68.24,1009.92,66.42,426.54
2493,25.6,73.67,1005.78,84.82,433.25
2494,22.18,65.46,1016.74,54.02,447.92
2495,17.89,44.78,1010.03,53.78,457.74
2496,26.56,56.57,1013.73,63.9,442.74
2497,29.6,69.82,1010.49,61.66,438.47
2498,10.96,41.93,1019.28,87.38,473.28
2499,19.78,54.42,1011.74,89.34,456.84
2500,25.79,75.6,1017.46,75.63,434.65
2501,13.09,54.3,1017.61,82.38,471.0
2502,24.4,71.14,1009.7,59.26,436.68
2503,8.27,35.77,1015.3,73.36,478.13
2504,22.86,58.96,1014.03,54.96,451.82
2505,12.57,39.18,1023.09,77.28,471.87
2506,12.65,44.03,1007.13,85.23,466.01
2507,7.4,40.72,1022.56,87.67,484.29
2508,30.36,68.08,1010.76,51.32,429.97
2509,12.71,43.8,1023.15,71.16,466.2
2510,18.56,42.18,1001.46,99.59,456.61
2511,26.88,73.56,1004.85,94.36,430.63
2512,15.92,44.85,1015.84,59.99,467.41
2513,29.7,57.35,1005.63,57.35,433.27
2514,9.53,40.23,1017.74,89.05,484.0
2515,17.72,39.99,1007.34,72.3,461.7
2516,7.55,39.22,1014.53,77.76,482.19
2517,28.43,73.18,1012.52,71.05,427.11
2518,7.84,40.07,1016.68,47.63,488.7
2519,8.8,39.42,1025.17,68.72,476.5
2520,24.44,52.84,1006.39,49.05,440.2
2521,13.97,38.47,1015.15,55.28,464.3
2522,5.89,35.77,1019.78,79.58,479.86
2523,24.03,62.44,1010.96,79.88,430.66
2524,25.43,70.17,1000.46,87.84,436.43
2525,5.74,37.8,1021.37,74.47,490.81
2526,19.44,59.21,1018.5,88.35,448.04
2527,14.72,39.0,1016.42,76.42,464.93
2528,19.15,57.76,1019.62,74.89,458.66
2529,19.96,39.53,1006.16,62.77,460.49
2530,9.08,42.49,1010.67,85.35,481.46
2531,6.57,43.65,1018.24,74.47,481.46
2532,18.94,46.93,1010.22,75.45,441.41
2533,4.87,42.85,1012.69,94.72,482.05
2534,9.37,40.11,1024.94,75.03,471.13
2535,9.06,39.3,1019.73,84.23,480.41
2536,18.88,62.96,1020.62,82.01,456.18
2537,28.47,67.69,1004.79,56.51,430.67
2538,25.67,69.88,1007.84,83.32,441.35
2539,24.31,63.86,1019.47,58.54,442.69
2540,16.7,50.88,1015.11,97.25,456.18
2541,25.04,63.86,1018.92,52.79,441.6
2542,20.97,47.43,1007.64,71.18,448.22
2543,14.44,41.2,1015.96,81.97,469.85
2544,23.54,67.83,1009.44,65.48,426.24
2545,9.68,41.44,1015.19,87.34,479.89
2546,5.85,41.55,1001.95,99.41,484.47
2547,13.68,45.08,1024.91,85.26,467.02
2548,23.16,57.76,1017.74,63.79,451.79
2549,30.88,69.51,1011.48,46.58,433.14
2550,9.76,40.71,1020.88,91.82,470.95
2551,33.58,77.54,1010.19,53.49,433.75
2552,18.22,44.34,1019.35,56.78,469.27
2553,22.55,47.45,1008.65,67.9,447.42
2554,34.43,68.51,1010.17,34.09,431.39
2555,26.57,48.06,1013.23,40.24,439.54
2556,20.92,70.02,1010.23,95.58,444.64
2557,15.07,43.48,1015.22,57.74,459.96
2558,9.47,41.4,1026.21,89.08,480.79
2559,27.34,71.64,1008.12,72.22,438.76
2560,22.96,45.01,1012.21,50.81,450.37
2561,28.81,64.96,1000.46,68.05,427.91
2562,14.82,40.0,1016.32,66.3,458.46
2563,24.92,63.94,1017.7,44.92,441.07
2564,26.86,71.14,1007.11,76.61,426.97
2565,32.12,69.98,1013.31,54.3,429.86
2566,5.71,40.77,1022.49,87.9,487.48
2567,26.43,66.48,1004.36,55.9,435.59
2568,21.4,59.21,1017.84,78.01,444.15
2569,24.55,58.86,1015.22,60.53,445.8
2570,26.41,68.24,1010.6,77.79,428.52
2571,21.97,58.12,1014.21,85.93,448.91
2572,24.6,48.78,1018.1,73.71,442.23
2573,9.13,39.16,1014.14,86.17,484.86
2574,18.92,44.63,1020.32,47.81,451.64
2575,24.88,63.31,1014.23,55.76,441.54
2576,27.4,69.84,1002.98,76.48,430.54
2577,21.45,45.09,1013.83,52.26,453.15
2578,21.33,60.1,1010.97,78.36,451.95
2579,17.1,48.98,1016.48,85.63,454.43
2580,9.86,41.01,1018.49,98.71,467.37
2581,21.5,59.87,1019.05,76.56,444.05
2582,25.38,65.34,1012.87,62.49,447.41
2583,24.53,74.78,1009.9,78.34,446.3
2584,27.16,71.32,1007.81,89.07,430.53
2585,25.51,64.27,1013.28,61.85,444.76
2586,19.4,64.63,1020.38,81.1,453.84
2587,30.85,68.94,1007.31,68.99,426.1
2588,7.82,41.16,1023.3,87.7,475.66
2589,26.92,63.73,1010.29,68.6,440.35
2590,11.57,41.54,1020.13,69.14,476.89
2591,19.39,60.1,1010.28,83.31,452.57
2592,29.37,74.78,1009.47,55.65,434.2
2593,31.84,77.95,1014.9,55.35,433.28
2594,31.06,67.17,1007.62,65.54,437.91
2595,13.49,44.63,1019.12,70.02,471.08
2596,22.07,50.78,1008.6,61.33,449.96
2597,9.72,39.66,1018.31,76.07,480.05
2598,20.42,45.01,1012.23,66.5,451.28
2599,6.45,35.77,1018.86,67.84,483.12
2600,13.2,40.83,1007.75,94.98,472.41
2601,18.9,47.83,1005.31,77.79,455.94
2602,20.31,49.69,1011.57,69.03,455.37
2603,6.33,42.07,1004.25,77.1,484.57
2604,11.37,39.16,1016.54,87.05,480.54
2605,18.64,43.79,1016.01,51.17,465.13
2606,24.75,69.45,1013.97,53.49,438.28
2607,7.05,43.65,1018.41,72.36,480.47
2608,5.49,40.81,1014.43,90.41,487.36
2609,26.3,59.07,1007.84,78.32,441.94
2610,27.98,74.78,1009.46,63.11,436.82
2611,19.54,54.9,1017.15,70.37,455.86
2612,16.37,43.5,1021.26,72.4,459.18
2613,20.6,45.38,1014.93,75.78,460.24
2614,27.23,71.77,1006.59,77.94,427.39
2615,16.55,41.66,1011.45,55.53,465.14
2616,32.07,71.29,1008.43,44.95,426.96
2617,25.23,60.84,1017.79,56.42,442.02
2618,29.22,73.18,1012.22,64.91,430.57
2619,21.23,50.59,1017.42,69.26,453.95
2620,10.35,37.14,1013.37,69.26,472.63
2621,21.49,56.9,1007.47,66.66,452.46
2622,23.82,63.76,1009.8,68.94,440.52
2623,25.36,61.41,1011.89,55.64,452.29
2624,26.89,49.16,1003.84,41.22,442.39
2625,24.65,72.43,1007.99,90.05,437.59
2626,21.39,52.3,1009.52,88.67,447.77
2627,7.85,37.8,1020.9,59.19,478.68
2628,29.07,72.51,1009.24,58.38,439.8
2629,23.45,69.05,1003.03,66.41,440.24
2630,14.49,44.84,1024.09,86.55,465.72
2631,9.75,40.81,1026.0,84.44,481.95
2632,16.94,49.64,1024.43,69.22,459.25
2633,27.5,65.34,1014.93,47.46,439.59
2634,13.79,40.0,1016.02,70.17,461.16
2635,26.98,72.58,1008.55,78.5,431.12
2636,8.96,40.02,1031.21,82.32,475.47
2637,5.97,36.25,1029.65,86.74,487.03
2638,25.1,69.89,1015.42,85.81,434.98
2639,14.84,44.63,1019.28,57.37,466.0
2640,15.55,40.66,1016.21,88.5,457.53
2641,8.05,40.8,1028.01,89.56,483.43
2642,15.09,41.76,1022.4,76.22,463.27
2643,23.3,72.99,1008.54,92.11,437.62
2644,21.77,42.23,1013.03,67.44,462.51
2645,6.86,42.49,1007.95,93.96,486.14
2646,9.57,39.82,1013.12,89.15,468.02
2647,18.96,50.16,1010.72,100.09,451.2
2648,19.82,41.67,1012.92,51.92,456.87
2649,22.08,41.1,1002.19,46.69,455.04
2650,17.31,58.49,1011.8,92.77,456.84
2651,18.32,47.83,1005.06,87.21,454.11
2652,27.75,70.4,1006.65,90.21,436.53
2653,26.13,71.64,1004.16,87.18,439.73
2654,29.45,74.16,1010.49,64.87,438.11
2655,23.63,73.18,1012.29,88.81,437.7
2656,24.11,68.3,1017.33,79.16,432.62
2657,25.72,72.39,1003.01,86.38,432.77
2658,14.96,41.76,1024.07,73.17,463.26
2659,28.32,72.58,1007.77,78.35,428.06
2660,26.94,68.24,1010.49,76.58,430.34
2661,13.44,39.39,1012.93,84.29,469.67
2662,24.33,46.93,1013.61,53.02,450.04
2663,22.06,64.15,1021.07,68.66,451.44
2664,27.89,70.94,1007.54,49.18,435.21
2665,8.47,42.02,1005.37,92.73,477.67
2666,24.74,63.87,1016.91,55.65,447.02
2667,8.5,39.16,1014.1,86.64,485.76
2668,24.19,58.95,1017.78,58.78,441.91
2669,32.31,68.94,1006.11,71.78,431.14
2670,12.02,41.92,1030.1,84.45,465.82
2671,22.66,69.84,1006.16,82.79,439.06
2672,14.1,44.84,1025.09,79.42,468.22
2673,26.78,73.06,1007.99,90.47,433.25
2674,31.6,73.17,1010.05,43.48,433.37
2675,29.3,74.16,1007.72,81.92,431.32
2676,29.12,66.56,1006.9,49.79,429.94
2677,17.54,58.49,1012.35,91.56,453.02
2678,31.9,69.4,1003.4,57.76,436.04
2679,28.83,72.43,1006.69,67.04,428.85
2680,10.45,40.0,1019.01,89.01,465.43
2681,17.79,44.9,1020.5,69.72,457.72
2682,17.58,44.9,1020.52,71.48,459.78
2683,18.9,62.96,1020.69,80.57,455.88
2684,23.28,69.51,1013.31,53.0,444.17
2685,18.81,61.87,1009.71,70.47,448.49
2686,7.46,41.26,1009.63,96.51,482.83
2687,22.89,65.34,1015.53,61.0,450.53
2688,9.88,40.71,1015.34,84.32,471.8
2689,17.59,65.48,1018.96,81.34,454.51
2690,23.97,64.33,1010.54,84.65,443.87
2691,11.95,41.48,1013.44,74.83,465.41
2692,22.12,49.39,1019.8,72.83,451.0
2693,9.05,40.67,1015.57,75.48,486.55
2694,27.6,69.34,1009.63,71.58,440.6
2695,16.52,44.88,1017.61,90.08,459.73
2696,5.84,41.38,1020.34,82.41,489.4
2697,10.77,44.78,1012.87,84.16,470.66
2698,21.95,50.66,1013.92,70.94,455.23
2699,23.09,70.02,1010.58,77.85,443.27
2700,12.31,44.03,1007.78,94.42,468.13
2701,14.29,39.59,1012.36,92.38,463.13
2702,11.65,41.54,1020.09,67.96,476.4
2703,23.15,58.79,1011.11,82.49,447.71
2704,12.14,48.04,1011.8,100.13,465.08
2705,30.26,71.77,1006.24,58.98,429.27
2706,16.74,38.01,1022.63,69.19,463.61
2707,20.67,57.5,1014.42,81.89,453.29
2708,20.21,59.14,1016.0,70.38,448.79
2709,25.02,60.77,1016.71,69.85,441.21
2710,24.82,66.54,1010.0,60.36,440.88
2711,23.14,62.26,1011.87,66.44,444.38
2712,21.84,60.29,1017.23,66.89,454.4
2713,26.11,69.84,1002.57,84.99,427.45
2714,10.67,42.02,996.55,99.94,472.65
2715,14.93,42.44,1012.65,86.8,471.24
2716,22.19,70.02,1011.03,82.49,444.85
2717,29.27,64.69,1006.85,55.79,438.23
2718,22.47,47.45,1007.62,76.65,447.14
2719,31.95,70.8,1008.38,66.26,432.79
2720,29.74,70.32,1008.1,52.72,432.69
2721,18.1,45.0,1023.05,48.41,465.46
2722,25.35,66.56,1008.75,66.88,436.51
2723,10.48,36.71,1023.18,81.37,473.3
2724,26.96,72.86,1004.86,59.17,441.12
2725,17.76,42.42,1009.09,66.26,468.27
2726,9.68,40.77,1022.04,85.23,473.73
2727,9.84,40.22,1009.5,85.38,479.65
2728,14.52,40.35,1011.11,69.84,470.8
2729,23.49,42.8,1013.96,65.31,459.9
2730,14.53,39.0,1016.48,76.36,464.86
2731,17.49,40.55,1001.73,73.15,462.37
2732,10.46,41.26,1020.65,92.24,473.76
2733,13.86,40.83,1008.76,82.4,470.37
2734,30.68,71.25,999.98,68.99,433.47
2735,10.48,41.93,1017.17,92.81,480.01
2736,23.66,77.54,1008.5,85.32,435.38
2737,23.85,69.45,1013.99,60.6,439.67
2738,30.89,74.87,1008.99,56.58,432.68
2739,14.3,53.82,1016.64,63.9,465.42
2740,23.98,50.32,1008.41,67.75,443.45
2741,33.72,74.33,1011.4,37.51,428.96
2742,9.76,39.16,1014.19,85.4,482.38
2743,9.46,42.28,1008.67,78.16,481.95
2744,14.43,38.91,1013.28,70.26,468.83
2745,5.86,40.62,1017.03,85.06,480.71
2746,10.57,36.71,1022.62,80.49,473.88
2747,28.69,67.25,1017.71,53.83,432.21
2748,13.27,42.28,1008.3,86.2,468.86
2749,13.52,40.83,1008.31,84.14,471.95
2750,28.01,73.18,1012.25,75.02,431.02
2751,13.13,50.59,1020.26,87.44,470.03
2752,14.43,44.47,1028.57,70.7,466.56
2753,7.84,43.52,1022.23,96.51,483.79
2754,26.06,71.73,1009.65,77.02,432.38
2755,18.93,44.06,1017.58,68.23,454.75
2756,13.63,40.92,1021.89,80.5,462.4
2757,28.02,68.08,1013.44,44.46,434.95
2758,9.45,41.4,1027.34,86.66,475.49
2759,29.27,69.89,1015.21,67.16,425.55
2760,21.38,58.33,1013.05,72.75,446.8
2761,31.85,73.91,1003.6,60.22,431.26
2762,11.82,41.26,1020.74,91.14,466.95
2763,22.64,63.73,1013.88,84.22,447.21
2764,22.72,69.13,1010.81,92.43,438.01
2765,27.0,71.25,1002.66,70.59,437.22
2766,29.55,66.25,1009.38,69.55,436.29
2767,23.56,71.85,1009.67,74.78,439.48
2768,12.0,41.17,1019.48,58.71,474.4
2769,26.1,63.56,1013.12,61.0,442.75
2770,24.88,73.17,1012.26,84.96,434.85
2771,26.4,48.41,1008.51,66.95,442.23
2772,25.69,57.32,1012.34,44.18,441.43
2773,22.1,65.94,1009.79,67.57,443.95
2774,24.47,58.05,1011.27,71.7,446.93
2775,12.07,39.99,1009.7,93.27,473.06
2776,19.89,51.43,1007.38,91.79,448.85
2777,9.17,40.67,1019.03,66.21,487.33
2778,12.85,40.92,1023.04,84.04,461.05
2779,5.23,35.57,1026.23,79.38,488.5
2780,12.43,41.62,1011.87,80.57,460.61
2781,12.93,41.39,1018.5,80.28,472.57
2782,9.03,40.71,1025.98,81.94,484.97
2783,31.73,74.67,1016.38,44.51,425.34
2784,25.63,71.58,1010.14,87.57,433.76
2785,22.7,61.41,1012.08,78.08,449.75
2786,32.06,69.88,1006.88,63.53,432.47
2787,24.8,64.63,1020.69,55.74,447.82
2788,23.47,60.77,1017.19,75.36,444.46
2789,24.31,65.34,1013.82,63.85,449.88
2790,23.02,63.47,1012.21,80.61,443.66
2791,34.09,68.51,1009.0,32.96,431.19
2792,17.75,42.24,1016.86,61.52,468.86
2793,31.8,69.05,1000.77,49.82,426.5
2794,6.62,42.49,1008.74,94.57,482.74
2795,8.51,41.26,1023.17,87.79,477.51
2796,27.41,74.67,1016.57,80.16,429.21
2797,31.27,73.91,1003.72,68.92,430.59
2798,17.45,49.64,1026.4,66.67,454.67
2799,22.63,57.17,1009.83,77.43,433.54
2800,10.07,39.66,1015.37,83.78,479.64
2801,26.12,68.51,1013.06,68.96,433.11
2802,12.28,42.34,1019.19,95.8,467.03
2803,23.89,70.04,1011.16,84.9,433.71
2804,14.8,42.77,1019.14,76.53,462.29
2805,15.45,45.0,1023.63,70.74,469.54
2806,23.09,51.19,1009.4,81.61,443.22
2807,24.92,73.68,1015.12,93.68,438.23
2808,13.15,40.78,1024.13,79.59,462.3
2809,18.6,58.71,1009.8,86.42,430.38
2810,24.88,51.43,1011.28,67.38,441.03
2811,11.36,38.25,1013.22,86.16,473.55
2812,17.12,68.28,1003.56,94.29,449.94
2813,22.1,68.63,1015.19,59.05,449.54
2814,25.0,69.71,1009.23,80.92,438.38
2815,21.04,47.43,1007.15,64.82,450.27
2816,26.85,63.56,1013.25,52.84,444.39
2817,14.87,42.18,1015.23,74.41,465.89
2818,32.21,68.3,1014.94,49.38,429.66
2819,25.87,57.32,1012.06,44.13,442.87
2820,19.98,60.77,1017.72,90.71,448.46
2821,19.26,44.34,1019.45,51.32,467.72
2822,16.75,36.99,1006.42,87.18,464.18
2823,15.37,41.96,1011.58,96.76,466.02
2824,27.96,77.24,1007.23,78.51,433.35
2825,20.27,63.56,1014.24,86.55,446.93
2826,24.66,66.49,1010.83,70.06,438.01
2827,25.53,59.57,1010.65,82.04,445.59
2828,25.43,60.95,1014.62,51.39,444.65
2829,14.48,46.18,1015.83,92.15,462.3
2830,19.5,65.12,1015.53,73.87,453.99
2831,10.27,38.38,1022.16,70.77,475.58
2832,17.98,39.63,1005.42,82.12,466.69
2833,12.38,44.2,1020.23,81.5,467.04
2834,26.61,56.85,1012.48,48.84,437.26
2835,24.05,72.24,1011.32,88.94,437.81
2836,15.9,41.35,1005.35,92.89,464.93
2837,31.65,66.25,1008.57,59.05,437.35
2838,11.2,42.02,999.99,96.69,472.27
2839,14.96,39.31,1010.52,71.28,461.97
2840,19.51,44.05,1008.52,78.38,451.7
2841,27.57,70.36,1007.18,71.1,441.86
2842,26.31,77.95,1012.45,77.22,436.83
2843,29.59,70.17,999.71,71.0,434.85
2844,10.14,45.01,1018.12,94.32,473.56
2845,9.44,41.79,1020.16,72.26,474.03
2846,13.69,41.74,1021.19,60.86,471.84
2847,23.4,49.16,1002.85,69.82,446.05
2848,12.42,38.25,1012.76,82.23,472.3
2849,21.81,43.77,1011.97,64.72,453.13
2850,33.2,70.8,1008.75,59.41,430.71
2851,22.06,45.61,1014.3,77.75,455.61
2852,27.86,63.07,1011.11,56.81,440.48
2853,27.75,66.54,1010.21,46.37,437.58
2854,20.98,60.07,1016.26,67.18,446.26
2855,17.55,43.14,1018.86,76.0,461.58
2856,6.05,38.68,1017.46,66.13,483.5
2857,17.25,39.39,1014.27,67.8,465.74
2858,21.54,58.41,1013.99,86.34,450.69
2859,29.64,69.51,1012.13,44.65,428.69
2860,16.7,36.99,1006.19,89.33,464.7
2861,19.69,57.32,1012.41,75.51,449.59
2862,19.61,56.65,1020.64,63.74,457.41
2863,6.26,41.31,1002.04,87.54,485.57
2864,6.9,40.71,1021.78,94.8,471.43
2865,19.12,58.79,1017.34,92.45,447.02
2866,12.23,43.69,1016.46,84.4,471.62
2867,10.87,37.5,1011.43,95.56,474.07
2868,20.56,60.08,1017.79,78.08,452.8
2869,31.61,75.08,1004.83,42.29,436.67
2870,14.66,41.92,1030.81,68.88,464.57
2871,19.04,50.12,1010.53,100.09,446.59
2872,14.32,45.08,1023.24,84.53,467.21
2873,18.36,53.16,1013.31,83.18,458.47
2874,31.74,72.25,1012.21,41.62,437.29
2875,19.06,44.63,1004.23,84.43,456.54
2876,14.43,45.08,1023.23,83.98,465.07
2877,12.05,40.55,1016.63,100.14,472.19
2878,17.98,56.85,1012.28,84.52,448.71
2879,28.18,49.3,1003.97,55.56,438.91
2880,23.03,44.89,1010.26,59.85,447.81
2881,15.78,48.6,1007.24,84.23,460.86
2882,24.45,66.49,1014.24,58.15,449.22
2883,18.05,56.03,1020.69,77.87,459.09
2884,14.2,38.62,1017.83,77.57,465.29
2885,16.73,37.2,1012.94,74.04,463.89
2886,13.72,41.62,1011.14,75.79,455.52
2887,27.38,59.21,1012.74,53.53,437.78
2888,10.99,44.63,1020.67,90.09,473.29
2889,26.15,64.27,1013.03,59.77,439.11
2890,17.4,63.09,1020.84,92.58,453.0
2891,24.29,63.57,1010.29,87.3,443.28
2892,29.01,68.08,1010.74,52.51,427.91
2893,12.27,43.8,1023.21,57.0,468.55
2894,16.9,44.88,1018.14,72.21,466.8
2895,29.39,71.14,1010.97,53.88,430.5
2896,25.45,75.23,1011.41,73.33,441.65
2897,27.88,62.66,1009.51,56.44,441.32
2898,18.2,49.39,1018.83,96.3,455.86
2899,12.59,41.14,1025.79,86.55,465.74
2900,19.3,44.9,1008.89,70.55,452.75
2901,18.4,40.79,1006.18,92.36,461.29
2902,14.83,53.82,1016.57,63.47,464.0
2903,20.47,58.16,1016.97,68.6,453.99
2904,28.65,70.32,1008.46,58.13,433.45
2905,28.92,72.43,1007.03,66.14,431.5
2906,28.64,73.4,1011.48,52.84,441.32
2907,12.74,44.03,1007.62,97.64,463.96
2908,10.57,41.26,1008.32,97.96,472.9
2909,30.56,71.25,1000.3,70.55,431.92
2910,13.8,40.2,1013.12,90.59,466.29
2911,5.29,41.38,1020.62,83.83,492.12
2912,33.59,79.05,1007.79,63.55,436.51
2913,6.13,40.64,1020.69,94.57,481.13
2914,18.51,48.06,1015.14,79.83,455.44
2915,32.8,68.67,1005.27,44.53,432.28
2916,24.18,58.49,1011.3,77.82,445.49
2917,17.92,50.66,1012.62,93.0,456.84
2918,6.13,39.48,1005.17,53.5,484.12
2919,24.43,65.27,1013.25,55.4,440.99
2920,28.88,66.56,1006.26,59.15,426.66
2921,13.86,44.21,1022.6,83.56,468.3
2922,20.95,48.14,1013.3,67.72,452.38
2923,27.0,59.15,1013.12,61.39,440.58
2924,9.07,36.3,1015.26,56.81,479.98
2925,19.41,67.32,1012.34,78.8,446.71
2926,33.61,69.88,1007.4,42.51,435.99
2927,20.84,59.8,1016.96,75.05,451.13
2928,23.31,68.63,1014.73,51.57,448.2
2929,9.45,43.5,1018.89,84.29,476.1
2930,13.78,44.47,1027.94,71.09,467.22
2931,21.71,58.05,1013.07,85.75,449.38
2932,18.88,44.06,1013.81,68.54,451.13
2933,22.58,52.3,1009.04,78.99,445.6
2934,12.51,43.67,1013.24,91.55,471.96
2935,30.63,74.22,1007.47,46.52,430.38
2936,27.75,66.51,1015.42,39.0,433.08
2937,25.32,60.37,1006.19,73.94,438.5
2938,13.85,48.06,1011.13,75.2,462.39
2939,23.19,48.6,1002.38,61.19,445.52
2940,16.18,43.99,1021.97,80.96,460.81
2941,9.98,39.66,1017.32,77.78,481.64
2942,28.87,72.58,1008.69,79.34,428.89
2943,19.05,62.96,1020.48,83.04,454.26
2944,19.83,59.44,1012.98,91.24,446.15
2945,26.39,49.02,1007.62,70.82,438.53
2946,12.25,48.79,1017.44,88.91,469.52
2947,26.93,56.9,1006.25,77.79,444.7
2948,27.16,47.43,1009.17,45.79,442.85
2949,28.16,70.4,1003.77,83.17,434.01
