,nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
403,403.0,5580.0,9107.0,6417.0,240.0,2874.0,411.0,850.0,835.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,2948.0,1.0,5672,343,111,240,424,431,735,661,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,317,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6961.0,1069.0,272.0,240.0,1007.0,128.0,880.0,738.0,800.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,1166.0,1.0,2.0
404,404.0,7176.0,1399.0,462.0,90.0,1904.0,233.0,1430.0,1314.0,700.0,2070,1251,700,1080,918,113,?,?,?,?,?,?,3780.0,280.0,2.0,9705,4412,3258,90,1174,485,1250,959,700,1510,1815,700,1275,947,113,?,?,?,?,?,?,3780,480,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8312.0,3413.0,3164.0,90.0,281.0,113.0,1105.0,741.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,56.0,1.0,2.0
405,405.0,6061.0,172.0,19.0,180.0,273.0,603.0,600.0,274.0,349.0,300,626,349,740,552,815,480,678,815,255,201,326,5280.0,24.0,3.0,13831,1993,492,180,1621,742,1345,1728,149,780,397,149,750,510,326,?,?,?,?,?,?,2580,5878,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3890.0,2806.0,1721.0,180.0,1145.0,326.0,130.0,147.0,815.0,495,544,815,845,731,371,?,?,?,?,?,?,5220.0,1670.0,2.0,2.0
406,406.0,1669.0,823.0,136.0,240.0,880.0,456.0,1015.0,995.0,128.0,2795,2883,128,1620,1383,770,?,?,?,?,?,?,3960.0,912.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5241.0,4584.0,4593.0,240.0,172.0,770.0,390.0,158.0,128.0,575,888,128,505,234,423,?,?,?,?,?,?,3960.0,1283.0,2.0,1.0
407,407.0,11519.0,131.0,63.0,240.0,270.0,800.0,860.0,831.0,128.0,335,355,128,900,475,388,?,?,?,?,?,?,3960.0,442.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11914.0,1995.0,1339.0,900.0,1485.0,388.0,630.0,500.0,349.0,255,395,349,1454,1326,341,?,?,?,?,?,?,361.0,1225.0,2.0,1.0
408,408.0,13840.0,35769.0,35851.0,90.0,465.0,233.0,1385.0,1113.0,700.0,1740,1501,700,1060,939,113,?,?,?,?,?,?,3780.0,241.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8479.0,1960.0,1801.0,90.0,186.0,113.0,1105.0,697.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,32.0,1.0,1.0
409,409.0,9745.0,171.0,93.0,240.0,255.0,815.0,215.0,202.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,4890.0,7.0,1.0,2886,250,45,90,491,579,1005,919,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,1275,1,10202,1273,532,90,763,187,1195,1050,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,1919,1,11991.0,3097.0,1843.0,90.0,1358.0,128.0,1135.0,951.0,441.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,19959.0,1.0,3.0
410,410.0,11919.0,1577.0,1134.0,240.0,672.0,753.0,1320.0,1067.0,128.0,285,520,128,385,195,485,?,?,?,?,?,?,3960.0,1262.0,2.0,11002,142,139,135,173,815,285,226,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,128,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13463.0,555.0,17.0,150.0,660.0,485.0,390.0,167.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,157.0,1.0,2.0
411,411.0,4647.0,178.0,79.0,240.0,278.0,815.0,280.0,202.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,1584.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3471.0,985.0,911.0,150.0,180.0,485.0,175.0,486.0,256.0,?,?,?,?,?,?,?,?,?,?,?,?,1520.0,5763.0,1.0,1.0
412,412.0,381.0,12192.0,11618.0,90.0,641.0,349.0,1215.0,808.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,300.0,1.0,13631,2486,2365,90,195,671,790,647,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,366,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3528.0,4713.0,4518.0,90.0,245.0,700.0,705.0,307.0,403.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,2501.0,1.0,2.0
413,413.0,11708.0,1167.0,452.0,180.0,1290.0,609.0,465.0,259.0,695.0,2607,2386,695,1675,867,456,?,?,?,?,?,?,3315.0,11.0,2.0,6371,739,45,240,895,128,970,757,456,?,?,?,?,?,?,?,?,?,?,?,?,3960,249,1,3092,765,402,270,596,349,930,1030,456,?,?,?,?,?,?,?,?,?,?,?,?,435,7891,1,9349.0,2604.0,1789.0,90.0,840.0,456.0,880.0,539.0,700.0,525,915,700,1625,1094,476,?,?,?,?,?,?,3780.0,46205.0,2.0,3.0
414,414.0,4506.0,1006.0,89.0,240.0,1099.0,815.0,1020.0,945.0,671.0,?,?,?,?,?,?,?,?,?,?,?,?,4680.0,386.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9589.0,558.0,119.0,180.0,676.0,671.0,1435.0,862.0,149.0,885,1341,149,615,614,400,?,?,?,?,?,?,6960.0,80.0,2.0,1.0
415,415.0,14174.0,213.0,98.0,120.0,76.0,118.0,2670.0,2469.0,349.0,3605,5430,349,1046,792,441,?,?,?,?,?,?,1049.0,1097.0,2.0,6009,203,206,150,114,770,110,104,128,795,786,128,1245,1214,441,?,?,?,?,?,?,3670,1626,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13296.0,638.0,338.0,150.0,398.0,441.0,706.0,714.0,128.0,280,289,128,480,548,798,?,?,?,?,?,?,4230.0,825.0,2.0,2.0
416,416.0,7058.0,1055.0,809.0,240.0,447.0,179.0,375.0,176.0,128.0,1345,1570,128,920,335,411,?,?,?,?,?,?,3960.0,6068.0,2.0,2786,228,212,150,112,166,130,127,128,930,942,128,645,400,411,?,?,?,?,?,?,4230,1675,2,11957,4310,4350,380,299,356,895,1292,308,705,289,308,780,634,411,?,?,?,?,?,?,4020,4406,2,126.0,1457.0,1278.0,150.0,275.0,411.0,580.0,592.0,128.0,370,366,128,1055,150,727,?,?,?,?,?,?,3300.0,2478.0,2.0,3.0
417,417.0,9834.0,95.0,37.0,180.0,170.0,485.0,145.0,115.0,281.0,?,?,?,?,?,?,?,?,?,?,?,?,2880.0,89.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7929.0,1951.0,230.0,90.0,1825.0,281.0,1345.0,1093.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,226.0,1.0,1.0
418,418.0,411.0,1011.0,60.0,180.0,1071.0,597.0,1055.0,1019.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5040.0,2155.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10832.0,203.0,92.0,240.0,321.0,815.0,290.0,179.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,1821.0,1.0,1.0
419,419.0,11131.0,113.0,50.0,135.0,143.0,815.0,195.0,128.0,233.0,?,?,?,?,?,?,?,?,?,?,?,?,5220.0,3517.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7200.0,3083.0,2023.0,90.0,1082.0,233.0,1365.0,1176.0,700.0,1340,1530,700,860,485,584,?,?,?,?,?,?,3780.0,486.0,2.0,1.0
420,420.0,2805.0,87.0,111.0,180.0,102.0,166.0,220.0,163.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,4140.0,1180.0,1.0,13322,450,339,240,321,441,970,960,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,302,1,60,2520,1645,240,1105,789,1050,1286,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,754,1,6645.0,1240.0,728.0,240.0,709.0,128.0,815.0,461.0,332.0,?,?,?,?,?,?,?,?,?,?,?,?,3840.0,485.0,1.0,3.0
421,421.0,3999.0,3507.0,3223.0,90.0,304.0,597.0,1025.0,872.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3840.0,36.0,1.0,12124,1493,154,90,1366,128,1225,896,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,86,1,1605,2727,306,90,2451,815,1210,971,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,37,1,7590.0,666.0,313.0,150.0,474.0,700.0,800.0,837.0,128.0,410,368,128,710,637,548,?,?,?,?,?,?,4230.0,3088.0,2.0,3.0
422,422.0,13100.0,4299.0,2672.0,540.0,2140.0,411.0,1065.0,777.0,349.0,2270,2537,349,835,692,520,?,?,?,?,?,?,350.0,6156.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5874.0,2775.0,2140.0,180.0,1090.0,520.0,920.0,841.0,149.0,570,356,149,1050,1085,809,?,?,?,?,?,?,6960.0,743.0,2.0,1.0
423,423.0,12261.0,1210.0,1050.0,150.0,250.0,413.0,730.0,745.0,349.0,424,411,349,1231,1112,366,?,?,?,?,?,?,1335.0,1515.0,2.0,14126,2965,1639,300,1558,609,735,556,281,40,287,281,780,305,366,?,?,?,?,?,?,3720,649,2,11951,3534,609,540,3388,609,845,554,349,805,1037,349,1350,1188,366,?,?,?,?,?,?,360,1660,2,10972.0,980.0,596.0,180.0,503.0,366.0,210.0,409.0,128.0,700,517,128,600,100,101,?,?,?,?,?,?,3750.0,2153.0,2.0,3.0
424,424.0,14446.0,700.0,206.0,90.0,521.0,700.0,1330.0,944.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,2321.0,1.0,4588,89,29,135,131,815,285,189,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,220,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6154.0,1101.0,926.0,90.0,218.0,485.0,1250.0,964.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,174.0,1.0,2.0
425,425.0,2214.0,2051.0,1266.0,90.0,913.0,308.0,1045.0,1591.0,233.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,117.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7181.0,2996.0,1796.0,90.0,1232.0,233.0,1430.0,1240.0,700.0,1375,1570,700,1080,759,113,?,?,?,?,?,?,3780.0,816.0,2.0,1.0
426,426.0,1869.0,1665.0,622.0,240.0,1236.0,128.0,925.0,688.0,174.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,67.0,1.0,8363,1572,1424,90,173,113,1105,796,700,255,575,700,625,136,174,?,?,?,?,?,?,3780,280,2,4604,6036,5701,240,512,815,830,763,174,?,?,?,?,?,?,?,?,?,?,?,?,5400,1399,1,3332.0,1519.0,144.0,240.0,1565.0,174.0,1225.0,1369.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,550.0,789.0,1.0,3.0
427,427.0,14419.0,1529.0,1036.0,90.0,522.0,485.0,1250.0,881.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,36.0,1.0,10085,964,372,90,622,281,1345,1201,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,409,1,9314,1378,419,90,994,815,1220,1000,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,3628,1,14472.0,778.0,203.0,90.0,607.0,700.0,860.0,779.0,584.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,1495.0,1.0,3.0
428,428.0,6023.0,704.0,244.0,180.0,588.0,179.0,195.0,129.0,128.0,480,550,128,750,755,671,?,?,?,?,?,?,4140.0,91.0,2.0,10416,1371,371,240,1191,815,1020,1032,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,3,1,13245,1460,855,90,649,700,795,356,671,?,?,?,?,?,?,?,?,?,?,?,?,3780,896,1,835.0,2474.0,2204.0,90.0,426.0,671.0,795.0,425.0,700.0,425,1187,700,1885,1373,308,?,?,?,?,?,?,3780.0,1006.0,2.0,3.0
429,429.0,12025.0,1121.0,439.0,180.0,782.0,144.0,550.0,615.0,349.0,1365,1262,349,530,612,226,?,?,?,?,?,?,370.0,1470.0,2.0,13852,4246,3532,780,1488,778,1620,1270,349,1050,1288,349,590,654,226,?,?,?,?,?,?,355,1428,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5485.0,1022.0,358.0,150.0,756.0,226.0,85.0,159.0,128.0,585,521,128,665,667,671,?,?,?,?,?,?,4230.0,1193.0,2.0,2.0
430,430.0,5814.0,170.0,101.0,150.0,165.0,391.0,385.0,133.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,3160.0,494.0,1.0,5170,279,163,150,201,391,385,107,815,?,?,?,?,?,?,?,?,?,?,?,?,3160,762,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10167.0,139.0,43.0,135.0,177.0,815.0,295.0,202.0,527.0,?,?,?,?,?,?,?,?,?,?,?,?,5100.0,63.0,1.0,2.0
431,431.0,347.0,2390.0,52.0,165.0,2372.0,128.0,1035.0,867.0,413.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,590.0,1.0,6144,1493,714,180,919,485,885,860,149,815,836,149,760,552,413,?,?,?,?,?,?,1140,3071,2,783,1108,38,165,1200,128,1035,842,413,?,?,?,?,?,?,?,?,?,?,?,?,3960,329,1,9547.0,4032.0,4114.0,330.0,188.0,413.0,730.0,782.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,550.0,1064.0,1.0,3.0
432,432.0,4993.0,174.0,48.0,240.0,298.0,476.0,975.0,873.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5040.0,2170.0,1.0,223,125,31,240,262,476,975,754,815,?,?,?,?,?,?,?,?,?,?,?,?,6465,19,1,4990,136,98,240,204,476,975,749,815,?,?,?,?,?,?,?,?,?,?,?,?,5040,3745,1,3850.0,1020.0,958.0,240.0,257.0,815.0,890.0,902.0,597.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,187.0,1.0,3.0
433,433.0,13936.0,501.0,1.0,150.0,625.0,490.0,775.0,771.0,128.0,960,961,128,115,101,256,?,?,?,?,?,?,4230.0,4907.0,2.0,306,269,218,270,256,216,735,510,815,205,504,815,1120,834,256,?,?,?,?,?,?,5160,2017,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7550.0,766.0,229.0,210.0,701.0,256.0,233.0,177.0,783.0,?,?,?,?,?,?,?,?,?,?,?,?,402.0,141.0,1.0,2.0
434,434.0,11380.0,871.0,411.0,150.0,556.0,366.0,130.0,128.0,128.0,1565,1569,128,650,432,411,?,?,?,?,?,?,4230.0,6015.0,2.0,510,1157,605,150,649,610,140,234,128,1555,1471,128,645,391,411,?,?,?,?,?,?,4230,454,2,9161,2467,1515,90,982,456,880,507,700,110,497,700,2315,1441,411,?,?,?,?,?,?,3420,196,2,5707.0,1508.0,1404.0,150.0,215.0,411.0,580.0,595.0,128.0,730,706,128,120,110,727,?,?,?,?,?,?,4230.0,681.0,2.0,3.0
435,435.0,13640.0,1157.0,268.0,540.0,1369.0,609.0,895.0,566.0,349.0,3000,3259,349,708,814,663,?,?,?,?,?,?,402.0,267.0,2.0,4899,449,2,270,656,216,735,718,815,980,998,815,200,110,663,?,?,?,?,?,?,3780,1620,2,3250,929,291,150,757,485,1020,359,663,?,?,?,?,?,?,?,?,?,?,?,?,2570,1571,1,7514.0,209.0,137.0,210.0,227.0,663.0,255.0,126.0,815.0,620,752,815,465,390,752,?,?,?,?,?,?,5760.0,8227.0,2.0,3.0
436,436.0,11930.0,1662.0,269.0,250.0,1587.0,597.0,1125.0,1198.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,550.0,1033.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14231.0,1537.0,941.0,150.0,706.0,349.0,483.0,437.0,332.0,?,?,?,?,?,?,?,?,?,?,?,?,697.0,575.0,1.0,1.0
437,437.0,10063.0,30.0,34.0,135.0,76.0,815.0,285.0,300.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,304.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5283.0,664.0,864.0,420.0,169.0,485.0,290.0,128.0,815.0,850,995,815,515,199,140,?,?,?,?,?,?,6150.0,1572.0,2.0,1.0
438,438.0,9942.0,997.0,174.0,240.0,1005.0,815.0,215.0,173.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,4890.0,1416.0,1.0,3452,801,199,240,785,815,215,137,128,?,?,?,?,?,?,?,?,?,?,?,?,4890,132,1,4529,5837,5399,240,692,548,920,778,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,174,1,5374.0,31.0,53.0,240.0,191.0,128.0,110.0,166.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,4230.0,19.0,1.0,3.0
439,439.0,1723.0,240.0,103.0,150.0,255.0,128.0,740.0,230.0,281.0,?,?,?,?,?,?,?,?,?,?,?,?,3600.0,3480.0,1.0,14006,515,235,245,459,609,525,573,281,?,?,?,?,?,?,?,?,?,?,?,?,2880,129,1,883,1530,299,240,1410,476,985,785,815,625,830,815,290,209,281,?,?,?,?,?,?,5100,208,2,12484.0,484.0,241.0,150.0,327.0,281.0,720.0,125.0,166.0,?,?,?,?,?,?,?,?,?,?,?,?,2760.0,2739.0,1.0,3.0
440,440.0,103.0,1443.0,1247.0,180.0,303.0,476.0,975.0,742.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,3495.0,1090.0,1.0,2025,150,60,180,210,243,545,487,815,?,?,?,?,?,?,?,?,?,?,?,?,5400,1519,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1555.0,1489.0,354.0,90.0,1165.0,815.0,1210.0,954.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,47.0,1.0,2.0
441,441.0,1977.0,368.0,233.0,150.0,246.0,485.0,400.0,170.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,3920.0,35.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9862.0,143.0,50.0,240.0,266.0,815.0,215.0,125.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,4890.0,90.0,1.0,1.0
442,442.0,9545.0,240.0,140.0,150.0,202.0,614.0,155.0,167.0,815.0,1215,1193,815,285,135,281,?,?,?,?,?,?,5100.0,1076.0,2.0,11676,945,70,150,956,101,130,119,281,?,?,?,?,?,?,?,?,?,?,?,?,2880,2701,1,2594,215,30,150,271,391,80,81,281,?,?,?,?,?,?,?,?,?,?,?,?,2880,754,1,7919.0,7896.0,6098.0,90.0,1845.0,281.0,1360.0,1185.0,700.0,2150,2325,700,815,428,123,?,?,?,?,?,?,3780.0,985.0,2.0,3.0
443,443.0,9888.0,844.0,127.0,300.0,1000.0,628.0,910.0,1089.0,128.0,2765,3303,128,1500,935,815,?,?,?,?,?,?,3960.0,758.0,2.0,12528,657,455,330,482,233,375,139,815,?,?,?,?,?,?,?,?,?,?,?,?,5470,1555,1,181,297,24,180,383,216,735,498,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,349,1,3757.0,1268.0,202.0,240.0,1257.0,815.0,620.0,588.0,216.0,?,?,?,?,?,?,?,?,?,?,?,?,6300.0,5649.0,1.0,3.0
444,444.0,3389.0,1025.0,319.0,240.0,890.0,456.0,1015.0,831.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,1570.0,1.0,5738,962,981,240,218,695,995,696,128,?,?,?,?,?,?,?,?,?,?,?,?,3900,486,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11622.0,1662.0,400.0,240.0,1495.0,128.0,970.0,732.0,403.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,16.0,1.0,2.0
445,445.0,13598.0,1630.0,387.0,240.0,1433.0,398.0,765.0,524.0,413.0,?,?,?,?,?,?,?,?,?,?,?,?,9700.0,325.0,1.0,344,1192,52,165,1261,128,1035,772,413,?,?,?,?,?,?,?,?,?,?,?,?,3960,186,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5680.0,1662.0,594.0,150.0,1225.0,413.0,700.0,724.0,128.0,1095,1227,128,690,441,667,?,?,?,?,?,?,4230.0,1210.0,2.0,2.0
446,446.0,12056.0,130.0,157.0,300.0,225.0,201.0,880.0,379.0,555.0,?,?,?,?,?,?,?,?,?,?,?,?,1560.0,2214.0,1.0,3249,1091,1047,300,287,671,1025,993,144,1390,1359,144,1140,1055,555,?,?,?,?,?,?,8400,4382,2,7521,1392,1174,210,368,663,450,356,500,89,66,500,901,948,815,1325,1400,815,685,754,555,5760,5197,3,2638.0,14854.0,14553.0,300.0,577.0,555.0,735.0,690.0,371.0,?,?,?,?,?,?,?,?,?,?,?,?,1560.0,1229.0,1.0,3.0
447,447.0,257.0,184.0,74.0,240.0,279.0,476.0,975.0,774.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5040.0,22.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4599.0,1083.0,48.0,240.0,1222.0,815.0,1020.0,858.0,671.0,?,?,?,?,?,?,?,?,?,?,?,?,4680.0,320.0,1.0,1.0
448,448.0,8842.0,1097.0,134.0,90.0,996.0,815.0,1220.0,1074.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,1397.0,1.0,6796,1449,846,90,639,485,1240,1010,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,1833,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9201.0,2038.0,740.0,300.0,1568.0,700.0,1070.0,972.0,128.0,530,809,128,900,586,388,?,?,?,?,?,?,4020.0,103.0,2.0,2.0
449,449.0,11954.0,2900.0,2874.0,300.0,301.0,356.0,895.0,708.0,308.0,705,857,308,780,706,411,?,?,?,?,?,?,1620.0,3185.0,2.0,11420,3620,3120,150,597,366,120,182,128,1585,1550,128,645,667,411,?,?,?,?,?,?,4230,2821,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8103.0,3027.0,2943.0,240.0,281.0,411.0,855.0,1123.0,128.0,1260,1052,128,840,576,299,?,?,?,?,?,?,3960.0,2223.0,2.0,2.0
450,450.0,5526.0,136.0,72.0,240.0,244.0,256.0,980.0,697.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5530.0,23.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10870.0,992.0,43.0,240.0,1132.0,815.0,890.0,824.0,597.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,291.0,1.0,1.0
451,451.0,12403.0,105.0,61.0,150.0,153.0,281.0,540.0,112.0,166.0,?,?,?,?,?,?,?,?,?,?,?,?,2850.0,1161.0,1.0,1661,178,161,150,117,128,620,151,166,?,?,?,?,?,?,?,?,?,?,?,?,3740,944,1,12400,219,223,150,83,281,720,118,166,?,?,?,?,?,?,?,?,?,?,?,?,2760,3616,1,2824.0,293.0,271.0,150.0,129.0,166.0,130.0,216.0,128.0,1090,1018,128,690,630,667,?,?,?,?,?,?,4230.0,2822.0,2.0,3.0
