,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
5716,5717,2010,8,27,4,43.0,16,19.0,1013.0,NW,27.72,0,0
5717,5718,2010,8,27,5,46.0,16,21.0,1013.0,NW,31.74,0,0
5718,5719,2010,8,27,6,35.0,16,19.0,1013.0,NW,34.87,0,0
5719,5720,2010,8,27,7,42.0,16,21.0,1013.0,NW,38.0,0,0
5720,5721,2010,8,27,8,64.0,17,22.0,1014.0,NW,41.13,0,0
5721,5722,2010,8,27,9,41.0,16,23.0,1014.0,NW,42.92,0,0
5722,5723,2010,8,27,10,40.0,18,25.0,1014.0,NW,46.05,0,0
5723,5724,2010,8,27,11,46.0,15,28.0,1014.0,NE,4.92,0,0
5724,5725,2010,8,27,12,35.0,14,29.0,1013.0,NE,9.84,0,0
5725,5726,2010,8,27,13,26.0,15,29.0,1013.0,NE,12.97,0,0
5726,5727,2010,8,27,14,31.0,14,29.0,1012.0,cv,0.89,0,0
5727,5728,2010,8,27,15,24.0,13,30.0,1011.0,cv,1.78,0,0
5728,5729,2010,8,27,16,17.0,13,29.0,1011.0,cv,2.67,0,0
5729,5730,2010,8,27,17,26.0,15,29.0,1011.0,SE,1.79,0,0
5730,5731,2010,8,27,18,30.0,14,27.0,1011.0,SE,3.58,0,0
5731,5732,2010,8,27,19,42.0,15,26.0,1011.0,SE,5.37,0,0
5732,5733,2010,8,27,20,59.0,14,26.0,1011.0,SE,8.5,0,0
5733,5734,2010,8,27,21,66.0,15,26.0,1012.0,SE,11.63,0,0
5734,5735,2010,8,27,22,54.0,15,26.0,1012.0,NW,1.79,0,0
5735,5736,2010,8,27,23,44.0,17,23.0,1012.0,cv,0.89,0,0
5736,5737,2010,8,28,0,44.0,17,20.0,1012.0,cv,1.78,0,0
5737,5738,2010,8,28,1,94.0,17,21.0,1012.0,SE,0.89,0,0
5738,5739,2010,8,28,2,127.0,17,19.0,1011.0,NE,0.89,0,0
5739,5740,2010,8,28,3,48.0,17,19.0,1011.0,NW,1.79,0,0
5740,5741,2010,8,28,4,69.0,17,19.0,1011.0,NW,3.58,0,0
5741,5742,2010,8,28,5,73.0,17,19.0,1011.0,NW,6.71,0,0
5742,5743,2010,8,28,6,51.0,16,18.0,1011.0,NW,9.84,0,0
5743,5744,2010,8,28,7,33.0,17,21.0,1012.0,NW,13.86,0,0
5744,5745,2010,8,28,8,47.0,17,23.0,1012.0,NW,17.88,0,0
5745,5746,2010,8,28,9,24.0,16,25.0,1012.0,NW,21.9,0,0
5746,5747,2010,8,28,10,37.0,17,27.0,1012.0,NW,25.92,0,0
5747,5748,2010,8,28,11,20.0,17,28.0,1011.0,NW,29.05,0,0
5748,5749,2010,8,28,12,24.0,16,30.0,1010.0,NW,30.84,0,0
5749,5750,2010,8,28,13,17.0,14,31.0,1009.0,SE,1.79,0,0
5750,5751,2010,8,28,14,22.0,14,32.0,1009.0,cv,0.89,0,0
5751,5752,2010,8,28,15,16.0,14,31.0,1008.0,SE,1.79,0,0
5752,5753,2010,8,28,16,11.0,13,31.0,1008.0,SE,4.92,0,0
5753,5754,2010,8,28,17,35.0,16,30.0,1008.0,SE,8.05,0,0
5754,5755,2010,8,28,18,42.0,16,29.0,1008.0,SE,11.18,0,0
5755,5756,2010,8,28,19,44.0,17,27.0,1008.0,SE,12.97,0,0
5756,5757,2010,8,28,20,55.0,18,24.0,1009.0,SE,14.76,0,0
5757,5758,2010,8,28,21,49.0,18,23.0,1010.0,SE,15.65,0,0
5758,5759,2010,8,28,22,65.0,19,24.0,1010.0,SE,19.67,0,0
5759,5760,2010,8,28,23,97.0,20,23.0,1010.0,SE,21.46,0,0
5760,5761,2010,8,29,0,132.0,20,23.0,1010.0,SE,23.25,0,0
5761,5762,2010,8,29,1,110.0,19,21.0,1009.0,cv,0.89,0,0
5762,5763,2010,8,29,2,136.0,19,21.0,1009.0,NW,0.89,0,0
5763,5764,2010,8,29,3,168.0,20,21.0,1009.0,SE,1.79,0,0
5764,5765,2010,8,29,4,157.0,20,22.0,1009.0,SE,3.58,0,0
5765,5766,2010,8,29,5,191.0,20,21.0,1008.0,NE,0.89,0,0
5766,5767,2010,8,29,6,160.0,20,21.0,1009.0,cv,0.89,0,0
5767,5768,2010,8,29,7,195.0,19,21.0,1009.0,NW,1.79,0,0
5768,5769,2010,8,29,8,135.0,20,22.0,1009.0,NW,4.92,0,0
5769,5770,2010,8,29,9,121.0,19,25.0,1009.0,NW,8.05,0,0
5770,5771,2010,8,29,10,102.0,19,27.0,1008.0,SE,1.79,0,0
5771,5772,2010,8,29,11,82.0,20,29.0,1008.0,cv,1.79,0,0
5772,5773,2010,8,29,12,98.0,20,29.0,1007.0,SE,1.79,0,0
5773,5774,2010,8,29,13,110.0,19,31.0,1007.0,SE,3.58,0,0
5774,5775,2010,8,29,14,138.0,19,32.0,1006.0,SE,5.37,0,0
5775,5776,2010,8,29,15,79.0,18,32.0,1005.0,SE,9.39,0,0
5776,5777,2010,8,29,16,60.0,17,32.0,1005.0,SE,14.31,0,0
5777,5778,2010,8,29,17,54.0,17,31.0,1005.0,SE,18.33,0,0
5778,5779,2010,8,29,18,62.0,17,30.0,1005.0,SE,22.35,0,0
5779,5780,2010,8,29,19,91.0,18,28.0,1006.0,SE,25.48,0,0
5780,5781,2010,8,29,20,99.0,18,27.0,1007.0,SE,28.61,0,0
5781,5782,2010,8,29,21,93.0,19,25.0,1007.0,SE,30.4,0,0
5782,5783,2010,8,29,22,88.0,19,24.0,1007.0,SE,32.19,0,0
5783,5784,2010,8,29,23,95.0,19,22.0,1007.0,NE,0.89,0,0
5784,5785,2010,8,30,0,102.0,19,22.0,1007.0,NE,2.68,0,0
5785,5786,2010,8,30,1,145.0,19,22.0,1007.0,cv,0.89,0,0
5786,5787,2010,8,30,2,107.0,19,22.0,1007.0,NE,0.89,0,0
5787,5788,2010,8,30,3,100.0,19,21.0,1008.0,NW,1.79,0,0
5788,5789,2010,8,30,4,103.0,18,20.0,1008.0,NE,1.79,0,0
5789,5790,2010,8,30,5,114.0,18,20.0,1008.0,NW,1.79,0,0
5790,5791,2010,8,30,6,130.0,18,20.0,1008.0,NW,3.58,0,0
5791,5792,2010,8,30,7,111.0,19,21.0,1009.0,cv,0.89,0,0
5792,5793,2010,8,30,8,77.0,19,23.0,1009.0,NE,1.79,0,0
5793,5794,2010,8,30,9,67.0,19,26.0,1009.0,NE,3.58,0,0
5794,5795,2010,8,30,10,95.0,19,27.0,1009.0,NE,6.71,0,0
5795,5796,2010,8,30,11,83.0,18,29.0,1009.0,NE,9.84,0,0
5796,5797,2010,8,30,12,54.0,18,30.0,1008.0,cv,0.45,0,0
5797,5798,2010,8,30,13,61.0,20,30.0,1008.0,SE,1.79,0,0
5798,5799,2010,8,30,14,77.0,20,30.0,1008.0,cv,0.89,0,0
5799,5800,2010,8,30,15,58.0,20,30.0,1007.0,SE,3.13,0,0
5800,5801,2010,8,30,16,88.0,21,30.0,1007.0,SE,6.26,0,0
5801,5802,2010,8,30,17,74.0,22,29.0,1007.0,SE,8.05,0,0
5802,5803,2010,8,30,18,70.0,21,28.0,1006.0,SE,9.84,0,0
5803,5804,2010,8,30,19,128.0,22,27.0,1007.0,SE,11.63,0,1
5804,5805,2010,8,30,20,217.0,22,26.0,1007.0,SE,13.42,0,0
5805,5806,2010,8,30,21,224.0,22,26.0,1008.0,SE,16.55,0,0
5806,5807,2010,8,30,22,176.0,21,26.0,1008.0,SE,18.34,0,0
5807,5808,2010,8,30,23,165.0,21,26.0,1008.0,SE,22.36,0,0
5808,5809,2010,8,31,0,116.0,19,25.0,1009.0,NW,4.02,0,1
5809,5810,2010,8,31,1,73.0,21,23.0,1009.0,cv,0.89,0,2
5810,5811,2010,8,31,2,60.0,20,22.0,1009.0,cv,1.78,0,0
5811,5812,2010,8,31,3,59.0,19,21.0,1009.0,NE,1.79,0,0
5812,5813,2010,8,31,4,45.0,19,21.0,1010.0,cv,0.89,0,0
5813,5814,2010,8,31,5,65.0,18,20.0,1010.0,NW,0.89,0,0
5814,5815,2010,8,31,6,72.0,18,20.0,1010.0,NW,2.68,0,0
5815,5816,2010,8,31,7,112.0,19,21.0,1010.0,cv,0.89,0,0
5816,5817,2010,8,31,8,105.0,20,23.0,1010.0,cv,2.68,0,0
5817,5818,2010,8,31,9,93.0,19,25.0,1010.0,SE,1.79,0,0
5818,5819,2010,8,31,10,81.0,19,25.0,1011.0,SE,4.92,0,0
5819,5820,2010,8,31,11,92.0,19,25.0,1010.0,SE,6.71,0,0
5820,5821,2010,8,31,12,102.0,20,24.0,1010.0,SE,9.84,0,0
5821,5822,2010,8,31,13,92.0,20,26.0,1010.0,SE,11.63,0,0
5822,5823,2010,8,31,14,89.0,20,27.0,1010.0,SE,13.42,0,0
5823,5824,2010,8,31,15,103.0,20,27.0,1010.0,SE,15.21,0,0
5824,5825,2010,8,31,16,80.0,20,27.0,1010.0,SE,17.0,0,0
5825,5826,2010,8,31,17,101.0,19,27.0,1010.0,SE,18.79,0,0
5826,5827,2010,8,31,18,95.0,20,26.0,1010.0,NE,1.79,0,0
5827,5828,2010,8,31,19,85.0,20,24.0,1011.0,NE,2.68,0,0
5828,5829,2010,8,31,20,89.0,20,23.0,1011.0,SE,0.89,0,0
5829,5830,2010,8,31,21,107.0,20,23.0,1011.0,cv,0.89,0,0
5830,5831,2010,8,31,22,115.0,20,23.0,1011.0,NE,1.79,0,0
5831,5832,2010,8,31,23,100.0,20,23.0,1012.0,SE,0.89,0,0
5832,5833,2010,9,1,0,99.0,19,22.0,1012.0,cv,0.89,0,0
5833,5834,2010,9,1,1,105.0,20,22.0,1012.0,NE,0.89,0,0
5834,5835,2010,9,1,2,108.0,20,22.0,1012.0,NW,0.89,0,0
5835,5836,2010,9,1,3,116.0,21,22.0,1013.0,SE,1.79,0,1
5836,5837,2010,9,1,4,95.0,18,20.0,1012.0,NE,4.02,0,2
5837,5838,2010,9,1,5,79.0,18,20.0,1012.0,NW,1.79,0,0
5838,5839,2010,9,1,6,82.0,19,21.0,1013.0,cv,0.89,0,1
5839,5840,2010,9,1,7,90.0,20,21.0,1014.0,cv,1.78,0,2
5840,5841,2010,9,1,8,78.0,20,22.0,1014.0,NW,3.13,0,0
5841,5842,2010,9,1,9,76.0,19,22.0,1014.0,NW,6.26,0,0
5842,5843,2010,9,1,10,44.0,19,23.0,1015.0,NW,11.18,0,0
5843,5844,2010,9,1,11,61.0,19,24.0,1015.0,NW,14.31,0,0
5844,5845,2010,9,1,12,52.0,19,25.0,1014.0,NW,17.44,0,0
5845,5846,2010,9,1,13,45.0,19,25.0,1014.0,NW,20.57,0,0
5846,5847,2010,9,1,14,55.0,19,27.0,1014.0,NW,23.7,0,0
5847,5848,2010,9,1,15,44.0,19,27.0,1013.0,NW,26.83,0,0
5848,5849,2010,9,1,16,55.0,18,27.0,1013.0,NW,29.96,0,0
5849,5850,2010,9,1,17,43.0,19,26.0,1013.0,NW,33.09,0,0
5850,5851,2010,9,1,18,37.0,18,26.0,1013.0,NW,37.11,0,0
5851,5852,2010,9,1,19,59.0,19,24.0,1013.0,NW,38.9,0,0
5852,5853,2010,9,1,20,59.0,19,23.0,1014.0,NE,0.89,0,0
5853,5854,2010,9,1,21,53.0,18,24.0,1014.0,NW,3.13,0,0
5854,5855,2010,9,1,22,73.0,18,22.0,1014.0,cv,0.89,0,0
5855,5856,2010,9,1,23,81.0,18,21.0,1015.0,cv,1.78,0,0
5856,5857,2010,9,2,0,82.0,18,22.0,1015.0,SE,1.79,0,0
5857,5858,2010,9,2,1,81.0,18,21.0,1014.0,cv,0.89,0,0
5858,5859,2010,9,2,2,105.0,19,21.0,1014.0,NW,1.79,0,0
5859,5860,2010,9,2,3,105.0,18,21.0,1014.0,NW,2.68,0,0
5860,5861,2010,9,2,4,85.0,18,22.0,1014.0,NW,5.81,0,0
5861,5862,2010,9,2,5,49.0,18,21.0,1015.0,NW,7.6,0,0
5862,5863,2010,9,2,6,45.0,18,21.0,1015.0,NW,10.73,0,0
5863,5864,2010,9,2,7,36.0,18,22.0,1015.0,NE,1.79,0,0
5864,5865,2010,9,2,8,46.0,18,23.0,1016.0,NW,3.13,0,0
5865,5866,2010,9,2,9,59.0,18,24.0,1016.0,NW,6.26,0,0
5866,5867,2010,9,2,10,51.0,18,26.0,1016.0,NW,9.39,0,0
5867,5868,2010,9,2,11,50.0,18,26.0,1016.0,NW,12.52,0,0
5868,5869,2010,9,2,12,39.0,18,27.0,1016.0,NW,14.31,0,0
5869,5870,2010,9,2,13,39.0,18,28.0,1015.0,cv,0.89,0,0
5870,5871,2010,9,2,14,46.0,19,29.0,1014.0,cv,2.68,0,0
5871,5872,2010,9,2,15,77.0,18,29.0,1014.0,cv,4.47,0,0
5872,5873,2010,9,2,16,104.0,19,29.0,1014.0,SE,1.79,0,0
5873,5874,2010,9,2,17,80.0,20,28.0,1014.0,SE,3.58,0,0
5874,5875,2010,9,2,18,112.0,20,27.0,1014.0,SE,4.47,0,0
5875,5876,2010,9,2,19,143.0,21,25.0,1014.0,SE,5.36,0,0
5876,5877,2010,9,2,20,191.0,21,24.0,1015.0,SE,6.25,0,0
5877,5878,2010,9,2,21,211.0,21,23.0,1015.0,SE,7.14,0,0
5878,5879,2010,9,2,22,224.0,20,22.0,1015.0,SE,8.03,0,0
5879,5880,2010,9,2,23,249.0,20,22.0,1015.0,NW,0.89,0,0
5880,5881,2010,9,3,0,254.0,20,22.0,1015.0,NE,0.89,0,0
5881,5882,2010,9,3,1,284.0,20,22.0,1015.0,NW,0.89,0,0
5882,5883,2010,9,3,2,228.0,20,22.0,1015.0,NW,1.78,0,0
5883,5884,2010,9,3,3,135.0,20,22.0,1014.0,NW,3.57,0,0
5884,5885,2010,9,3,4,94.0,20,22.0,1014.0,NW,4.46,0,0
5885,5886,2010,9,3,5,101.0,20,22.0,1014.0,cv,0.45,0,0
5886,5887,2010,9,3,6,93.0,20,22.0,1014.0,cv,1.34,0,1
5887,5888,2010,9,3,7,97.0,20,22.0,1015.0,NW,1.79,0,2
5888,5889,2010,9,3,8,100.0,19,22.0,1015.0,NW,6.71,0,3
5889,5890,2010,9,3,9,95.0,18,22.0,1015.0,NW,12.52,0,4
5890,5891,2010,9,3,10,56.0,18,22.0,1015.0,NW,16.54,0,5
5891,5892,2010,9,3,11,52.0,18,23.0,1014.0,NW,19.67,0,0
5892,5893,2010,9,3,12,52.0,17,23.0,1014.0,NW,23.69,0,1
5893,5894,2010,9,3,13,51.0,18,25.0,1013.0,NW,26.82,0,0
5894,5895,2010,9,3,14,46.0,19,25.0,1013.0,NE,1.79,0,0
5895,5896,2010,9,3,15,62.0,19,26.0,1012.0,cv,0.89,0,0
5896,5897,2010,9,3,16,70.0,19,26.0,1012.0,cv,1.78,0,0
5897,5898,2010,9,3,17,79.0,18,26.0,1012.0,cv,2.67,0,0
5898,5899,2010,9,3,18,90.0,19,25.0,1012.0,NE,1.79,0,0
5899,5900,2010,9,3,19,103.0,20,23.0,1012.0,cv,0.89,0,0
5900,5901,2010,9,3,20,103.0,20,23.0,1013.0,cv,1.34,0,0
5901,5902,2010,9,3,21,118.0,19,22.0,1013.0,cv,2.23,0,0
5902,5903,2010,9,3,22,142.0,19,22.0,1012.0,cv,3.12,0,0
5903,5904,2010,9,3,23,157.0,18,21.0,1013.0,SE,0.89,0,0
5904,5905,2010,9,4,0,155.0,18,21.0,1013.0,SE,1.78,0,0
5905,5906,2010,9,4,1,159.0,18,20.0,1013.0,SE,2.67,0,0
5906,5907,2010,9,4,2,82.0,18,19.0,1012.0,NE,1.79,0,0
5907,5908,2010,9,4,3,81.0,17,19.0,1012.0,cv,0.45,0,0
5908,5909,2010,9,4,4,105.0,17,19.0,1013.0,SE,0.89,0,0
5909,5910,2010,9,4,5,101.0,17,19.0,1013.0,NE,1.79,0,0
5910,5911,2010,9,4,6,93.0,17,19.0,1013.0,NW,0.89,0,0
5911,5912,2010,9,4,7,92.0,18,20.0,1013.0,cv,0.45,0,0
5912,5913,2010,9,4,8,81.0,17,22.0,1013.0,NW,1.79,0,0
5913,5914,2010,9,4,9,58.0,17,24.0,1014.0,NW,3.58,0,0
5914,5915,2010,9,4,10,72.0,17,25.0,1014.0,NW,5.37,0,0
5915,5916,2010,9,4,11,74.0,16,26.0,1013.0,cv,1.79,0,0
5916,5917,2010,9,4,12,81.0,17,27.0,1013.0,cv,2.68,0,0
5917,5918,2010,9,4,13,86.0,15,28.0,1012.0,SE,1.79,0,0
5918,5919,2010,9,4,14,77.0,16,28.0,1012.0,cv,1.79,0,0
5919,5920,2010,9,4,15,71.0,16,28.0,1011.0,SE,3.13,0,0
5920,5921,2010,9,4,16,78.0,16,28.0,1011.0,SE,6.26,0,0
5921,5922,2010,9,4,17,80.0,17,27.0,1011.0,SE,9.39,0,0
5922,5923,2010,9,4,18,88.0,16,26.0,1011.0,SE,11.18,0,0
5923,5924,2010,9,4,19,89.0,16,24.0,1012.0,SE,12.97,0,0
5924,5925,2010,9,4,20,93.0,17,23.0,1012.0,SE,14.76,0,0
5925,5926,2010,9,4,21,90.0,16,23.0,1012.0,SE,16.55,0,0
5926,5927,2010,9,4,22,135.0,18,22.0,1012.0,cv,0.89,0,0
5927,5928,2010,9,4,23,125.0,18,21.0,1012.0,cv,1.78,0,0
5928,5929,2010,9,5,0,112.0,19,22.0,1012.0,SE,1.79,0,0
5929,5930,2010,9,5,1,88.0,19,21.0,1012.0,SE,2.68,0,0
5930,5931,2010,9,5,2,92.0,19,21.0,1012.0,cv,0.89,0,0
5931,5932,2010,9,5,3,91.0,19,20.0,1012.0,NE,0.89,0,0
5932,5933,2010,9,5,4,103.0,18,20.0,1012.0,cv,0.89,0,0
5933,5934,2010,9,5,5,100.0,18,20.0,1012.0,cv,1.78,0,0
5934,5935,2010,9,5,6,91.0,18,19.0,1012.0,cv,2.67,0,0
5935,5936,2010,9,5,7,161.0,19,20.0,1013.0,cv,3.56,0,0
5936,5937,2010,9,5,8,185.0,19,22.0,1013.0,cv,4.45,0,0
5937,5938,2010,9,5,9,170.0,19,23.0,1013.0,cv,5.34,0,0
5938,5939,2010,9,5,10,146.0,19,25.0,1013.0,cv,6.23,0,0
5939,5940,2010,9,5,11,133.0,19,26.0,1012.0,cv,7.12,0,0
5940,5941,2010,9,5,12,125.0,20,27.0,1011.0,cv,8.91,0,0
5941,5942,2010,9,5,13,131.0,19,28.0,1011.0,SE,1.79,0,0
5942,5943,2010,9,5,14,123.0,20,29.0,1010.0,cv,1.79,0,0
5943,5944,2010,9,5,15,89.0,20,29.0,1009.0,SE,3.13,0,0
5944,5945,2010,9,5,16,96.0,20,29.0,1008.0,SE,6.26,0,0
5945,5946,2010,9,5,17,87.0,19,29.0,1008.0,SE,9.39,0,0
5946,5947,2010,9,5,18,95.0,19,27.0,1008.0,SE,11.18,0,0
5947,5948,2010,9,5,19,97.0,20,26.0,1009.0,SE,15.2,0,0
5948,5949,2010,9,5,20,117.0,20,26.0,1010.0,SE,19.22,0,0
5949,5950,2010,9,5,21,128.0,19,25.0,1010.0,SE,22.35,0,0
5950,5951,2010,9,5,22,144.0,19,22.0,1010.0,SE,24.14,0,0
5951,5952,2010,9,5,23,147.0,20,22.0,1010.0,cv,0.89,0,0
5952,5953,2010,9,6,0,129.0,19,21.0,1010.0,cv,1.78,0,0
5953,5954,2010,9,6,1,148.0,19,21.0,1010.0,SE,1.79,0,0
5954,5955,2010,9,6,2,163.0,19,21.0,1010.0,cv,0.89,0,0
5955,5956,2010,9,6,3,168.0,18,20.0,1010.0,cv,1.78,0,0
5956,5957,2010,9,6,4,152.0,18,19.0,1010.0,NE,0.89,0,0
5957,5958,2010,9,6,5,177.0,19,20.0,1010.0,NE,1.78,0,0
5958,5959,2010,9,6,6,182.0,19,20.0,1011.0,cv,0.45,0,0
5959,5960,2010,9,6,7,177.0,20,21.0,1011.0,NW,1.79,0,0
5960,5961,2010,9,6,8,151.0,21,23.0,1011.0,cv,0.89,0,0
5961,5962,2010,9,6,9,150.0,20,25.0,1011.0,NW,1.79,0,0
5962,5963,2010,9,6,10,131.0,20,27.0,1011.0,NE,3.13,0,0
5963,5964,2010,9,6,11,135.0,19,28.0,1011.0,NE,7.15,0,0
5964,5965,2010,9,6,12,117.0,19,29.0,1010.0,NW,1.79,0,0
5965,5966,2010,9,6,13,103.0,18,30.0,1010.0,cv,0.89,0,0
5966,5967,2010,9,6,14,103.0,19,30.0,1009.0,SE,1.79,0,0
5967,5968,2010,9,6,15,95.0,20,30.0,1009.0,SE,3.58,0,0
5968,5969,2010,9,6,16,99.0,20,30.0,1009.0,SE,5.37,0,0
5969,5970,2010,9,6,17,104.0,21,30.0,1009.0,SE,6.26,0,0
5970,5971,2010,9,6,18,128.0,22,28.0,1009.0,SE,7.15,0,0
5971,5972,2010,9,6,19,182.0,21,26.0,1009.0,SE,8.04,0,0
5972,5973,2010,9,6,20,224.0,22,25.0,1010.0,SE,8.93,0,0
5973,5974,2010,9,6,21,232.0,22,25.0,1011.0,cv,0.89,0,0
5974,5975,2010,9,6,22,216.0,22,25.0,1011.0,NE,0.89,0,0
5975,5976,2010,9,6,23,229.0,22,24.0,1011.0,SE,0.89,0,0
5976,5977,2010,9,7,0,226.0,22,24.0,1011.0,NE,1.79,0,0
5977,5978,2010,9,7,1,250.0,22,24.0,1011.0,NE,3.58,0,0
5978,5979,2010,9,7,2,278.0,22,24.0,1011.0,NW,0.89,0,0
5979,5980,2010,9,7,3,249.0,21,24.0,1012.0,NW,1.78,0,0
5980,5981,2010,9,7,4,201.0,22,23.0,1012.0,cv,0.89,0,0
5981,5982,2010,9,7,5,161.0,21,24.0,1012.0,cv,1.34,0,0
5982,5983,2010,9,7,6,203.0,21,23.0,1012.0,SE,0.89,0,0
5983,5984,2010,9,7,7,222.0,21,24.0,1013.0,cv,0.89,0,0
5984,5985,2010,9,7,8,226.0,22,24.0,1013.0,cv,1.78,0,0
5985,5986,2010,9,7,9,197.0,21,25.0,1014.0,cv,2.67,0,0
5986,5987,2010,9,7,10,210.0,20,26.0,1014.0,NE,1.79,0,0
5987,5988,2010,9,7,11,148.0,17,27.0,1015.0,NE,4.92,0,0
5988,5989,2010,9,7,12,56.0,16,27.0,1015.0,NE,8.94,0,0
5989,5990,2010,9,7,13,52.0,14,27.0,1015.0,NE,12.96,0,0
5990,5991,2010,9,7,14,38.0,13,26.0,1014.0,NE,16.98,0,0
5991,5992,2010,9,7,15,41.0,14,26.0,1014.0,NE,18.77,0,0
5992,5993,2010,9,7,16,48.0,15,26.0,1014.0,SE,1.79,0,0
5993,5994,2010,9,7,17,43.0,17,26.0,1014.0,SE,2.68,0,0
5994,5995,2010,9,7,18,54.0,17,24.0,1014.0,SE,4.47,0,0
5995,5996,2010,9,7,19,70.0,17,22.0,1014.0,SE,6.26,0,0
5996,5997,2010,9,7,20,58.0,14,23.0,1015.0,SE,8.05,0,0
5997,5998,2010,9,7,21,61.0,17,21.0,1015.0,cv,0.89,0,0
5998,5999,2010,9,7,22,64.0,17,21.0,1015.0,cv,1.78,0,0
5999,6000,2010,9,7,23,74.0,15,20.0,1015.0,cv,2.67,0,0
6000,6001,2010,9,8,0,103.0,16,19.0,1016.0,cv,3.12,0,0
6001,6002,2010,9,8,1,102.0,16,18.0,1015.0,cv,4.01,0,0
6002,6003,2010,9,8,2,61.0,16,18.0,1015.0,cv,4.46,0,0
6003,6004,2010,9,8,3,69.0,16,17.0,1015.0,cv,5.35,0,0
6004,6005,2010,9,8,4,81.0,15,17.0,1015.0,NE,0.89,0,0
6005,6006,2010,9,8,5,79.0,15,17.0,1015.0,NE,1.78,0,0
6006,6007,2010,9,8,6,129.0,15,17.0,1016.0,SE,0.89,0,0
6007,6008,2010,9,8,7,133.0,17,18.0,1016.0,NE,0.89,0,0
6008,6009,2010,9,8,8,96.0,17,20.0,1017.0,NE,1.78,0,0
6009,6010,2010,9,8,9,81.0,17,21.0,1017.0,cv,0.89,0,0
6010,6011,2010,9,8,10,58.0,13,24.0,1017.0,SE,4.02,0,0
6011,6012,2010,9,8,11,63.0,10,25.0,1016.0,SE,5.81,0,0
6012,6013,2010,9,8,12,67.0,10,27.0,1015.0,cv,3.13,0,0
6013,6014,2010,9,8,13,81.0,10,27.0,1015.0,SE,3.13,0,0
6014,6015,2010,9,8,14,113.0,12,28.0,1014.0,SE,6.26,0,0
6015,6016,2010,9,8,15,97.0,12,28.0,1013.0,SE,9.39,0,0
6016,6017,2010,9,8,16,97.0,11,26.0,1013.0,SE,12.52,0,0
6017,6018,2010,9,8,17,111.0,12,26.0,1013.0,SE,15.65,0,0
6018,6019,2010,9,8,18,102.0,13,25.0,1013.0,SE,17.44,0,0
6019,6020,2010,9,8,19,100.0,15,22.0,1013.0,SE,19.23,0,0
6020,6021,2010,9,8,20,123.0,15,22.0,1014.0,cv,0.89,0,0
6021,6022,2010,9,8,21,125.0,15,22.0,1014.0,SE,1.79,0,0
6022,6023,2010,9,8,22,128.0,14,23.0,1014.0,SE,5.81,0,0
6023,6024,2010,9,8,23,118.0,16,20.0,1014.0,SE,6.7,0,0
6024,6025,2010,9,9,0,115.0,16,19.0,1014.0,SE,8.49,0,0
6025,6026,2010,9,9,1,140.0,16,19.0,1014.0,SE,10.28,0,0
6026,6027,2010,9,9,2,142.0,15,18.0,1013.0,SE,12.07,0,0
6027,6028,2010,9,9,3,122.0,14,18.0,1013.0,SE,13.86,0,0
6028,6029,2010,9,9,4,109.0,14,18.0,1013.0,cv,0.89,0,0
6029,6030,2010,9,9,5,159.0,14,17.0,1013.0,cv,1.78,0,0
6030,6031,2010,9,9,6,154.0,15,17.0,1013.0,SE,0.89,0,0
6031,6032,2010,9,9,7,213.0,15,18.0,1014.0,NE,0.89,0,0
6032,6033,2010,9,9,8,216.0,15,19.0,1013.0,cv,0.89,0,0
6033,6034,2010,9,9,9,227.0,15,21.0,1013.0,cv,1.78,0,0
6034,6035,2010,9,9,10,210.0,15,23.0,1013.0,SE,1.79,0,0
6035,6036,2010,9,9,11,220.0,15,24.0,1012.0,cv,0.89,0,0
6036,6037,2010,9,9,12,216.0,16,26.0,1012.0,cv,2.68,0,0
6037,6038,2010,9,9,13,211.0,16,26.0,1011.0,SE,3.13,0,0
6038,6039,2010,9,9,14,204.0,17,26.0,1010.0,SE,7.15,0,0
6039,6040,2010,9,9,15,122.0,16,27.0,1009.0,SE,12.07,0,0
6040,6041,2010,9,9,16,121.0,16,27.0,1009.0,SE,16.99,0,0
6041,6042,2010,9,9,17,85.0,16,26.0,1009.0,SE,21.01,0,0
6042,6043,2010,9,9,18,114.0,17,25.0,1009.0,SE,25.03,0,0
6043,6044,2010,9,9,19,152.0,17,23.0,1009.0,SE,28.16,0,0
6044,6045,2010,9,9,20,131.0,16,22.0,1010.0,SE,29.95,0,0
6045,6046,2010,9,9,21,144.0,17,21.0,1010.0,SE,31.74,0,0
6046,6047,2010,9,9,22,147.0,17,21.0,1010.0,SE,34.87,0,0
6047,6048,2010,9,9,23,160.0,16,21.0,1009.0,SE,36.66,0,0
6048,6049,2010,9,10,0,175.0,17,20.0,1009.0,SE,38.45,0,0
6049,6050,2010,9,10,1,176.0,16,19.0,1009.0,NE,1.79,0,0
6050,6051,2010,9,10,2,193.0,16,19.0,1009.0,NE,2.68,0,0
6051,6052,2010,9,10,3,200.0,16,18.0,1009.0,SE,0.89,0,0
6052,6053,2010,9,10,4,189.0,16,18.0,1009.0,cv,0.89,0,0
6053,6054,2010,9,10,5,108.0,15,16.0,1009.0,NW,0.89,0,0
6054,6055,2010,9,10,6,50.0,15,16.0,1009.0,cv,0.89,0,0
6055,6056,2010,9,10,7,73.0,16,18.0,1009.0,NE,0.89,0,0
