,AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1,PU2,PU3,PEU1,PEU2,PEU3,ENJ1,ENJ2,Qu1,Qu2,Qu3,Qu4,Qu5,Vis1,Vis2,Vis3,Im1,Im2,Im3,SA1,SA2,SA3,Use1,Use2,Use3,Use4,Use5,Pf1,Pf2,Pf3,JR1,JR2,BI1,BI2,Inc1,Inc2,Inc3,Inc4,Exp1,Exp2,Exp3,Exp4,Exp5
124,46,1,6,1,6,1,3,?,?,0,4,2,2,5,5,5,2,3,2,3,3,3,1,4,2,1,2,2,2,4,5,5,2,2,2,2,2,3,3,3,4,3,2,2,3,3,2,4,2,2,2,2,3
125,47,1,6,1,12,1,3,?,?,0,3,3,3,4,4,4,3,4,3,3,4,3,3,4,4,3,3,4,3,4,4,4,3,3,3,3,4,3,3,3,5,4,3,3,5,4,3,3,3,4,3,3,4
126,46,1,6,1,20,1,2,?,?,0,3,2,4,5,5,3,4,4,4,4,4,3,4,3,2,4,3,4,4,4,4,4,4,2,4,3,4,3,4,4,4,4,4,4,4,4,4,?,4,4,4,2,4
127,43,1,6,1,20,1,2,?,?,0,2,4,2,4,4,3,2,2,3,3,3,5,4,3,2,1,1,2,2,4,5,5,1,2,1,1,2,2,5,4,5,1,3,3,5,3,3,5,2,3,4,1,1
128,52,1,1,1,22,1,2,?,?,0,4,3,3,3,4,2,4,5,3,4,2,3,3,?,?,1,2,2,?,4,5,5,2,2,2,?,3,3,3,1,4,3,3,3,5,5,4,5,4,4,4,1,3
129,46,1,5,1,17,1,1,?,?,0,2,2,3,5,4,4,5,4,4,4,3,2,3,1,1,4,1,3,2,5,5,5,2,1,2,3,4,2,1,4,5,4,3,3,4,2,1,3,3,4,4,1,1
130,35,1,6,1,12,1,3,?,?,0,3,3,5,5,5,4,5,5,4,4,3,3,4,4,5,1,3,5,3,5,4,5,3,1,3,3,3,1,4,3,5,3,3,3,4,4,4,2,4,4,4,1,4
131,50,1,6,1,25,1,2,?,?,0,1,1,5,5,4,3,2,3,3,3,3,1,3,3,5,2,3,3,3,4,5,5,3,3,2,2,5,2,3,4,4,4,2,3,4,3,2,4,5,5,2,2,4
132,40,1,6,1,13,1,3,?,?,0,5,4,5,5,4,4,5,5,3,3,3,3,3,3,2,1,2,4,4,5,4,5,1,1,3,3,4,1,4,3,3,2,3,2,2,3,2,4,2,4,4,1,4
133,48,1,6,0,13,1,3,?,?,0,2,3,3,4,4,1,5,4,3,3,2,1,3,1,1,2,1,3,1,5,5,5,1,1,1,1,3,3,2,3,3,3,1,2,1,1,1,1,1,3,3,1,1
134,46,1,6,1,12,1,3,?,?,1,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,2,3,3,2,5,4,4,2,2,2,2,3,3,3,4,3,2,4,4,4,4,4,5,4,3,2,2,4
135,55,1,1,1,25,1,2,?,?,0,2,2,2,4,4,4,3,2,3,3,2,3,2,2,3,1,1,2,3,4,5,5,1,2,2,2,2,2,2,1,3,3,2,2,5,4,5,4,2,3,4,1,2
136,47,1,5,1,9,1,2,?,?,0,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,1,3,3,?,4,3,4,1,1,1,1,?,1,1,2,5,3,?,?,5,5,5,?,1,1,2,1,1
137,51,1,6,1,25,1,2,?,?,0,4,2,4,4,3,3,2,4,2,3,2,2,2,3,3,3,3,4,4,4,4,5,2,2,3,3,4,2,2,1,4,3,3,3,4,4,4,4,2,3,4,2,2
138,49,1,6,1,24,1,2,?,?,0,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
139,49,1,6,0,20,1,3,?,?,0,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,2,3,4,4,4,1,1,1,4,4,4,4,4,4,4,3,4,4,4,1,3
140,44,1,5,0,19,1,3,?,?,0,3,3,3,4,4,4,4,4,3,3,2,4,3,4,4,2,2,4,3,4,4,4,2,2,2,2,3,1,1,4,4,3,3,3,4,3,3,3,3,4,3,1,4
141,49,0,1,0,6,1,6,2,?,0,5,5,5,5,5,5,5,5,4,5,4,4,5,3,?,5,2,3,4,5,5,5,4,1,5,5,5,5,5,4,?,?,5,5,5,5,5,5,5,5,5,1,3
142,46,0,3,0,4,1,6,2,?,0,2,2,2,4,3,3,3,3,2,2,2,2,1,1,2,1,1,3,1,3,3,3,1,1,1,1,1,2,2,1,3,3,1,1,1,1,1,1,1,1,2,1,2
143,54,0,6,0,11,1,6,2,?,0,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,5,2,2,2,5,5,5,5,5,5,5,5,1,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5
144,47,0,6,0,5,1,6,2,?,0,4,3,4,3,4,3,4,?,2,2,2,4,3,4,3,3,3,3,?,4,4,4,2,2,3,3,4,3,4,3,4,4,3,?,4,3,3,3,3,3,4,2,3
145,53,0,6,0,10,1,6,2,?,1,2,2,1,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,3,2,2,2,2,3,2,3,2,2,1,2,1,2,3,3,1,3,4,1,2,2,1,2,1
146,45,0,4,0,12,1,6,2,?,0,4,4,4,5,4,4,4,4,3,3,3,3,3,3,?,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
147,47,0,5,0,8,1,6,2,?,0,3,3,2,5,5,4,4,4,2,2,2,2,2,4,3,2,1,2,1,3,3,4,1,2,1,1,2,1,1,?,5,5,3,3,2,2,1,1,1,2,2,1,3
148,43,0,6,0,7,1,6,1,7,0,5,5,5,5,4,4,5,4,4,4,4,4,4,5,3,4,4,5,5,4,5,5,3,4,5,5,4,3,3,4,5,3,4,4,4,4,4,4,4,5,5,2,4
149,39,0,6,0,15,1,6,1,3,0,3,2,2,4,4,2,2,3,3,3,3,3,2,2,3,2,2,4,2,4,4,3,1,1,2,2,3,1,1,2,2,2,2,3,4,4,3,4,2,3,4,1,2
150,51,0,1,1,5,1,6,2,?,0,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,1,3,5,3,5,4,5,2,1,1,1,4,5,2,2,5,5,3,3,2,4,2,3,2,4,2,1,5
151,45,0,1,0,9,1,6,2,?,0,4,4,4,4,4,3,4,2,3,3,2,2,3,3,3,3,2,1,2,5,5,?,3,3,4,3,3,2,3,2,2,2,3,4,4,4,4,4,4,4,4,2,5
152,45,0,2,0,6,1,6,2,?,0,4,4,3,5,4,3,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,2,2,3,4,4,1,4,1,4,4,4,4,4,4,4,4,3,4,4,1,2
153,39,0,4,0,5,1,6,2,?,0,4,3,4,4,5,3,5,5,3,4,4,4,4,3,3,1,3,2,3,5,5,3,2,1,2,2,3,1,5,3,4,4,2,2,4,3,4,4,4,4,4,1,1
154,40,0,2,0,12,1,6,2,?,0,4,5,4,5,5,4,3,4,5,5,4,2,4,3,4,5,4,5,4,5,5,5,3,3,4,4,5,2,3,2,4,3,4,4,5,4,3,4,4,4,4,1,3
155,53,0,4,0,7,1,6,2,?,0,3,4,4,4,4,3,5,4,4,5,4,3,3,3,3,3,3,4,4,4,4,5,3,2,4,4,4,2,2,2,4,3,4,4,4,4,4,3,4,4,4,1,3
156,51,0,4,0,5,1,6,2,?,0,3,4,5,3,3,2,4,4,3,3,2,3,2,3,3,2,2,3,3,4,4,5,2,2,2,2,4,2,2,1,4,3,2,3,2,2,2,2,2,4,4,1,3
157,44,0,6,0,13,1,6,1,7,1,4,4,5,5,5,4,5,?,5,5,?,2,5,4,1,5,4,3,3,5,5,5,3,3,4,4,5,3,5,3,2,1,5,5,4,3,4,4,3,5,5,3,4
158,52,0,1,0,10,1,6,2,?,0,3,2,3,4,3,?,2,3,4,3,2,1,?,?,3,3,2,3,2,5,5,5,2,2,2,2,4,4,4,4,5,5,3,2,3,3,3,3,2,2,2,1,5
159,46,0,4,0,15,1,6,2,?,0,3,3,3,4,4,3,4,4,3,4,4,4,4,3,5,2,3,3,4,5,4,4,2,3,3,3,4,3,2,2,3,3,3,3,3,3,4,3,3,4,4,1,5
160,43,0,5,1,20,1,6,1,2,0,2,2,1,4,3,3,2,3,2,2,2,4,1,2,3,1,1,3,1,3,4,3,1,1,1,1,2,2,2,2,3,2,1,1,1,1,1,1,1,2,3,1,1
161,47,0,6,0,14,1,6,2,?,0,3,2,4,5,3,3,3,3,3,3,2,5,2,3,3,1,3,4,3,4,3,4,1,2,2,2,3,2,4,3,3,3,2,2,5,5,5,3,3,3,4,1,2
162,43,0,6,0,16,1,6,2,?,0,5,5,5,5,5,5,4,3,4,4,4,3,4,3,3,2,2,2,2,5,5,5,3,1,4,3,4,5,5,5,5,3,3,3,3,2,2,2,4,4,4,1,5
163,48,0,6,0,15,1,6,2,?,0,2,3,5,5,?,3,1,4,5,5,4,3,3,3,3,5,3,3,4,5,4,5,4,1,3,3,4,1,2,1,4,3,3,5,4,4,4,3,2,2,4,1,1
164,44,0,1,1,20,1,6,1,2,0,3,4,4,4,4,2,5,4,4,3,3,3,3,3,3,1,2,2,2,3,2,3,1,1,3,2,4,1,1,1,3,3,3,3,3,5,3,3,2,3,1,1,1
165,44,0,6,0,20,1,6,1,7,0,4,4,3,5,5,4,4,4,3,4,2,3,3,2,4,1,3,4,5,5,5,5,1,1,3,3,4,2,3,3,5,4,3,3,4,4,5,3,4,4,4,2,3
166,41,0,6,1,15,1,6,1,7,0,4,4,4,5,4,3,4,4,3,3,3,3,4,4,3,2,1,3,3,4,5,5,4,2,3,3,4,1,2,1,3,2,3,3,4,3,4,4,4,5,5,1,2
167,47,0,2,1,21,1,6,1,2,0,5,5,5,5,3,4,4,4,3,4,2,2,3,4,4,4,4,4,3,4,4,4,2,2,4,4,4,4,4,4,5,3,4,4,5,5,5,5,4,4,4,1,1
168,42,0,6,1,17,1,6,1,2,0,5,5,5,5,5,3,5,5,4,3,2,?,3,3,3,1,3,5,3,5,5,5,2,1,4,1,4,1,3,2,4,1,3,4,3,4,4,5,5,5,5,1,1
169,33,0,4,0,5,1,6,2,?,0,2,3,3,4,4,4,5,4,3,3,3,1,4,1,2,2,2,3,2,3,4,4,2,2,1,1,2,1,1,2,4,4,2,2,3,3,1,3,2,3,3,1,5
170,41,0,6,1,14,1,6,2,?,0,4,3,4,2,4,3,4,3,4,4,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,4,4,3,3,4,4,5,5,5,3,3
171,40,0,6,1,?,1,6,1,2,1,3,4,5,5,5,2,4,4,4,5,1,4,?,?,4,5,3,2,?,5,5,5,4,1,4,?,4,4,5,5,1,2,3,5,1,3,1,3,4,4,5,1,4
172,46,0,4,1,23,1,6,1,2,1,2,3,4,2,5,3,3,3,3,4,2,4,3,3,4,4,3,4,2,5,4,4,4,2,3,3,3,1,2,5,2,3,2,3,2,3,2,2,4,4,4,1,2
173,45,0,4,1,20,1,6,1,3,0,3,3,4,4,4,?,5,5,4,4,3,2,4,?,?,2,3,?,3,4,4,4,1,1,2,3,4,1,1,1,3,2,4,4,4,5,4,5,5,4,5,1,1
174,43,0,4,0,15,1,6,1,2,0,3,3,3,5,5,3,4,4,3,4,3,3,3,3,3,3,2,4,3,5,5,5,1,1,3,3,3,1,1,2,3,3,3,3,4,3,3,3,4,4,5,1,2
175,44,0,4,0,14,1,6,2,?,0,3,?,3,5,4,?,2,4,1,2,2,5,1,?,4,1,1,5,3,5,2,5,1,2,2,2,2,2,4,2,3,1,3,2,4,?,4,?,3,3,2,1,2
176,56,0,4,0,3,1,6,2,?,0,1,2,2,3,3,2,3,2,3,2,2,4,2,?,?,2,?,?,?,5,5,5,1,1,1,1,3,1,2,1,4,?,2,2,5,3,3,?,2,3,3,1,1
177,43,0,6,1,8,1,6,?,?,0,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,?,3,3,3,3,3,5,4,4,?,?,3,?,4,?,3,3,3,3,?,?,?,?,4,4,4,1,1
178,41,0,6,1,10,1,6,1,7,0,4,4,4,5,4,3,4,5,3,3,3,3,4,4,3,4,2,4,3,4,4,5,2,2,4,4,4,2,3,3,5,2,4,4,4,5,4,5,3,4,4,1,3
179,49,0,2,1,22,1,6,1,3,0,4,4,5,5,5,?,4,3,4,4,4,2,4,?,?,4,2,3,3,4,5,5,4,1,3,3,3,1,3,3,4,2,3,5,5,5,5,5,4,4,4,1,1
180,47,0,2,1,19,1,6,1,3,0,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
181,47,0,4,1,20,1,6,1,6,0,4,4,4,5,3,4,5,5,3,4,3,2,3,3,4,2,2,4,4,4,3,4,1,1,3,3,3,2,2,2,4,3,3,3,5,4,4,4,4,4,4,1,4
182,48,0,6,0,4,1,6,2,?,0,3,3,2,5,5,3,3,3,2,3,3,3,3,3,3,2,2,3,4,4,4,5,3,3,2,2,4,3,3,3,5,4,3,3,3,3,3,4,2,3,3,3,3
183,49,0,6,0,5,1,6,2,?,0,3,3,3,4,4,3,3,4,4,4,3,5,3,?,?,1,3,4,?,3,4,3,2,1,1,2,2,5,3,3,4,4,2,2,3,4,3,3,2,3,2,1,1
184,46,0,6,1,11,1,6,2,?,1,5,5,5,5,5,4,4,4,4,5,4,5,4,4,5,3,3,3,3,5,3,5,2,3,4,3,4,4,3,5,5,5,4,4,5,4,3,4,3,4,5,4,5
185,57,0,2,0,12,1,6,2,?,0,4,?,4,5,4,?,4,?,4,4,4,?,4,?,?,3,3,4,4,4,4,5,3,?,4,3,4,4,4,3,5,5,4,4,4,4,?,?,4,4,2,3,5
186,43,0,6,0,12,1,6,2,?,0,4,3,4,5,5,3,4,5,4,4,4,4,4,4,5,1,3,4,3,5,4,5,2,2,3,3,4,3,3,4,5,4,3,3,4,4,4,5,3,3,4,2,4
187,48,0,2,1,25,1,6,1,2,0,4,5,5,4,4,2,4,4,4,4,4,2,4,4,3,3,2,3,4,5,4,5,4,4,4,4,5,2,3,2,2,1,4,4,4,4,3,4,4,4,4,1,1
188,45,0,5,0,12,1,6,2,?,0,3,3,3,5,5,2,4,4,3,3,2,2,3,3,3,2,2,4,2,4,4,5,1,1,3,2,3,3,3,2,4,3,3,3,5,2,4,5,1,4,4,1,1
189,53,0,2,0,12,1,6,2,?,0,3,2,4,4,3,3,4,3,4,4,4,3,3,2,3,2,3,4,3,3,4,5,2,1,2,1,4,2,2,1,4,4,3,2,4,3,2,3,4,3,2,1,4
190,43,0,5,1,18,1,6,1,2,0,2,2,2,5,4,2,4,5,3,3,2,2,2,2,3,2,2,3,2,3,4,5,2,1,2,2,3,1,2,1,3,3,2,2,4,3,3,3,3,4,5,1,1
191,42,0,6,1,20,1,6,1,7,0,5,5,5,5,5,4,5,5,4,4,3,3,4,4,2,1,2,2,3,5,5,5,4,4,5,3,4,1,2,1,2,1,4,4,5,4,4,5,4,5,5,2,4
192,39,0,4,1,14,1,6,1,2,1,4,4,5,4,4,5,5,5,4,5,3,1,4,3,5,5,2,4,4,5,5,5,2,3,5,4,5,3,3,4,4,3,5,5,3,4,3,5,5,5,5,4,2
193,44,0,5,0,16,1,6,1,7,0,2,2,2,5,3,3,4,3,2,2,2,4,2,3,3,1,2,2,2,3,3,3,1,1,1,1,2,2,2,3,3,3,2,2,3,3,3,3,2,3,3,1,1
194,39,0,4,0,7,1,6,2,?,0,3,4,5,5,5,3,5,5,5,5,5,1,5,3,3,5,3,5,3,5,5,5,3,4,5,5,4,3,2,3,4,4,5,5,4,2,2,2,4,4,4,1,2
195,38,0,4,1,6,1,6,2,?,0,?,4,4,5,4,4,4,3,4,4,4,4,4,4,4,2,3,4,4,5,5,5,2,2,3,3,4,2,3,3,3,3,3,3,4,4,4,4,4,4,4,2,3
196,43,0,4,0,7,1,6,2,?,0,4,3,3,5,5,4,4,5,4,4,4,2,2,3,2,1,3,5,3,5,5,5,1,1,3,3,4,1,2,1,4,4,2,2,2,4,4,3,3,3,4,2,1
197,46,0,1,0,12,1,6,2,?,0,4,3,5,5,5,4,4,5,4,3,3,2,4,4,4,2,3,4,4,5,5,5,2,2,4,4,5,4,4,2,5,5,4,4,5,5,4,4,4,5,5,2,5
198,39,0,6,0,4,1,6,2,?,0,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,5,5,5,2,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,2,4
199,58,0,4,0,10,1,6,2,?,0,3,3,4,5,4,5,4,4,3,3,3,3,4,4,3,2,3,5,4,5,5,5,2,3,2,2,4,4,5,4,5,5,3,3,5,4,3,3,3,4,4,2,5
200,41,0,6,1,15,1,6,1,2,0,4,4,3,5,5,3,5,5,4,4,2,2,2,2,2,2,2,2,2,3,2,4,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,4,4,1,3
201,43,0,6,0,3,1,6,2,?,0,4,4,5,4,4,4,5,5,4,4,4,3,4,4,4,3,4,5,4,5,5,5,3,3,4,4,4,2,4,4,4,4,4,4,5,4,3,5,4,5,5,2,4
202,38,0,6,0,9,1,6,2,?,0,2,2,3,5,5,3,4,4,4,4,3,4,3,2,2,2,2,1,3,5,5,5,1,1,2,2,4,1,3,1,4,2,2,3,4,3,5,5,4,4,4,1,1
203,56,0,3,0,22,1,6,2,?,0,2,2,3,4,3,2,4,4,3,2,2,4,2,3,2,1,4,4,4,4,4,5,1,1,2,1,4,2,2,1,4,4,2,2,5,3,5,5,2,3,4,1,3
204,46,0,1,0,10,1,6,2,?,0,3,2,2,5,5,4,3,3,3,4,4,4,3,2,3,1,2,3,2,5,5,5,1,1,2,1,3,1,1,1,5,5,1,1,3,1,1,1,1,2,5,1,1
205,47,0,4,0,5,1,6,2,?,0,2,2,2,5,3,?,2,4,?,?,?,?,?,?,?,1,2,4,3,5,5,5,1,1,1,1,2,4,4,4,5,?,2,1,?,?,?,?,2,1,3,1,?
206,37,0,6,0,2,1,6,2,?,1,5,5,5,5,5,5,5,5,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
207,44,0,4,0,1,1,6,2,?,1,3,4,4,4,5,4,5,5,4,5,2,3,4,4,4,4,3,5,4,4,5,5,2,4,2,2,3,2,5,4,5,4,3,4,4,3,3,3,5,5,5,4,4
208,63,0,2,0,?,1,6,2,?,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,3,3,3,3,3,5,1,1,3,3,5,1,4,2,5,4,5,3,4,5,5,3,2,2,1,1,4
209,48,0,6,0,7,1,6,1,7,0,4,4,4,5,4,5,5,5,3,4,4,3,3,3,3,2,3,3,4,4,4,5,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3
210,68,0,6,0,18,1,6,2,?,0,5,5,5,5,5,3,5,5,3,4,5,4,3,5,3,2,3,5,5,5,5,5,3,2,4,4,5,2,4,2,5,5,5,5,5,5,5,5,5,5,5,1,3
211,42,0,6,1,18,1,6,1,2,0,1,1,1,5,4,3,3,4,3,4,4,3,1,1,3,1,3,5,3,4,4,4,1,1,1,1,3,1,2,1,4,3,1,1,1,1,1,1,1,4,5,1,1
212,49,0,2,1,20,1,6,1,2,0,1,2,1,2,2,1,2,2,1,1,1,5,1,1,1,1,2,5,3,5,5,4,1,1,2,1,2,1,1,1,4,4,1,1,5,5,5,5,2,2,4,1,1
213,48,0,2,1,20,1,6,1,2,0,2,3,3,5,5,3,3,3,4,4,4,3,3,3,3,3,3,4,3,5,3,3,1,1,3,3,4,1,1,1,3,3,3,2,4,4,3,5,3,2,2,1,1
214,40,0,6,1,15,1,6,1,3,0,3,3,4,5,4,2,3,2,3,3,2,3,3,3,2,2,3,4,3,4,4,4,2,2,4,3,4,2,2,2,2,1,3,3,5,4,5,1,2,4,4,2,2
215,46,0,4,1,23,1,6,1,2,1,5,5,5,5,4,3,4,5,4,4,3,2,4,3,3,5,3,3,3,5,5,5,4,2,5,5,5,5,5,5,3,4,5,5,3,1,1,1,5,5,5,3,3
216,55,0,3,1,20,1,6,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
217,38,0,3,1,15,1,6,2,?,0,4,3,4,5,4,?,4,5,2,4,3,3,?,?,?,3,3,2,?,4,4,5,2,2,4,3,4,1,5,1,4,3,4,4,2,2,3,3,4,4,4,1,1
218,44,0,6,0,7,1,6,2,?,0,4,4,4,5,3,3,4,4,3,4,3,3,2,3,3,4,2,3,3,3,4,4,3,2,3,3,2,2,2,3,4,4,3,3,4,4,5,3,3,4,3,1,5
219,43,0,1,0,12,1,6,2,?,0,4,4,4,5,5,3,4,4,4,3,3,4,3,3,3,2,2,4,3,5,3,5,3,1,3,3,4,2,4,1,4,2,3,4,3,3,3,3,4,5,5,1,5
220,46,0,5,0,7,1,6,2,?,0,3,3,3,2,5,2,3,4,3,4,2,5,2,2,2,1,2,4,3,4,4,5,2,1,2,2,2,1,5,4,4,3,2,2,5,4,5,3,2,3,4,1,2
221,50,0,1,0,12,1,6,2,?,1,5,3,5,3,5,3,5,4,4,4,3,1,4,4,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,1,3
222,37,0,4,1,12,1,6,1,2,0,5,5,5,5,5,5,5,5,4,4,4,2,4,4,2,3,3,3,4,4,2,5,3,2,4,4,4,1,1,1,4,2,4,4,3,3,3,4,4,4,4,1,2
223,50,0,2,0,?,1,6,2,?,0,3,2,2,4,4,3,4,4,1,2,2,3,1,2,4,1,2,4,3,4,5,5,1,1,1,3,3,2,1,2,?,?,1,1,4,2,3,1,2,4,4,2,1
224,44,0,1,0,12,1,6,2,?,1,5,5,5,4,4,4,5,4,4,4,3,2,5,4,5,3,3,3,2,5,5,5,3,4,5,5,5,3,5,5,3,1,5,4,5,5,5,5,4,4,4,4,5
225,45,0,6,0,8,1,6,?,?,0,4,4,5,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,5,3,3,3,3,4,3,2,3,4,3,3,4,3,3,3,3,4,4,4,2,3
226,57,0,6,1,22,1,6,1,2,0,4,4,5,4,4,4,2,4,3,3,3,4,4,4,4,4,?,?,?,?,?,?,5,5,5,5,?,1,1,3,1,1,5,5,5,5,5,1,5,5,1,1,5
227,47,0,4,0,7,1,6,2,?,0,3,4,5,4,4,2,4,3,5,5,5,3,4,3,3,4,5,3,4,5,5,5,4,2,5,5,5,2,5,5,4,2,5,4,3,4,3,3,5,5,5,2,2
228,53,0,1,0,5,1,6,2,?,0,3,3,3,3,3,2,3,2,4,4,4,3,4,2,2,2,3,2,3,5,5,5,3,2,3,3,5,2,4,?,4,3,3,3,1,4,4,4,4,4,4,2,2
229,46,0,5,0,1,1,6,2,?,0,4,4,4,5,5,5,4,4,4,4,3,5,4,4,4,3,2,2,2,4,5,5,1,1,3,3,4,5,5,5,5,5,3,3,4,2,4,4,1,3,4,1,1
230,48,0,6,0,5,1,6,2,?,0,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,5,5,5,3,2,3,3,4,3,4,3,5,5,4,3,4,4,4,4,3,3,3,2,3
231,37,0,6,0,6,1,6,2,?,0,2,4,3,4,4,3,4,4,4,5,3,2,3,4,2,2,3,2,2,4,4,4,1,1,2,2,2,3,4,1,4,3,2,2,3,2,3,4,2,3,4,2,4
232,56,0,6,0,12,1,6,2,?,0,2,2,3,5,5,3,2,1,2,3,2,1,3,2,1,1,1,2,2,4,5,5,2,2,3,3,3,1,3,2,?,?,2,2,2,1,1,1,2,3,4,1,1
233,37,0,4,0,6,1,6,2,?,0,4,4,4,4,4,4,5,5,3,3,3,2,3,3,3,2,4,4,4,4,4,4,4,1,3,4,3,2,3,2,3,3,4,3,5,5,5,5,5,4,5,2,3
234,31,0,6,0,4,1,6,2,?,0,2,2,3,5,4,4,5,4,2,4,1,5,3,1,2,1,1,2,2,5,5,5,1,1,1,1,1,1,3,1,2,3,1,1,4,3,4,4,2,3,4,1,1
235,51,0,3,1,20,1,6,1,7,1,3,3,4,5,4,5,4,5,3,3,2,2,3,3,4,2,2,5,2,5,2,5,1,1,3,3,2,5,3,1,5,3,3,3,5,4,5,5,4,4,3,3,4
236,45,0,6,0,17,1,6,1,3,0,3,3,3,2,?,?,3,4,?,?,?,?,?,?,?,3,2,2,2,4,4,4,2,2,2,2,3,4,4,?,4,2,3,2,2,2,2,2,2,2,2,2,2
237,33,0,1,1,9,1,6,1,4,1,2,2,2,5,3,4,2,3,3,3,2,4,2,2,3,1,1,1,2,5,3,5,1,1,1,1,1,3,2,4,3,1,2,2,2,2,2,2,1,2,3,1,4
238,34,0,4,0,?,1,6,2,?,1,4,3,4,3,4,3,4,3,2,3,2,2,2,4,4,1,2,3,1,4,4,5,1,2,3,2,3,1,2,1,5,3,3,3,4,3,3,3,2,2,3,2,5
239,33,0,5,0,3,1,6,2,?,0,4,4,4,4,4,4,5,5,4,4,3,3,3,3,3,3,2,2,4,4,4,5,1,2,3,4,3,3,4,1,5,5,4,4,5,4,5,5,2,4,4,1,3
240,37,0,1,0,6,1,6,2,?,0,4,3,5,5,5,4,4,4,5,4,4,2,4,3,4,2,3,3,5,4,4,4,3,3,3,3,4,5,4,4,4,2,3,3,4,5,5,3,2,5,5,1,3
241,40,0,1,1,10,1,6,1,2,0,3,3,5,4,5,?,1,2,3,3,3,5,3,3,?,1,1,1,1,3,5,5,3,1,4,1,5,5,1,1,3,3,3,3,5,5,5,5,4,4,4,1,1
242,34,0,4,1,10,1,6,1,2,0,4,4,5,5,5,3,4,4,4,4,3,1,4,3,2,3,4,4,3,5,1,4,3,1,4,4,4,1,1,1,3,1,3,4,2,4,1,1,4,3,2,1,1
243,38,0,1,0,7,1,6,2,?,0,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,1,2,3,4,5,5,5,3,3,4,4,4,2,4,3,5,3,4,4,4,4,4,4,4,4,4,2,4
244,34,0,2,0,3,1,6,2,?,0,3,2,2,5,5,3,4,4,3,3,3,4,2,3,3,1,4,2,4,5,5,5,1,2,2,2,2,2,2,2,5,?,2,2,4,4,5,3,2,4,4,1,2
245,50,0,1,1,17,1,6,1,3,0,2,3,5,5,4,4,4,3,3,3,3,3,3,4,2,2,2,2,2,4,5,5,2,2,4,3,4,1,1,3,2,2,3,4,3,2,3,2,4,5,5,5,3
246,39,0,6,0,10,1,6,2,?,0,3,3,3,5,5,2,5,5,3,3,4,3,3,2,2,2,4,3,3,3,4,4,1,1,3,3,2,1,1,1,5,4,3,2,5,3,5,4,2,2,5,1,2
247,39,0,5,1,12,1,6,?,?,0,4,3,3,4,4,2,3,3,4,4,4,3,2,2,3,2,2,3,2,4,?,4,1,1,2,?,3,3,2,2,4,2,2,2,4,3,3,3,2,3,3,1,2
248,40,0,5,0,16,1,6,1,7,0,3,3,2,4,2,4,3,3,2,2,2,4,2,3,2,1,2,2,2,4,4,4,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1
249,41,0,1,1,10,1,6,2,?,0,3,3,4,3,5,4,4,3,4,4,3,2,3,2,3,3,4,4,3,3,4,4,2,2,4,4,3,2,3,2,3,3,3,3,3,3,4,4,5,5,5,3,2
250,39,0,4,0,10,1,6,2,?,0,3,5,4,5,4,?,4,4,3,2,3,3,3,2,?,1,4,4,?,4,4,5,?,?,4,?,4,2,2,3,?,?,?,?,4,?,4,4,5,5,5,1,4
